Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
TP_2077_Tumor,0.0171579908387952,0,0.588519535793429,0,0.138586530596062,0,0,0,0.0774659361985915,0.0212768558029824,0,0.13570554284882,0,0,0.013023054684299,0,0,0,0.00826455323702068,0,0,0,0,-0.047054507211691,1.12012879595173
TP_2078_Tumor,0.208691050219096,0,0,0.30881982691321,0,0,0,0,0.0851306639994566,0,0,0.0453979851450499,0,0,0,0,0,0,0.285262716808367,0,0.0666977569148202,0,0,-0.0740988368798098,1.15451104261658
SC_9056_T,0,0,0.626195639300362,0,0.0595514301167786,0,0,0.0493789501836978,0,0,0.0132976448025164,0.0154319779991344,0,0.125173906859578,0,0,0.000759926902778738,0,0,0.0437519094574765,0,0.0664586143776775,0,0.0968768828061476,1.04894665694453
SC_9137_Tumor,0.0777561883732611,0,0.0590066105733417,0,0,0.235591649399855,0,0,0,0.119753095552297,0.0254766713924423,0,0,0.373846938604496,0,0.00452948951158028,0.0455766649261185,0,0.00752557178304397,0.050937119883564,0,0,0,0.160693374371092,1.04321027074318
SC_9139_Tumor,0.214079812834861,0.0392170222444418,0.0370336307336863,0.115723117793357,0.00014209323252217,0.121293159034356,0.0713809505575509,0,0.133910928842673,0,0,0.00950766419090846,0,0,0.0649627467517202,0.0721888975622346,0.0911545384542965,0.0294054377673919,0,0,0,0,0,0.412315011176244,0.910348592272683
SC_9140_Tumor,0,0.194618995986768,0.071319027032915,0.294497391401217,0,0.00151951387843379,0.00284186021618793,0.0469507288170861,0.0296272523658014,0,0,0.0845112316571918,0,0,0.0925651696574259,0.0907179773043067,0,0.0446532973530387,0.0461775543296276,0,0,0,0,0.226513822521485,1.00292318306572
SC_9142_Tumor,0.0515994922648166,0.0540255030635178,0.00479368122065751,0.0847814489654503,0.00332122525181892,0,0.299226124034392,0.0147180369358569,0.0557594625484984,0.0278690968374383,0.0109406868294486,0.0437934352440279,0,0,0.0438309953149411,0.0951510008937355,0.075668015180687,0.0926516477644725,0.0418701476502407,0,0,0,0,0.290483795502282,0.964360942916003
MO_1469_T,0.0803840335577263,0,0,0,0.223242798185562,0,0,0.0377649147982887,0.0380243225407563,0,0.20422179906965,0,0,0.215859949866262,0,0.00980344526183024,0.0250495731728038,0,0,0.0817902915242026,0.054687752119366,0.0291711199035525,0,0.0165416063367469,1.09936145683886
TP_2081_T,0,0,0,0,0,0.135456208273862,0,0.0929301000220637,0,0.0416576724160655,0,0.0933871682842966,0.0287107682755729,0.0465387589141766,0,0.507114666494205,0,0,0,0.0439379834219129,0,0.010266673897844,0,0.0861230307776131,1.08513503065762
SC_9074_T,0,0.301671409448564,0,0,0,0.15615417888288,0,0,0,0,0,0.0728531959408765,0.0604860877085745,0,0.0206924857449086,0.138897389626483,0.0402124147389191,0.0344888151542203,0.174544022754574,0,0,0,0,-0.016815523765095,1.08270314579495
SC_9086_T,0,0.0265167690241384,0,0,0,0.113163148764413,0,0.0558022440895662,0,0.0709799211845388,0,0.0832168295376608,0,0.16733048524501,0.00882264069636495,0.286836938826754,0,0.0435673832046415,0.143763639426913,0,0,0,0,0.130200713660889,1.04475150812265
SC_9145_Tumor,0.0876138248251954,0,0,0,0.307995469901802,0,0,0,0,0,0,0,0.0246651782846177,0,0,0.451573708809163,0,0,0.0624351545828019,0,0.0179802764060877,0.0477363871903323,0,-0.0300162524364865,1.11620899228671
SC_9148_Tumor,0,0.0598249697317642,0.00658139889245582,0.0718668503141189,0,0.33930566665505,0,0,0.0699971084515296,0,0,0.0540957848802797,0.0187673554539774,0,0.058864428283563,0.0354824348278186,0.0587506049812523,0.178283824701728,0.0481795728264617,0,0,0,0,0.320830814444936,0.96028043146602
SC_9153_Tumor,0.261101004808048,0,0,0,0.165996430247107,0,0,0.207097399127753,0,0,0,0.0448299435613946,0,0.181776859293821,0,0,0,0,0,0.0204108689652891,0.118787493996588,0,0,-0.0732020022998294,1.13287240531553
TP_2093_T,0.400210655668887,0,0.0154266860952275,0.0177393003969184,0.0746582927476636,0,0.159490265726231,0.0802854136114431,0.0195109846226966,0,0.0225099921617142,0,0,0.0237670934720489,0.0448808353718448,0,0,0.0594316384534171,0,0.0414368380010388,0.0406520036708694,0,0,0.0234697774843179,1.09242857762847
TP_2096_T,0.0872823779498143,0,0.223167472445167,0.140794868104363,0,0,0,0,0.276297901287415,0,0,0.0709413621235222,0,0.105742093308431,0,0,0,0,0.0562458052585354,0.0395281195227529,0,0,0,-0.0521878336478168,1.10677319831508
SC_9156_Tumor,0.0976311504269941,0,0,0.131062742375909,0,0,0,0.404262939254387,0,0,0,0.111853721572767,0,0.138926914489443,0,0,0,0.0518806037791753,0.064381928101325,0,0,0,0,-0.074475296894998,1.15524604107916
SC_9162_Tumor,0.0450253924467292,0,0,0,0,0.434773151443917,0,0,0,0,0,0.025401811472479,0.0248987956365637,0.243398679718816,0,0,0.0276643479341406,0.157955410911526,0,0,0,0.0408824104358291,0,-0.065883020749345,1.14294781259186
SC_9163_Tumor,0.0812104838026981,0.372221332170259,0,0.195791626523501,0.0289835947579118,0,0.0469682057241974,0.0900052153636539,0.060491989091096,0,0,0,0,0.0655602916420555,0.0386092085083688,0,0,0,0,0.0201580524162587,0,0,0,0.0325012265920634,1.09813265595855
