Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
PR.0099,0,0.0319988284907658,0.0619627200000432,0.351765124060182,0,0,0,0.315919292396976,0.015538019471432,0,0,0.0468601669984783,0.0226819643331145,0.0407922611484552,0.0465853194356224,0.0376876455292353,0.00285311381398911,0,0.0253555443217061,0,0,0,0,0.00383620283803445,1.12945751322954
PR.0415,0,0,0.163256916168373,0.152197639325522,0,0.125532837427743,0,0.0915681905167968,0.0842980516069322,0,0,0.066490300228534,0.0260325845498077,0,0.046809232458682,0.218985894962113,0,0,0.0248283527554965,0,0,0,0,-0.0295231753742421,1.10148753308693
PR.0427,0.0564652233395403,0,0.126430958922348,0.141895452223339,0,0.163124506903391,0,0.137219345426302,0.0149225522596182,0.0155919664026865,0,0.0838299047170435,0.0254498925621914,0,0.0574750585935488,0.108135748171993,0,0.000294739456171845,0.0392675598459521,0.0298970911758738,0,0,0,0.0969316045914463,1.05638437741694
PR.1024,0.0310838256307547,0,0,0.191163655231343,0,0.104915150850324,0,0.144541049641003,0.00460834267334441,0.0352201903979924,0,0.0916551277186562,0.0274626787414288,0.037862305305706,0.128393377343909,0.155201457791338,0.00809519587780316,0,0,0.0397976427963976,0,0,0,0.179197975265333,1.03404957535938
PR.1043,0.0337186827478683,0,0.151341915317388,0.136781696975954,0,0.110921020885628,0,0.0899148869658802,0.0185283824082346,0,0,0.0417802519813138,0.0522755535575247,0.0609891851439357,0.0183893627697651,0.0789061368498245,0,0,0.172428280723475,0.0260743551093301,0,0.00795028856387775,0,0.112101288123752,1.03482931977404
PR.2661,0.0342262743463698,0,0.20145827422928,0.166983961907109,0,0.118679816580823,0,0.179291275516408,0.0126488877885167,0,0,0.0728517708735194,0.022660804756861,0,0.0386291573928295,0.0768094023925057,0.0231790158641869,0,0.0525813583515913,0,0,0,0,0.144077897107005,1.03857567252718
PR.2682,0.00341735171055054,0,0.00967331510299828,0.15401696222422,0,0.118915543395569,0,0.0154280857791189,0.0237566926679736,0,0,0.0741165665309251,0.0246426329417303,0,0.0392665343690403,0.300589821802355,0,0,0.226045334573209,0.00604716109570218,0,0.00408399780660714,0,0.0673188808903569,1.06152494445445
PR.2740,0.0769491186967806,0,0.0122163318770949,0.103711741668246,0,0.234880664673965,0,0.15324444718414,0.0127327529996122,0,0,0.0422204695979245,0.0235539225111259,0,0.033944984762702,0.120258426244759,0,0,0.186287139783651,0,0,0,0,0.0600852203870777,1.06511363961097
PR.2761,0.0245083487170028,0,0,0.0832762567964443,0,0.323034996423197,0,0.0627185661207127,0,0,0,0.043274394262689,0.0275320146405031,0.101240002993014,0.0253940714283429,0.147998201652483,0,0.00514625223337031,0.0491295624957679,0.0894074939717145,0,0.0173398382647586,0,0.0521399107239472,1.07277193588373
PR.2762,0.0501400813238195,0,0.0743206929984055,0.134313909173313,0,0.227098984967865,0,0.0828942141903503,0.0189064570912572,0,0,0.0774430206721126,0.034284290465073,0,0.0100557303699874,0.12298185857424,0.0190785386274192,0.00749424378728549,0.115725535806581,0.0252624419522906,0,0,0,0.139836074196091,1.03107177029136
PR.2858,0.102818428257862,0,0.00260589999441258,0.190323114085205,0,0.200276986218579,0,0.146996508634901,0,0,0,0.0795503441745536,0.00232840039770143,0.0147044077242339,0.066058095472402,0.103700927848919,0.00238520116312605,0,0.0882516860281036,0,0,0,0,-0.0439589562237342,1.12575271676259
PR.2872,0.130816686650918,0,0.173393735155815,0.19467498350465,0,0.119009803101465,0,0.0501439446810569,0.0427449631065102,0,0,0.0656289446154383,0.0380018832528114,0,0.0108648207319738,0.0369708528017378,0,0,0.0422986493329438,0.0954507330646803,0,0,0,0.00631782683473995,1.1030582436715
PR.2916,0.0730966245455028,0,0,0.095777213947413,0,0.1975100712159,0,0.21717255678153,0,0.0262000649067175,0,0.0517416223201836,0.00327578499128042,0.0190140638834292,0.0192713460123851,0.102071227374071,0,0.000468361138572811,0.146118603892275,0.0482824589907392,0,0,0,0.015809959595984,1.09329874755106
PR.3023,0.1076093769752,0,0.0339767135145137,0.0821378036190184,0,0.125611970813741,0,0.138678382815803,0.0178099440030398,0,0,0.0639436058569143,0.0142629243299701,0,0.0437927539552978,0.236508194158463,0.00375257144022042,0,0.131915758517819,0,0,0,0,0.00709122093006031,1.07380382793624
PR.3026,0,0.0333805313935849,0,0.124545567839919,0,0.283207487555832,0,0.128181795522774,0,0.0385070677248569,0,0.0518011437621491,0.01463354891311,0,0.0548060828419494,0.160511452130533,0,0,0.0722797273368973,0.038145594978396,0,0,0,0.0338828201930102,1.08907619075261
PR.3034,0.0327985342377964,0,0.290032127159877,0.0907779937383341,0,0.0974309838101225,0,0.0883841340626998,0.00763515396808896,0,0,0.077015716608243,0.00260445606447998,0,0.00872800894564744,0.149178018685208,0.0200066611976604,0,0.106258497916078,0.029149713605764,0,0,0,0.257057484343193,0.986827887789125
PR.3035,0.069151924317435,0,0.0334842425066452,0.176600289575821,0,0.129656780993239,0,0.114436742197498,0.0138407007130984,0,0,0.101928705087324,0.02197383783563,0.0101307911571988,0.0311448456617112,0.124995361819127,0,0,0.116665226410924,0.0559905517243477,0,0,0,0.00979857688901613,1.09358567033596
PR.3048,0.114855455881833,0,0.157461301930439,0.11153511943145,0,0.169360001662471,0,0.127307046294383,0.00947238313171589,0.0040258043655652,0,0.0648607864732969,0.00418895025796176,0,0.0444049101483043,0.0690734054213813,0.00226408186550358,0.0100227762538145,0.0939907109269309,0.0171772659549511,0,0,0,0.168085067590631,1.02328007173448
PR.3051,0.0591469690979934,0,0.0069246782283576,0.154926284742583,0,0.0451619158351666,0,0.154957710275875,0,0.105576406933367,0,0.0355408581356678,0.0832031838857027,0.0212418929901687,0.0776286879113415,0.041044183857031,0.0117396105047039,0,0.147769650887785,0.0551379667142567,0,0,0,0.253525657063951,0.986239781937517
PR.3127,0.0730904173253857,0,0.0392768036404613,0.0985615837750575,0,0.122776630865231,0,0.107893792133018,0.000163960785981268,0.0145741667307253,0,0.106974815442699,0,0.116217043599557,0.0348213916976992,0.136683088490175,0,0,0.14896630551401,0,0,0,0,0.0225038042689318,1.07606586094847
