Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
X1_rep1,0.338685859978193,0,0.0844056577654017,0,0,0.0462666161948483,0.0220388620502615,0.0728950433149365,0.122323410351296,0,0,0,0,0,0.0159509997643714,0.0397693849960424,0,0.0657726821353244,0.174638640398758,0,0,0.017252843050567,0,0.50992364862877,0.901355034717527
X1_rep2,0.320838313747921,0,0.148222710090581,0,0,0.00373406408889732,0.0201233383941851,0.167087018216935,0.0828440918721229,0,0,0,0.0168223160600084,0,0.0344401741349853,0.0382181804010146,0,0,0.146638466344377,0,0,0.0210313266489724,0,0.551934900226673,0.888225379789542
X10,0.254383275834388,0.0413874101296103,0.237630803127719,0,0,0,0,0.2649131855982,0.0371423388789129,0,0,0.000207251751704206,0.0932257367828656,0.0117507013335383,0,0,0,0.0252210054123479,0,0,0.0341382911507134,0,0,0.682652433387747,0.835075561314759
X100_rep1,0.168045938816839,0,0.21745519722084,0,0,0,0,0.340534271890884,0.0579870076093451,0,0,0.00441655418862986,0.106178877516466,0,0,0.0310673923050335,0,0.0235855955020534,0,0,0.050729164949909,0,0,0.549411096123007,0.857393822331922
X100_rep2,0.164096625245292,0,0.214016083043675,0,0,0,0,0.339103400176094,0.0606351899290815,0,0,0.00122904546111829,0.105145881403675,0.00056913117230374,0.000502551060750904,0.0262956097971927,0,0.0300756453634895,0,0,0.0583308373473271,0,0,0.581585701033613,0.844464065498987
X101,0.110072518722684,0,0.220295353794948,0,0,0,0.0122048160082736,0.303553545316996,0.0895574546366302,0,0,0,0.105579981548104,0,0.00188408126415578,0.0455120905105308,0,0.0788603593925717,0,0,0.0324797988051065,0,0,0.602893818407492,0.839371337521128
X102,0.260411306992778,0,0.239581054473193,0,0,0,0,0.322801904733261,0,0,0,0.0318128533663101,0.10157166598552,0.010679703585172,0,0,0,0.00277950980317052,0,0,0.0303620010605958,0,0,0.581353782370517,0.857890800266494
X103,0.233309933870921,0,0.163231833709056,0,0,0,0,0.246965093273881,0.0930116057841111,0,0,0,0.119580907161944,0,0.00966613618780045,0.0461451304098618,0,0.019485344734742,0.00162084694791599,0,0.0669831679197669,0,0,0.578905458040104,0.857560106705274
X104,0.184841063893805,0,0.220170373929967,0,0,0,0,0.336506465479645,0.0489984121344042,0,0,0.00518864256021638,0.0945413206424299,0.00756603950406494,0,0.0154933862639525,0,0.0407974340503026,0,0,0.0458968615412122,0,0,0.592560118907767,0.8432668570917
X105_rep1,0.234391931693918,0,0.182369458134441,0,0,0,0,0.257637437038058,0.0690060359505,0,0,0.0146021832496055,0.103229996994093,0,0,0.0409728662359707,0,0.054913082866324,0,0,0.042877007837091,0,0,0.531102929964369,0.875325748838926
X105_rep2,0.178408592228122,0,0.21498206010599,0,0,0,0,0.317880249597038,0.0569111603068339,0,0,0.0156114325489019,0.0939724350841576,0,0,0.032509130123386,0,0.0652017104822325,0,0,0.024523229523337,0,0,0.534228000456993,0.867527115505728
X106,0.308432478664504,0,0.201103013090974,0,0,0,0,0.256731329468863,0.0414968586894521,0,0,0.00279339468740873,0.0922856736087667,0.00604458338558317,0,0,0,0.00626813132958299,0.0146630492754703,0,0.0701814877993946,0,0,0.56925525857104,0.867222065024093
X107,0.191660198941474,0,0.259039791742851,0,0,0,0,0.333650076580636,0.0266382467576685,0,0,0,0.10343042509144,0.00575177414883184,0,2.68132739630495e-05,0,0.0229938345995416,0,0,0.0568088388635928,0,0,0.646652104738309,0.824972534927866
