Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
MO_1008.Tumor_Dura,0,0.222729318696114,0,0,0,0.191647541280031,0,0.193810810982475,0,0,0.0398803283220416,0.0343682768801732,0.105570346714408,0,0,0,0,0,0,0.211993377124758,0,0,0,0.00524295987235107,1.10871711954617
MO_1015.Tumor,0,0.0210083756005299,0,0,0.077001727971834,0,0,0.0835230904949278,0,0.225826345612887,0,0.115430784324998,0,0,0.0551810871045414,0.0527544471270926,0,0,0,0.339492800186488,0.0297813415767004,0,0,0.0935867133518345,1.15086129501688
MO_1040.Tumor,0,0.13702464563182,0,0,0.176528308249904,0.0662489652686444,0.0183983296978711,0.0623818750533766,0,0,0,0.108390695659888,0.0281164985146333,0.0305811921775505,0.0889155448756619,0,0.0555382485374463,0,0.227875696333204,0,0,0,0,-0.00392212642826449,1.09551994008111
MO_1054.Tumor,0,0.0510511366521952,0,0.0607830376243655,0,0.269601517712398,0,0,0,0,0,0.0630952336794812,0,0,0.0199156467812449,0,0.0717341534182215,0,0.463819274132094,0,0,0,0,0.0334499941517478,1.13028979741809
MO_1071.Tumor,0,0.0353495112524414,0,0.0293666013923513,0.14089921866827,0.142162923449464,0,0,0,0,0,0.0766008491686384,0.0809430294202308,0,0,0,0.091046929418644,0.0443439781230317,0.359286959106929,0,0,0,0,0.0660634950958664,1.08126449540431
MO_1074.Tumor,0.00845028269267595,0,0,0.0893073712582299,0,0.166106724029972,0,0.0873070128690775,0,0,0,0.087657604356681,0.0319775115311517,0,0,0.044377614444902,0.0111805666824816,0.13618880864295,0,0.263552192800658,0.0696554284060732,0.00423888228514684,0,0.0619038792783992,1.1059734012881
MO_1084.Tumor,0.224285003989462,0,0,0,0.324690262004673,0.160250869589096,0,0,0,0,0.11341773320737,0,0,0,0,0,0,0,0,0.0974730426111587,0,0.0798830885982402,0,-0.0128404436310481,1.1300643747285
MO_1094.Tumor,0,0.00492528327840746,0,0,0.153711475548171,0.0605248101436789,0,0.0606556044945881,0.0146997094650648,0,0.0823844109552204,0.072363233715524,0.00652077594326991,0,0,0.0481573823125748,0,0.381882836979818,0,0.114174477163682,0,0,0,0.0107039292241929,1.14838842255855
MO_1095.Tumor,0,0,0,0.010941738917198,0.165848963658376,0.298712781265642,0.0327870891091841,0.052125578244972,0,0.0264055930656123,0,0,0,0.0131822100389438,0.0607230700212398,0.0497950756357973,0.00375873558804746,0.00359891961847608,0,0.236291052372862,0.0458291924636496,0,0,0.0508401512539137,1.10561532200451
MO_1096.Tumor,0.032092345452083,0,0,0,0,0.175370905190634,0,0.104587210886416,0,0,0,0.209678843072522,0,0,0.0450585259451782,0.144069880736465,0,0.0131864308623514,0,0.275955857854351,0,0,0,0.0735414221304009,1.13982527737392
MO_1114.Tumor,0.507236555770985,0,0,0.123158293926151,0,0.163062474053822,0.0612801455086167,0.0614219277819235,0,0,0,0.0551169719475185,0,0,0,0,0,0,0,0.00863563731454549,0.0200879936964387,0,0,-0.0349336102938731,1.16884203946739
MO_1118.TM,0.174724940995139,0,0,0,0.455220631136337,0,0,0,0,0,0.0997322062838349,0.00993007724376136,0,0.0979663656067603,0,0,0,0.123007712788058,0,0.0394180659461095,0,0,0,-0.0314768273019506,1.12858796434045
MO_1124.Tumor,0.115154462539009,0,0.0943303167127696,0,0.627200158162013,0,0,0,0,0,0,0.0110614078645678,0,0.042168053945527,0,0,0,0.0508114156701562,0,0.0468170576280394,0,0.012457127477918,0,-0.0690229231745696,1.16550256694328
MO_1130.Tumor,0,0.0343134864562923,0,0.0480013025307402,0,0.143561748659448,0,0.00578291913302015,0.00304982117875072,0,0.420053598977369,0,0.139203923668286,0.0344559557552706,0,0,0.00980547253284593,0,0.00205837002839058,0,0,0.159713401079587,0,0.458402906201247,0.90973942630696
MO_1161.TM,0.0913082995625523,0,0.276097998947745,0.0389811135165028,0.0205646950861366,0,0.0570437564572072,0,0.166407630265491,0,0,0.0647313264247761,0.0137007240786739,0.150418283465287,0.0258110203043904,0,0.00241825573459765,0.0099400713639487,0,0.0458192910473387,0.0295993437793883,0.00715818996596388,0,-0.0628741026718479,1.09061023777607
MO_1162.Tumor,4.94898815740993e-05,0,0.071938307930564,0.582753012172656,0,0,0.00613157237876933,0,0.00479973234701408,0,0.130044458290286,0.000286081179483218,0.089216844846918,0,0,0.0276934754260367,0,0,0.0520558980439566,0,0,0.0350311275027419,0,0.0620504737461366,1.13684699394902
MO_1176.Tumor,0.0823118522167037,0.478019097592333,0.0204873493777427,0,0.239830822616101,0,0,0,0,0,0.0445181213946549,0,0,0.103764332365801,0,0,0,0,0,0.031068424436664,0,0,0,-0.021922975556993,1.13113239374372
MO_1179.Tumor,0,0.017575014542618,0.153380052467086,0.017895598299562,0,0.107376620597217,0,0,0.0157680947622653,0.0058470390242734,0,0.0287192858793695,0.254934916003745,0.0913484632328115,0.0230074159540089,0,0,0,0.284147499237043,0,0,0,0,0.175154356842316,1.01645586921625
MO_1184.Tumor,0.0796825449089283,0,0,0,0,0.240375937089688,0,0.0215657232564555,0.0205011453635302,0,0,0.048854500767597,0,0.303485448839722,0.0474025878061979,0.135858897134004,0.0032594967435961,0,0,0.0174837950717889,0,0.0815299230184919,0,0.025232438223016,1.10629015087422
