Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
GSM152804,0,0,0,0,0,0,0,0,0,0.0122816436135289,0,0,0.14742957770087,0,0.162386621794607,0.331553178250757,0.346348978640237,0,0,0,0,0,0,0.313799343700379,0.923346612738527
GSM152805,0,0,0,0,0,0.034783967646519,0.0300112319915025,0.0439826535392893,0,0.058525253951176,0.0313039828917974,0,0.0935560132612305,0,0.151992964062821,0.296311094638395,0.259532838017269,0,0,0,0,0,0,-0.0320373798814791,0.966594304796914
GSM152806,0,0,0,0,0,0.285037783652227,0.0986203361601271,0,0,0,0,0,0,0,0,0,0.616341880187646,0,0,0,0,0,0,0.269585481630637,0.940330441550432
GSM152807,0,0,0,0,0,0,0,0,0,0.00702053117573173,0,0,0.161391324309664,0,0.136185427240022,0.314674078059393,0.380728639215189,0,0,0,0,0,0,0.252205338877428,0.931688479062907
GSM152808,0,0,0,0,0,0,0,0,0,0.00483174941629854,0,0,0.160293371037586,0,0.13143024358365,0.313667155646392,0.389777480316072,0,0,0,0,0,0,0.142100142426688,0.94648817990771
GSM152809,0,0,0,0,0,0,0,0,0,0.0104097416944281,0,0,0.166057420769045,0,0.148832191706078,0.317571342345943,0.357129303484506,0,0,0,0,0,0,0.275623340304926,0.928725357231138
GSM152810,0.0177694420711952,0,0.055679055710005,0.072230877269643,0.0197533749796203,0.153272179434909,0.0882206076747672,0.131626616985981,0.157660483444837,0.109286159773022,0.0935635206996962,0.100937681956323,0,0,0,0,0,0,0,0,0,0,0,0.103641462879634,0.952934200687058
GSM152811,0,0,0,0,0,0,0,0,0,0.00383453820190982,0,0,0.139926645089988,0,0.152353700073401,0.330175210411991,0.37370990622271,0,0,0,0,0,0,0.105534462010473,0.951393632188865
GSM152812,0,0,0,0,0,0,0,0,0,0.00896388774209191,0,0,0.140249849641944,0,0.16378468789832,0.332532061186267,0.354469513531377,0,0,0,0,0,0,0.162163861727296,0.943809219822831
GSM152813,0,0,0,0,0,0,0,0,0,0,0,0,0.198402367277254,0,0.0708481141291587,0.279695384733637,0.45105413385995,0,0,0,0,0,0,0.137128345206741,0.947127115293277
GSM152814,0,0,0,0.137464865986925,0,0.248770044896283,0.494381455836638,0.0384439667164694,0,0,0,0,0,0,0,0,0.0809396665636849,0,0,0,0,0,0,0.00447447000357021,0.964570984086656
GSM152815,0,0,0,0,0,0,0,0,0,0,0,0,0.120933329381833,0,0,0.304010744211325,0.575055926406843,0,0,0,0,0,0,0.20032488008707,0.937643716790773
GSM152816,0,0,0,0,0,0,0,0,0,0.0183860014785988,0,0,0.147884601330689,0,0.169523940128914,0.336944437098544,0.327261019963253,0,0,0,0,0,0,0.250891363609136,0.932060732004578
GSM152817,0,0,0,0,0,0,0,0,0,0.00437356763032849,0,0,0.163129746281119,0,0.127998449614879,0.313572226494273,0.390926009979401,0,0,0,0,0,0,0.207157361937538,0.937713744634137
GSM152818,0,0,0,0,0,0.13714326596838,0.162264048014246,0.0746765441742193,0,0.0191494084542961,0,0,0,0,0.185384611472562,0.39265773039985,0.0287243915164465,0,0,0,0,0,0,0.0956770791333159,0.953949735018348
GSM152819,0,0,0,0,0,0.029045473523834,0.0175797743365535,0.0389021948275413,0,0.0624399371274261,0.0355810418330381,0,0.118015838436537,0,0.140204730516841,0.287051840111833,0.271179169286397,0,0,0,0,0,0,0.118728420441536,0.950474242622814
GSM152820,0,0,0,0,0,0,0,0,0,0.0144516236647766,0,0.000984102779691446,0.126307252022724,0,0.169623377676411,0.340642140126546,0.347991503729851,0,0,0,0,0,0,0.102841570862564,0.951764035768939
GSM152821,0,0,0,0,0,0,0,0,0,0.0136860132412776,0,0,0.140178465865298,0,0.181948483988987,0.338395744828727,0.32579129207571,0,0,0,0,0,0,0.26000866404794,0.930723222620536
GSM152856,0,0,0.450884928827618,0.0595078566236563,0.148424564502681,0.0117228200140272,0.0420948776659562,0.0152608204194395,0.138710692267093,0,0,0,0,0,0.0565106828669547,0.0653282161533734,0.0115545406592005,0,0,0,0,0,0,0.486550246435995,0.890813045980947
GSM152857,0,0.0205300962051844,0,0.0409537678732885,0,0.213157402303058,0.214011647897707,0.0536526603824476,0,0,0,0.285932492845068,0,0,0.105065829439762,0.0666961030534839,0,0,0,0,0,0,0,-0.262962558287069,0.985162589079878
GSM152858,0,0,0,0.0107931126356986,0,0.0367250467996106,0.052106523484496,0.053291296581671,0,0.0435597414543392,0.02143927371308,0,0.0386754497984566,0,0.19401488055583,0.332939705187705,0.216454969789113,0,0,0,0,0,0,0.0837841449622129,0.954361914379079
GSM152859,0,0.0381625014252889,0,0.018384839439607,0.00199217556300426,0.0130699183766717,0.0168008992578158,0.000711847712668668,0,0.0153045576781452,0,0.0102568278787413,0.0612494256364614,0,0.229374011262321,0.34015876023844,0.254534235530834,0,0,0,0,0,0,-0.129889441359791,0.982083458675306
GSM152860,0,0.123089780582,0,0.0319756937074761,0,0.193738863804457,0.18975193534955,0.0498436620323011,0,0,0,0.264363433971367,0,0,0.0953673225583142,0.051869307994535,0,0,0,0,0,0,0,-0.288543284534389,1.11763723056829
GSM152861,0,0,0,0,0,0.1062458124313,0.0879744143854288,0.00223206606627248,0,0,0,0.17739348943871,0,0,0.216149165496277,0.350360000282166,0.0596450518998461,0,0,0,0,0,0,0.161058941910616,0.948115059005098
GSM152862,0,0,0,0.157372607474942,0,0.202582418055815,0.233311726507735,0.0902043881711931,0,0,0,0.191631263357582,0,0,0.119717948819331,0.00517964761340171,0,0,0,0,0,0,0,-0.00183276074131154,0.96478245351203
GSM152863,0,0.133333199717533,0,0.045217655383077,0,0.0905755530778082,0.0641108280703753,0.0983003487350943,0.0277427957410046,0.0905146311194776,0.0718121894685198,0.0321606192060501,0.0306302319114736,0,0.0968916080385072,0.130577506565799,0.0881328329652806,0,0,0,0,0,0,-0.230322005148464,1.11366655113692
GSM152864,0,0.157297202102008,0,0.0396337457729053,0,0.100469429685013,0.0623472506140271,0.101933439973756,0.0124613388432548,0.102441603927682,0.0812348323040865,0.0301311084302618,0.0465011524436304,0,0.0695553443056366,0.0973200527639873,0.0986734988337519,0,0,0,0,0,0,-0.287580381391143,1.17828286065465
GSM152865,0,0,0,0.111406697706553,0,0.146874916936375,0.230455674930146,0.132454886642029,0,0,0,0,0,0,0.190379224021062,0.188428599763835,0,0,0,0,0,0,0,0.12072858083161,0.954859697890919
GSM152866,0,0,0,0,0,0.0220831162945054,0,0,0,0.0165711197786182,0,0.0749117124415083,0.00607935045843281,0,0.225590786923575,0.39746156884565,0.25730234525771,0,0,0,0,0,0,0.162200087511347,0.944293784210563
GSM152867,0,0,0,0.0596151672253547,0,0.137473409558491,0.229420096596854,0.112554145972155,0,0,0,0,0,0,0.190594257994241,0.270342922652905,0,0,0,0,0,0,0,0.0931758697690793,0.955706061287269
GSM152868,0,0,0,0,0,0.186198652591819,0.198719527642703,0.0774846141771908,0,0,0,0.115208996055387,0,0,0.163652359558138,0.258735849974764,0,0,0,0,0,0,0,0.190378382722293,0.949464463893515
GSM152869,0,0.0405180893678129,0,0,0,0.24834004560353,0.166605746303198,0.115859270186805,0,0.0752523247953413,0.021835411278684,0.33158911246463,0,0,0,0,0,0,0,0,0,0,0,-0.210629734163601,0.999597671046176
GSM152870,0,0.0119995267532208,0,0.080912011369598,0,0.21025460528058,0.221608507195337,0.0785417490205144,0,0,0,0.235327854741848,0,0,0.122097470809389,0.039258274829513,0,0,0,0,0,0,0,-0.181232179822628,0.97578551275097
GSM152871,0,0,0,0.0861747505881632,0,0.0981612274498095,0.207322222994364,0.133740289343721,0,0.0080941410259244,0.000929602645508847,0,0,0,0.201674360266236,0.263903405686274,0,0,0,0,0,0,0,-0.0914672373718754,0.969325032732722
GSM152872,0,0,0,0.0877878361292847,0,0.189075023813994,0.237402446094963,0.091905874956983,0,0,0,0.105219726143937,0,0,0.149008447794673,0.139600645066166,0,0,0,0,0,0,0,-0.0444246578751923,0.965494811887042
GSM152873,0,0,0.0891115184456645,0.131935767794306,0,0.136563078490989,0.237203052759069,0.0480696839243436,0,0,0,0.0253079963167021,0,0,0.118263912980909,0.213544989288017,0,0,0,0,0,0,0,0.147642885030511,0.951469058235343
GSM152874,0,0,0,0,0,0.195980383629961,0.214426053311047,0,0,0,0,0.317253346496489,0,0,0.0713211911756149,0.201019025386888,0,0,0,0,0,0,0,0.156392509090128,0.954147644189363
GSM152875,0,0,0.0863384070258437,0.0998278743879386,0,0.103879555987103,0.19822570752225,0.123170495732567,0,0.00162963892038095,0,0,0,0,0.179460013593831,0.207468306830084,0,0,0,0,0,0,0,-0.0624192362457374,0.966080892856446
GSM152876,0,0,0,0.0854684927825273,0,0.148743587094575,0.24805401839959,0.0819274786558624,0,0,0,0,0,0,0.164722207765094,0.271084215302351,0,0,0,0,0,0,0,0.0678916363591033,0.957647569947183
GSM152877,0,0.097477719607945,0,0.0418004568203112,0,0.0993160213807421,0.066465315042187,0.104519138856161,0.0228394333700007,0.0991864203245114,0.0772238446708588,0.0329725173714588,0.0250421250479657,0,0.0953013148505392,0.139386743125014,0.0984689495323053,0,0,0,0,0,0,-0.294302431788932,1.07608888821798
GSM152878,0,0.0259649994015608,0,0.0527540824452825,0,0.150499783260688,0.0958414694928839,0.149761138053432,0.0443156058593733,0.137847511909437,0.106791437630024,0.0437123703522291,0,0,0.0490921720272302,0.0878873692901381,0.05553206027772,0,0,0,0,0,0,-0.242368948444538,0.988530534776049
GSM152879,0,0.0889090891412345,0.0375660908539754,0.0703074108902267,0,0.0699389515467931,0.0881840536282556,0.00314674802077229,0,0,0,0.0731249055565411,0,0,0.17552023843407,0.236296272919983,0.157006239008148,0,0,0,0,0,0,-0.32953625678544,1.06616040734065
GSM152880,0,0,0.325222630418243,0.0386830939377243,0.109504133321294,0,0.0252790024728504,0,0.0931555621161092,0,0,0,0,0,0.118949954670426,0.179652656645826,0.109552966417527,0,0,0,0,0,0,0.340595209978591,0.923067153615599
GSM152931,0,0,0,0,0,0.0391720252640981,0,0,0,0,0,0,0,0,0,0,0.960827974735902,0,0,0,0,0,0,0.122386541560737,0.949103891677946
GSM152932,0,0,0,0,0,0.0614467377430983,0.0977767258768566,0,0,0,0,0,0,0,0,0.157546740813612,0.683229795566433,0,0,0,0,0,0,0.230077014055493,0.93657227591894
GSM152933,0,0,0,0,0,0.253847956256209,0.362359793015199,0,0,0,0,0,0,0,0,0.0228207497480359,0.360971500980556,0,0,0,0,0,0,0.217054709172826,0.950443693265132
GSM152934,0,0.03364030034709,0,0,0,0.0058091092446182,0,0,0,0.0436346439136793,0.0123235037965438,0.0164549421199828,0.128960333948615,0,0.148865117364923,0.295278880124942,0.315033169139606,0,0,0,0,0,0,-0.102836410881631,0.976359205263471
GSM152935,0,0,0.117608150549582,0.128247394791194,0,0.142055105792525,0.262104347357475,0.079891897523923,0,0,0,0,0,0,0.0972572772458406,0.172835826739461,0,0,0,0,0,0,0,-0.0893107911786985,0.968110609259588
