Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
GSM3934487,0.00114909754597314,0.0432575828255013,0.0244310828868934,0.201658127032081,0,0.125020753297704,0,0.14298434637299,0,0,0,0.179289411990117,0.0647283147776763,0,0,0.0937136407215365,0.0138681694772092,0.0272118226978816,0,0.0826876503744364,0,0,0,-0.0190509836948065,1.11625806346529
GSM3934488,0.0168714270572492,0.0798800379815368,0.0223649772340051,0.282064905235129,0,0.0567004638871422,0,0.110326939407478,0.00131399381234105,0,0,0.118673191892542,0.0962261686743191,0.0258282049129113,0,0.035978361453803,0,0.0571540530485363,0.096617275403007,0,0,0,0,-0.0184969642092132,1.1047367339342
GSM3934489,0,0.149477641993106,0.0576604877772249,0.1867094740629,0,0.161292216948674,0,0.0472308322284931,0.0147682948262055,0,0,0.104070061820421,0.0718299208162252,0.0566693602203109,0,0.0539488994217477,0.010026658192176,0.03560504742853,0.0507111042639855,0,0,0,0,-0.0147541810880881,1.09617445438296
GSM3934490,0,0.10161663463848,0.0157103369967318,0.190718349665042,0,0.0742770737884473,0.00043691261801933,0.0389450880881548,0.0126145717815217,0,0,0.111775300131503,0.124049001071185,0.0990791559090584,0,0.0330560984944106,0.0229227239784974,0.0728878766834157,0.101910876155534,0,0,0,0,-0.0205948881253168,1.08423893678766
GSM3934491,0,0.137831053819084,0,0.166418073206952,0,0.0801807601526944,0,0.128963772801489,0.00242406261090273,0,0,0.145916608480643,0.0470749775235659,0.135897773332902,0,0,0,0.086244697858967,0.0690482202127989,0,0,0,0,-0.0192254856643759,1.10013253204392
GSM3934492,0,0.193977751757042,0.02190917583259,0.122478930454595,0,0.0233548394380427,0.0266394464750508,0.102305735420525,0.0185383882979011,0.0177085239597474,0,0.00716470422678103,0,0.212983496072643,0,0,0.0518965033238583,0.114547861562613,0.0267993127378857,0.0596953304407249,0,0,0,-0.0182134391707499,1.09311850065711
GSM3934493,0.121299214143235,0,0,0.293821733809123,0,0,0,0.109415400054625,0.0265804376368959,0,0,0.124556162516754,0.0919204106869227,0.115439655102338,0,0,0,0.0212457718507862,0.0957212141993204,0,0,0,0,-0.019690682291501,1.10900516012288
GSM3934494,0.103603620694056,0,0.00421565327517065,0.219656156092143,0,0.0424760469805962,0,0.130428696202986,0,0,0,0.193409600698957,0.0548183588086153,0.0436379504292972,0,0.0469785094458111,0,0.0548998236807046,0.105875583691662,0,0,0,0,-0.0178793820975668,1.11349486901116
GSM3934495,0.0105757095530255,0.0861681459730303,0.0320333364282163,0.272400323387182,0,0,0,0.0726099602500165,0.0232591806428831,0,0,0.182134350602593,0.109624573468957,0.0655968618429712,0,0.0477500033476812,0,0.0188464584019259,0.0790010961015185,0,0,0,0,-0.0194462188435273,1.11036629671851
GSM3934496,0,0.203802408618492,0.0118957424431436,0.222232035862334,0,0.114514520529645,0,0,0.0347119560979858,0,0,0.140655572681943,0.0524293505904635,0.0769744707294867,0,0,0.0203598439355181,0.0362819312260395,0.0378772025900878,0.0482649646948599,0,0,0,-0.01806216445801,1.10674950758301
