Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
SA506715,0.176820872826089,0,0.0821743977454776,0.212538297996604,0,0.0502638450647501,0,0,0.0499790297934561,0,0,0.0939135798246563,0.0697515353727613,0.102812963489773,0,0,0,0.0334296626018471,0.128315815284586,0,0,0,0,0.00861397621483574,1.08096183279463
SA506725,0.0713197419726296,0,0.244292281304281,0.127289039111552,0.00863641833352455,0.0690285230121465,0,0,0.0304260092242185,0,0,0.0935599833648501,0.0632080623356914,0.106861346874654,0.0877980739266372,0,0,0,0.0865062201294483,0,0.0110743004103673,0,0,0.0846617256510058,1.04304797186788
SA506730,0.156124604472802,0,0.084499627272968,0.17670769464567,0,0.157937898636955,0,0,0.0831846166604916,0,0.0144171837864962,0.0467992937511423,0.146442085834256,0.0370580598134623,0.0148087135357735,0.073497265360159,0,0,0.00852295622982286,0,0,0,0,-0.0131891410535137,1.0931612601479
SA506746,0.142121094392625,0,0.130704892767091,0.155064827528312,0,0.160135120188443,0,0.0339437489587768,0.0470606418140146,0,0.0424323293392475,0.0481844190190906,0.150339399830046,0.0409046266138901,0.00122635949991901,0.0345329132674234,0,0.00792407097075031,0.00542555581037135,0,0,0,0,0.0218789516224558,1.07867095493794
SA506749,0.260568135046874,0,0.205139068057141,0.1195409384752,0,0.0240653273318149,0,0,0.030696302736875,0,0,0.0656982390279456,0.0771595614871356,0.0749964632585081,0.0268188702739195,0,0,0,0.115317094304586,0,0,0,0,0.104506438637017,1.03039762226565
SA530468,0.135464735873954,0,0.108024681655615,0.194561295992897,0,0.055042683234393,0,0.0152412289819367,0.0149697547423011,0,0,0.0772269748835614,0.0999997137057733,0.0250198148518478,0.0275018526115097,0.113250760640709,0,0.00326169004689441,0.130434812778607,0,0,0,0,0.0594934433157583,1.04977692683437
SA530470,0.166923933418524,0,0.114263550125968,0.183498342788368,0,0.0890906601658665,0,0,0.0847131828261498,0,0,0.0836786674385345,0.1324913779461,0.03817793136487,0,0.0496547499218621,0,0,0.0575076040037568,0,0,0,0,0.0242700209826469,1.07410471805146
SA530473,0.177588889809386,0,0.184119869627451,0.183820405072105,0,0.0753771128214302,0,0,0.0254187898683962,0,0,0.0903302959947362,0.0770797781823678,0.0851879913473779,0.0169806858417889,0,0,0,0.06920342435141,0,0.014892757083551,0,0,-0.000315714682752239,1.07759271363809
SA530478,0.169416348614576,0,0.0973592970186737,0.166776862466423,0,0.0894088748830052,0,0.0062930257772554,0.0655024336306767,0,0.00721345285207598,0.0527020803481611,0.135558064862179,0.0546407101547152,0.0217604242226484,0.073403010383532,0,0,0.059965414786078,0,0,0,0,-0.00721222064517373,1.07664536988573
SA530482,0.147437772361538,0,0.0623498078345495,0.169609487889965,0,0.200852336686398,0,0,0.0215615652338841,0,0,0.0466929308979348,0.100011322735617,0.0168080790490359,0.00346976291945738,0.0536431585441823,0,0.0256279982854789,0.151935777561959,0,0,0,0,0.0660459415920303,1.05459591090116
SA530485,0.237363841855254,0,0.161603850508433,0.171045815913477,0,0.0384555123761372,0,0,0.0346089249279421,0,0,0.0813567038200557,0.0561142498076053,0.0919054373971899,0.0195457772992312,0,0,0,0.107999886094675,0,0,0,0,-0.00766863179584179,1.07840544313637
SA530488,0.158346382597261,0,0.147230178146594,0.175525615825099,0,0.129241569297603,0,0,0.0217774353602898,0,0,0.0594776472881696,0.105298081041742,0.02972951691767,0.0225622282629724,0.0549030352911518,0,0,0.0959083099714483,0,0,0,0,0.00604840794079461,1.07004764348546
SA530492,0.153082502354885,0,0.15184675034186,0.110349284557373,0,0.113429531087276,0,0,0.0425249702161548,0,0,0.0829449437548483,0.0890633120783402,0.119115450150564,0.0317293924224415,0.000254287934292134,0,0,0.105659575101964,0,0,0,0,-0.0210385217944637,1.07775784840606
SA530496,0.109775046754127,0,0.0970614495961786,0.189397671838319,0,0.202740654364578,0,0,0.0213566464916811,0,0,0.0469971379577134,0.133789348274339,0.0182127356857284,0.0232399267225608,0.1079762393073,0,0,0.0494531430074739,0,0,0,0,0.0228978876894714,1.07357506728644
SA530500,0.0551446453090031,0,0.125815797370747,0.159017826515688,0,0.140842558091938,0,0,0,0,0,0.090192912709868,0.114049111767879,0.0914068989573966,0.0840408945563488,0,0,0,0.123232009657629,0,0.0162573450635022,0,0,0.0800572810930147,1.05087968555437
SA530502,0.112897981302078,0,0.249304387710801,0.0315156426798582,0,0.160600274043689,0,0,0.0466123855571032,0,0,0.0771746238335459,0.120214527087296,0.100385906175565,0.0140120723675234,0,0,0,0.0602946754317082,0,0.0269875238108309,0,0,0.0504566650089723,1.04571426836156
SA530506,0.0557274510137121,0,0.0376017867274098,0.0433439329867004,0,0.293297708103506,0,0,0,0,0.0117472841933767,0.0430327544655194,0.0947947057246694,0.0997886380665352,0.142708076773017,0.0226969880252504,0.00152752355786088,0,0.140577387386283,0,0.0131557629761605,0,0,0.193391293883281,1.01153153487583
SA530507,0.209011162685867,0,0.135452416639171,0.178271377386988,0,0.0477088269503821,0,0.0161488299889201,0.0123635922859255,0,0,0.0855327486844227,0.0610346968074787,0.09281950213741,0.0173203062698906,0,0.00631974569701791,0,0.132403439552339,0,0.00561335491418759,0,0,0.00208026933304182,1.0745829191708
SA530512,0.137944773172539,0,0.0948955361489276,0.071630568862616,0,0.185064094694139,0,0,0,0,0,0.0775247110957031,0.0826041952059423,0.0629686767950628,0.0705464534016197,0.0436330933908853,0,0,0.16524755230738,0,0.00794034492518561,0,0,0.0548165194866506,1.05142955593581
SA530515,0.155830559927608,0,0.113609664236469,0.184273900589806,0,0.113201905636061,0,0.0211939773580812,0.0119988887760058,0,0,0.0851352409005791,0.0905398366876325,0.0415120266687518,0.0095507271706936,0.0550699350323497,0,0.00284053707246581,0.115242799943496,0,0,0,0,0.00805415202353608,1.07569444273306
SA530519,0.174305058152232,0,0.165543396805325,0.125460851163364,0,0.0985687959646548,0,0,0.0300507856306677,0,0,0.0852018142230744,0.0818067842193328,0.103943766902186,0.0290257999021682,0,0,0,0.0905178359496205,0,0.0155751110873745,0,0,-0.0132525698799631,1.07557182936966
SA530524,0.154953122506642,0,0.106861118141443,0.185552993650752,0,0.199531795359339,0,0,0.00547318644808,0,0,0.0496735075289252,0.0881776769920039,0.044064510372659,0.0190952961277219,0.0278885101951978,0,0.000325581844806219,0.11840270083243,0,0,0,0,0.0120456587382457,1.07604970371641
SA530527,0.1489598549522,0,0.110992056435911,0.0891210339566262,0,0.163788793220466,0,0.0019075624459575,0,0,0,0.069213508256811,0.102849783851532,0.0164773105428711,0.0323456341177349,0.110186758920081,0,0,0.154157703299809,0,0,0,0,0.0318500949146153,1.05474356829137
SA530530,0.159059573936303,0,0.124131678358244,0.197698829525443,0,0.0800875991239898,0,0.0396157801598699,0.0743180662897546,0,0,0.0726373867634474,0.130813708817143,0.0261897988536383,0.00983204918034646,0.0576994208180242,0,0,0.0279161081737959,0,0,0,0,-0.0213618036969906,1.09308468252071
SA530532,0.158773725231768,0,0.072653040728565,0.200344660673252,0,0.0885564309722594,0,0.0249243226405856,0.0803155669197035,0,0,0.0674395572277109,0.116940095391642,0.035609571846945,0.0338963210610392,0.0687911297293283,0,0,0.0517555775772012,0,0,0,0,-0.0286383591123479,1.09589949467174
SA530533,0.239126477963573,0,0.126035653705792,0.0981284163216721,0,0.0884152784535657,0,0,0.0406507277357866,0,0,0.0693479818160076,0.0661178085935632,0.0845206760365029,0,0,0,0.0133625311886225,0.174294448184914,0,0,0,0,0.0138066791380001,1.06540471065333
SA530535,0.100260735461116,0,0.138172197094478,0.0806802664799391,0,0.128535360017804,0,0,0.0305624900910252,0,0,0.0915338255223763,0.140679018802096,0.0869774210034074,0.0539020652417809,0,0,0,0.148696620285976,0,0,0,0,-0.00802693056553682,1.07255267475694
SA530539,0.137530402520971,0,0.0726435058757843,0.118705835697073,0,0.150039471807556,0,0,0,0,0,0.102672656185473,0.105631371799689,0.055019519588928,0,0.029674192930287,0,0.0340407875718577,0.194042256022381,0,0,0,0,0.0438136522754041,1.06131613754215
SA530542,0.135109834316309,0,0.114353565732648,0.0547477926113012,0,0.276166892698171,0,0.0327134886861471,0.00519551460951969,0,0,0.0516248962827666,0.090945293090593,0.0310818073794095,0.0208146559714894,0.0778116237551771,0,0.00951014007649545,0.0999107862010162,0,1.37085889571694e-05,0,0,0.0597569671424909,1.04920011948978
SA530546,0.177278042735192,0,0.154807828703693,0.149302477815546,0,0.0603299967893605,0,0,0.0658399275852317,0,0,0.0702374337335113,0.113425211701859,0.0854430035224345,0.0246461194758788,0,0,0,0.0817606780131751,0,0.016929279924118,0,0,0.0494727179726338,1.05206498959418
SA530550,0.0521743887019272,0,0.109258491102791,0.0761322888244023,0,0.36712221466503,0,0,0,0,0,0.0566354104696047,0.102120332979635,0.0659392961596491,0.0409636325095753,0.0324360807938918,0,0.00673017905751311,0.0904876847359806,0,0,0,0,0.0658154780513932,1.05870621451092
SA530553,0.209216940594893,0,0.0745662054853517,0.101583692329658,0,0.0949299698661201,0,0,0.0417775055026725,0,0,0.0845008934992303,0.101898699554018,0.108579006358068,0,0,0,0.0405089087867376,0.127773887330233,0,0.0146642906930174,0,0,0.00700843188921057,1.07033431318629
SA530558,0.26305963372116,0,0.0496257617041481,0.106952162956927,0,0.109363484501714,0,0.000919557951749223,0.0851853866090691,0,0,0.100582791373875,0.0875871330533325,0.0775500612689057,0,0,0,0.0196543175450125,0.0995197093141066,0,0,0,0,-0.0290581188581777,1.09939279918367
SA530562,0.23534059057987,0,0.221320890214353,0.0851363887332136,0,0.109145082130259,0,0,0.0590238823858651,0,0.00753110287020093,0.0752261908525022,0.0964888047752908,0.0677048278723709,0,0,0,0.0163086379327075,0.00619346126987462,0,0.0205801403834915,0,0,0.0179338647679598,1.0680782341157
SA530566,0.104474616245075,0,0.147111095875418,0.117755907270318,0,0.268659145569489,0,6.1708596591731e-05,0.0252730024605194,0,0.0223368590629236,0.0492834319772411,0.131846995518456,0.0580792548538967,0.0238105829523749,0,0,0.0211346659928495,0.0301727336248472,0,0,0,0,0.0509927877614594,1.0638944549168
SA530567,0.101477250457523,0,0.215264724831516,0.12668637863893,0,0.203972587420792,0,0,0.0141920995140899,0,0,0.0936731310197704,0.123329615059903,0.0718042501540546,0.0073043675736123,0,0,0.0135866490073052,0,0,0.0287089463225034,0,0,0.0539288840104874,1.06140350050589
SA530570,0.150389862067303,0,0.111840428495325,0.12059449714746,0,0.132097108039687,0,0,0.0498805142569516,0,0,0.097393378267128,0.0761995933258805,0.0885870067015156,0.0643259988574081,0,0,0,0.10787868401684,0,0.000812928824500741,0,0,-0.00810029588442599,1.0833807620221
SA530574,0.153340798077192,0,0.132454575031406,0.106057853108248,0,0.139484985068738,0,0,0.00709359088990804,0,0.00301008003427196,0.0757897434961491,0.142022420707289,0.0909306517635931,0.0341423468312732,0,0,0,0.0874646447035231,0,0.0282083102884076,0,0,0.0290974817697993,1.05959289477954
SA530575,0.228823703824156,0,0.205553670459913,0.12393878880455,0,0.18212677647591,0,0,0,0,0.0122471034622314,0.0511733229956221,0.082399118819835,0.0606078453658954,0,0,0,0.0177725821029684,0.016345406264638,0,0.0190116814242807,0,0,0.0479333128372406,1.05936097826395
SA530578,0.273059743036676,0,0.208910857710063,0.0914411593479782,0,0.0866882072825793,0,0,0.0156126756185211,0,0,0.0687643368803771,0.0775816414420863,0.0863106990648217,0.00563257998178681,0,0,0.0109531757054478,0.0637511692003813,0,0.0112937547292819,0,0,0.0215520525943647,1.06256698870928
SA530582,0.128954923021219,0,0.159112303795095,0.150434665594579,0,0.068492060559631,0,0.0899219487623071,0,0,0,0.0933635212752805,0.130936381867387,0.0753593980028673,0.004678925770124,0.0095415145887503,0,0,0.0892043567627591,0,0,0,0,0.0238484545949927,1.06594325732015
SA530583,0.13892397713084,0,0.111435980979912,0.161319372218955,0,0.0932550571442881,0,0.0310708971492883,0.0694374373348549,0,0,0.0801201527210253,0.168461633073476,0.0660052734779783,0.0574420565679974,0,0,0,0.022528162201385,0,0,0,0,0.0281069868053856,1.07422880321088
SA530586,0.0709935940851318,0,0.128949753658085,0.105163814100972,0,0.14850081030686,0,0,0.0443451791286901,0,0,0.0973754600669648,0.116411897592217,0.07735134124549,0.0767352511189275,0,0,0,0.107299095261664,0,0.026873803434997,0,0,0.0485752102734627,1.05976287971533
