Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
GSM38053,0.103895455915596,0,0.141119167236345,0.00293360942630445,0,0.171581920074034,0,0.108071896750216,0.00911679633686012,0,0,0.0652383431195457,0.038203277456296,0.0258541464278825,0.0474571097294442,0.0509267459356518,0.185962137729344,0,0.0496393938624807,0,0,0,0,0.055682102595254,1.06637966230669
GSM38079,0.113830297241627,0,0.216808225766921,0.105838533453069,0,0.078917882028489,0,0.0834835040023609,0.0102932721446168,0,0,0.100812621502605,0.021620407991608,0.0369411547779367,0.0263132913555346,0,0.186427512021248,0,0,0.018713297713985,0,0,0,0.288102851791556,0.986363234860382
GSM46837,0.0541154370897714,0,0.0737490058747736,0.202495783789304,0,0,0.00049927430832737,0.123144315661008,0.0155128810102812,0.114172679003607,0,0.135366125963232,0.023928470317792,0.00148075303053567,0.0646012472146988,0.068923318044548,0.0711799785305599,0,0,0.0281263522458212,0.0227043779157401,0,0,0.330493757093461,0.960692734240785
GSM46866,0.0477010613605444,0,0.196888127503837,0.0733581346216195,0,0.0772312225296278,0,0.0771782601227516,0.0233867352178527,0.0213430153446123,0,0.0392382656154802,0.0282771437706671,0,0.0469656946455916,0.0331047808766499,0.151791965754428,0,0,0.176056673739281,0.00747891889705751,0,0,0.277450758514347,0.981178684540189
GSM53061,0.0798599805556705,0,0.0788282015629628,0.150708623129681,0,0.242925451937661,0,0.0225884646969095,0.0409585682870458,0,0.0190657979216985,0.0217819844662328,0.0447174331742509,0.0282582954394642,0.13166958213404,0.0355937968248188,0.0688087557980381,0,0,0.0342350640715262,0,0,0,0.338905278360157,0.948365078099423
GSM53114,0.107466866789336,0,0.145756264643776,0.0250630227657764,0,0.195282164026936,0,0.0830594915527568,0.0293375652719224,0,0,0.117555174737659,0.0173208454444656,0,0,0.0509368709710081,0.106768782873871,0.0570864530048788,0,0.0643664979176146,0,0,0,0.167618640916682,1.03225745673437
GSM53152,0.0147027252811264,0,0.0443904302143954,0.188829985701987,0,0,0,0.0319726223802488,0,0.139787614897856,0,0.0714355369597303,0,0.169612258614592,0.0931907818732211,0.193115738260861,0.0499689161084379,0,0,0.00208337750043031,0.000346108359449994,0.00056390384766365,0,0.585311609681402,0.8154097204318
GSM53162,0.0748863894086937,0,0.0966572327377796,0.062390157116055,0,0.0205444906977186,0.0314171711131561,0.130796607292758,0.137830337816934,0,0,0.0594897758842994,0.0375000961573622,0.0110220884562504,0.0334307687435992,0.0309254239143788,0.212572608569365,0,0,0.0605368520916497,0,0,0,0.0094564917568792,1.08248488385509
GSM76516,0.0803775217369604,0,0.155450119444198,0.134124564982985,0,0.132613865079699,0,0.0310481253772434,0.0265628602674497,0,0,0.119554672841459,0.0165428681614931,0.0207366263749728,0.0274071276740629,0,0.227918305327401,0.00154725415007714,0,0.0261160885819985,0,0,0,0.17007582119791,1.03358885833482
GSM76544,0.0400719539089186,0.000142889704785746,0.0551579396573354,0.0545948880470671,0.00172845878701851,0.0609411094569005,0,0.0636092375467659,0,0,0,0.0347018500185485,0.0176613534303626,0,0.0609462261239566,0.298497432520422,0.125096638076649,0,0.0198789738827143,0.052219358840868,0.0833575765291883,0.031394113468499,0,0.476216803266723,0.880861464383562
GSM76553,0.142397915005102,0,0.122343372497707,0.152591418303523,0,0.0737356692869495,0,0.0577224754157831,0.0178702243301368,0,0,0.0848009228185725,0.0491516293896729,0.0644033593316974,0.0516678918435007,0.0288220556794897,0.109613124087326,0,0,0.0448799420105387,0,0,0,0.185868630718012,1.01994635073754
GSM76640,0.0794196600872464,0,0.0944161683622854,0,0,0.100631848971266,0.0165485041426632,0.0269511345588191,0.0304679847849061,0,0,0.0472947679780318,0.021932589783584,0.27753061753237,0.0470226885211713,0.045627311344225,0.187512815175719,0,0.0246439087577125,0,0,0,0,0.404422707398505,0.915470858685774
GSM76648,0.00708029453478043,0,0.103280493095181,0.164160537965794,0,0.110392026208061,0,0.0978138956041823,0.0109706084455201,0,0,0.0862394472596172,0.000550404187661938,0,0.0416530153204775,0.0652666449409121,0.227651604522886,0,0,0.0797215950369426,0,0.00521943287798456,0,0.138991917784812,1.03430258875395
GSM88977,0.103317503026876,0,0.101203992142298,0.0760441523149071,0,0.199765296659309,0,0.0602331337972449,0.0378306858488087,0,0,0.132661775166621,0.0347831323845126,0.0442701694734002,0.0203534486845801,0.0192070941741196,0.102344540218652,0.036485811450939,0.0314992646577326,0,0,0,0,0.135461876019465,1.04212030695007
GSM89017,0.154902959879303,0,0.106604191393179,0.0740953605054246,0,0.172908290228429,0,0.00261517863999633,0.0684246479388885,0,0,0.0764891168131746,0.0337190831365099,0.140380668365104,0,0.0680241573324125,0.0485271386851849,0.0132247730249213,3.12647837284039e-05,0.0400531692737437,0,0,0,0.130581344826264,1.04459032122444
