Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
GSM3378865,0,0.0488980386912658,0.113328240780166,0.299505173806544,0.0854017260936898,0,0,0,0.105026004042461,0,0.0538552947661468,0.0712710795904609,0.13228731811818,0.0851770124669066,0,0,0,0.00525011164417871,0,0,0,0,0,0.0353693822951592,1.1023770665807
GSM3378866,0,0.014187175117287,0.191944277316481,0.329266218561092,0.0641168018967895,0,0,0,0.0832991846513861,0,0.0104949927449366,0.0873467474038751,0.138662167034115,0.0806824352740375,0,0,0,0,0,0,0,0,0,0.0854141709077953,1.07274942159784
GSM3378867,0,0.024356028666907,0.1389661869521,0.273077335104803,0.0535694071635285,0,0,0.00344254145181004,0.104828571294626,0,0.0180540553538323,0.12132666317264,0.158189552039893,0.104189658799861,0,0,0,0,0,0,0,0,0,0.0720403820799425,1.08280257160507
GSM3378868,0,0.0488078338459836,0.158535000315202,0.319252224687118,0.00491830736420227,0,0,0,0.103315138608882,0,0,0.13091765395591,0.112985070440651,0.0734781378791489,0.0246058544604361,0,0,0,0.0231847784424666,0,0,0,0,0.0627827779229664,1.08577017471757
GSM3378869,0,0.0387649011115488,0.0898501516436486,0.335239806037745,0,0,0,0.0278462038685413,0.137513732191889,0,0.0284258845128112,0.0818328387597093,0.117257377924129,0.113585005249066,0,0,0,0.00615269992585704,0.0235313987750553,0,0,0,0,0.0476843098167809,1.0963450730887
GSM3378870,0,0.0993426206591969,0.092537383497949,0.328130803493459,0,0,0,0.0493074239565714,0.0881020904109934,0,0.0418617613801586,0.0716956825343145,0.100504308677392,0.0857170346415538,0,0,0,0.0401680767958959,0.00263281395251506,0,0,0,0,0.109302154439452,1.06468407049726
GSM3378871,0,0.13705223393595,0.0625260956076057,0.285889565560259,0.00542086708227099,0,0,0,0.100674843464831,0,0,0.131585517113672,0.153099364452785,0.0754870617463024,0,0,0,0.0132644693229062,0.0349999817134189,0,0,0,0,0.093106601447453,1.0715309751173
GSM3378872,0,0.0605079803179148,0.0811135809652146,0.286207164224867,0.0533030207594878,0,0,0,0.11829532297606,0,0.00965244403977895,0.110028123809206,0.179622867682096,0.101269495225374,0,0,0,0,0,0,0,0,0,0.0455076682364258,1.09701725603883
GSM3378873,0,0.0587758506843022,0.0788749957426536,0.26482599333241,0.0289466990867339,0,0,0,0.121987693882303,0,0,0.112047318598773,0.153514085715642,0.129963905481434,0,0,0,0.0181683861915408,0.0328950712842086,0,0,0,0,0.0682603497963584,1.07577666566692
GSM3378874,0.00781273390923886,0.00829627658241167,0.156367135800685,0.324799858096673,0,0,0,0.00070140090165652,0.154501256076592,0,0,0.118682244017878,0.137372106626711,0.0878617675859803,0,0,0,0.00360522040217372,0,0,0,0,0,0.0686639745375539,1.08724668635558
GSM3378875,0,0.0333804349283665,0.134702134052629,0.336710109266991,0.0229519416474026,0,0,0.00742607195157392,0.0990428625553375,0,0.0291152545004435,0.0989350503626678,0.13928720035307,0.0782050182599279,0,0,0,0,0.0202439221215909,0,0,0,0,0.0991278221635235,1.07289891010551
