Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
GSM355108,0,0.0365248064761919,0,0,0,0.185448162128956,0,0.126852303427593,0,0.0704366703447425,0,0.0295496182397447,0.0148707650428561,0,0,0.0708196618260382,0.117746612432192,0.0116301195726822,0,0.146451886955924,0.189669393553079,0,0,-0.0118495835670557,1.10259195962487
GSM355109,0,0,0.157993344800301,0,0,0.0532294832928554,0,0.114415812764329,0.0409061672058072,0.118946103645478,0,0.0421518803469494,0.0084365658002173,0,0.0200365545266383,0.0280422761016033,0.0770190817284982,0.0202588634360487,0,0.23523960891317,0.0489887622870849,0.034335495151019,0,0.106742106067441,1.05500103874443
GSM355110,0,0.108786754575616,0,0.0364408932799146,0,0.0328279913943463,0.0638515591525525,0.035746852519017,0,0,0.0526752128269371,0,0.0663701237700177,0,0,0,0.0922082874902581,0.113302755187104,0,0.256130584564646,0.0734140647616865,0.0682449204779048,0,-0.0293174399489731,1.12099229233671
GSM355111,0,0.0521262492845953,0.0317979012272288,0,0,0.126479059772185,0,0.156784385454866,0,0.167351278800701,0,0.136132603982353,0,0,0,0.0595062032789968,0.0167725559401788,0.0287648005798885,0,0.171092457659223,0.0531925040197833,0,0,0.0270893240511079,1.13169609392157
GSM355112,0.000717138538646531,0,0,0,0.244813561488672,0,0,0.0654327020944425,0.0844995032854932,0.032910299456525,0,0.0951163712998794,0,0,0,0.204404544992843,0.0130521622474546,0,0,0.201276166297027,0.0178505970944446,0.0399269532045721,0,-0.0132816189458825,1.12986828881944
GSM355113,0.00727499760256373,0,0,0.0106643960363177,0.145896950780533,0,0.104235979843292,0.118143639039076,0,0.102136901820876,0,0.0719768968522691,0.0182456786587885,0,0.165528541244801,0.133678773841706,0.0674352404524635,0,0,0.00660335546500502,0.0436620119850092,0.0045166363772984,0,0.564264783834661,0.827621478167949
GSM355114,0,0.126343771846832,0,0.0653217141385728,0,0,0.0510298188699786,0.0719354779918373,0.0945593047699961,0.142983382630432,0,0.0725357989638689,0.0724857900606598,0,0,0.12168890571546,0.0713494729770357,0.0269580774058159,0.0390420169384003,0,0.0437664676911113,0,0,0.0378161709158822,1.07521261316961
GSM355115,0,0.252104846816969,0,0.0142422147364322,0.00490399312840366,0,0.0917742611179386,0.0706028024222255,0.105933766526493,0,0,0,0.0743516540568816,0,0,0.0302681388559935,0.0369874070456116,0,0,0.245508322801123,0.0403166696652907,0.0330059228266368,0,0.170815440649051,1.02786744201213
GSM355116,0,0.0852806551116261,0.0235263496546009,0,0.1072417016002,0,0.024126098847714,0.0420373145663734,0,0,0,0.0427327478702651,0.359121177368799,0,0,0.115596268127491,0.0455945308909585,0.0188820255524081,0,0.00330704419674836,0.132554086212815,0,0,0.19389098829046,1.0179402988324
GSM355117,0,0.0453604923224009,0,0,0,0.00878109806280621,0.115987338845221,0.0775603553675785,0,0.0740479449617533,0,0.129888236821388,0.0792081941863123,0,0.0829161841170698,0.0651416424149316,0.18066089355488,0,0,0.0675355333705385,0.0729120859751198,0,0,0.244864523631499,0.995266069384254
GSM355118,0,0.185394183763187,0,0,0,0.0130236410058593,0.152640678735196,0.132950922395256,0,0.126481725772668,0,0.087652481249237,0.0999413313509084,0.0093380972042046,0.00973482887925453,0,0.0438545823260788,0,0,0.0768025019962159,0.0621850253219342,0,0,0.0660462127757864,1.07380699236145
GSM355119,0,0.140189045797508,0.00574743276332139,0,0,0.134410063376782,0.046798009169541,0.050664469384944,0,0.0988327753392956,0,0.040372980647996,0.042660354713828,0,0,0.056886241434118,0.00982495115453529,0,0,0.270472489392471,0.103141186825659,0,0,0.194120286082775,1.03146750222254
GSM355120,0,0.0386960510063644,0.0196222177040382,0.088847688674404,0.103654170595621,0,0.0565622551484682,0.0707504099473778,0.097413932074975,0,0,0.017765936465631,0.116298728847077,0,0.00106459763958351,0.158615772187311,0.0550843867449513,0.0365735412523999,0,0.0965066054458085,0.0425437062659889,0,0,0.203820119410386,0.997966019905969
GSM355121,0,0.203812437454539,0,0.056886054779105,0,0,0.202254047383539,0,0.0244718499115749,0.0876640580784758,0,0,0.120816431589463,0,0,0.125174046317128,0.00423119015630747,0.0597907990572739,0,0.0892645329637014,0.0256345523088927,0,0,0.0405837510734983,1.06010217253542
GSM355122,0,0.0156861606294098,0,0,0,0.0213124495515624,0.136977580178031,0.0952254063674644,0,0.128156987299086,0,0.111451177553468,0.0263797413280112,0,0.041856333078672,0.034896921621486,0.0279711900750632,0,0,0.209615431761371,0.150470620556375,0,0,0.252271305584215,1.01599128065592
GSM355123,0,0.064508789283802,0,0,0,0.121712724652404,0.08921195260368,0.049993486603668,0,0.08489773618467,0,0.0421910113792121,0.00170183409668819,0,0,0.185280170485876,0.170920045509953,0,0,0.0825714421504339,0.107010807049613,0,0,0.206238278374957,1.00119155578796
GSM355124,0,0.0575485352632693,0,0.0342492008097127,0,0,0.0532558302472651,0.140560418722532,0,0,0,0.0710938544729868,0.0550351738654797,0,0,0.155060972881548,0.0494643547380196,0.0349661498118718,0,0.245854913839551,0.10083193054929,0.00207866479847402,0,0.312369981048784,0.967076228702727
GSM355125,0,0.0705545567622019,0.0680501174013453,0.0373091592716002,0.104214699070233,0,0.0532413807901329,0,0.018218514503693,0.219739406806831,0,0.078644183630673,0.0714503572663629,0,0.0127694778999306,0.109922169795314,0.0358566285086934,0,0.0344306593199356,0.00829051477418715,0.0773081741988664,0,0,0.192030946132164,1.01637667332953
GSM355126,0.13339211095008,0.0266413971640484,0,0.0349108280939209,0,0,0,0.232365596954692,0,0,0.117271063176828,0,0,0,0,0.100692288036072,0.125396020367458,0,0,0.2293306952569,0,0,0,-0.047840352812156,1.12815900752957
GSM355127,0,0.13186508860306,0,0.031746102855406,0,0.0490366505552455,0.12766326515911,0.0313821875952756,0.03603906236613,0.0527327041591283,0,0,0.0407349483452795,0,0.0322061712726388,0.226211954307425,0.0755139103438483,0.0203171432637177,0.0411139315112465,0,0.0584557533328324,0.0449811263296561,0,0.261747146489827,0.971143619225553
GSM355128,0,0.00985464757090614,0.00278769251034658,0.0387388341243448,0.0306810135735381,0,0.112109016244162,0.0811952757215092,0,0,0,0.133922477817486,0.0907173966010121,0,0.0455521849924587,0.12751878725339,0.0518874907993409,0.00226581643536803,0,0.15089423528048,0.0825478956197257,0.0393272354559328,0,0.294844615503698,0.97526539488729
GSM355129,0,0,0,0,0,0.292543742625922,0.0908713980690341,0.032650951571439,0,0.0139786509946539,0,0.0571916513663501,0.00273960993841375,0,0.115962707218665,0.119902740905207,0.13850161952821,0,0,0.056896207211703,0.0778231278390641,0.000937592731338609,0,0.383468591799806,0.924855079078435
GSM355130,0.034459296612887,0,0,0,0,0.0899418137471057,0.0550927649699243,0.0114880086353412,0,0.0496446885134052,0,0.0671444282252819,0.155181830182381,0,0.0303971935715878,0.12449533771957,0.0492426887731399,0,0,0.222482077104717,0.110429871944658,0,0,0.289460653190097,0.979842178017543
GSM355131,0,0.103052220710777,0,0,0.0576628171737917,0,0,0.0364546816450666,0,0.160173704354312,0,0.0795093128092859,0,0,0.0311598063151906,0.101692394582171,0.0132510163754899,0,0,0.314958080202214,0.102085965831701,0,0,0.127855737002631,1.0938276886279
GSM355132,0,0.109159848828901,0,0,0,0.0469809510732219,0.129482424961015,0.0298585125107774,0,0.0188186458614144,0,0,0.037204498119688,0,0,0.137968068721236,0.0528884962485432,0,0,0.322615550770431,0.115023002904772,0,0,0.272798417720744,0.996645644534154
GSM355133,0,0.158043735463046,0,0,0,0.0485731011317749,0.0395934308392004,0.0291160664708845,0,0.101818691764789,0,0.0271889152470821,0.00246713656788154,0,0,0.0320956336447982,0.0302683859475641,0,0,0.339169163607584,0.191665739315395,0,0,0.0853906998334419,1.11264039952798
GSM355134,0,0.0287309894794477,0,0,0.00504582520363858,0.0807135221900319,0,0.0993230278717806,0,0.174604788577522,0,0.0939735979597675,0,0,0.00813052130714664,0.139298829874161,0.0271658247966909,0,0,0.236176402497971,0.106836670241841,0,0,0.0604698097527217,1.11485442981779
GSM355135,0,0,0.121801533495266,0,0.0695675943815542,0,0,0.22685028062077,0,0.134814433797441,0,0.124986369318877,0.0114368264933301,0,0.0265199465477662,0.101491559547555,0.058825673364497,0,0,0.0736115011660335,0.0396772971982819,0.010416984068627,0,0.149795923751309,1.03976598190681
GSM355136,0,0.0872978287434407,0,0,0.0353334594498533,0,0.0695530264745725,0.162706031331466,0,0.0948500855279158,0,0.120579360014713,0.0211171672832819,0,0,0,0.0342099829849933,0,0,0.289677707858013,0.0846753503317508,0,0,0.209816843405796,1.05018956281186
GSM355137,0,0.150191920821982,0,0.0111322021775865,0,0.141214243675366,0.00954328210656311,0.016295824799758,0.0536929668180119,0.00446405405741707,0,0.0444106054857956,0.0777540392615343,0,0,0.102643846143331,0.0827854124242699,0.0219272316733518,0,0.206004096133439,0.0779402744215938,0,0,0.196341141252332,1.01056017551053
GSM355138,0.0185547987453266,0.0981188556416654,0,0,0,0,0.0343896154827952,0.170350747085362,0,0.139750915791198,0,0.125041215590247,0,0,0,0.125584881546435,0.0522832525917458,0.00766137269440501,0.187338739514531,0,0.0196166367886925,0.0213089685275977,0,0.181138459192707,1.02210256500758
GSM355139,0,0.129353972878934,0,0,0,0,0,0.165023414115269,0,0.20737702739605,0,0.0545842632810059,0.143739227397766,0,0,0,0.0172218624998275,0,0,0.239583663675324,0.0431165687558233,0,0,0.136447271664091,1.06782832484119
GSM355140,0.00594747334667851,0,0,0.0428093877363064,0.0836940873669862,0,0.0833528044771589,0.11504724526805,0.0679251420297163,0.0791495664789104,0,0.0421067453335309,0.109790703562527,0.0114897561621974,0,0.0762247697804694,0.0472984642350894,0,0,0.176456859518646,0.0587069947037328,0,0,0.256762510876004,0.988151908279049
GSM355141,0,0.0683991104671093,0,0,0,0,0,0.158389252354146,0,0.10561357016251,0,0.115380219948132,0.0728386773847679,0,0,0.139251176516511,0.0776976905141863,0.029535919600979,0,0.0745030025259533,0.150178931216862,0.00821244930884333,0,0.228091748706372,1.00106781512806
GSM355142,0,0.170256486862908,0,0,0,0,0,0.259760855501862,0,0.0926994341622752,0,0.0894027728674132,0,0.00688127073335744,0,0.0484413917462954,0,0.0305490673660946,0,0.15299037387709,0.149018346882705,0,0,-0.0284254047422778,1.12715352493123
GSM355143,0,0,0,0,0,0.0289352555775512,0,0.17393849187745,0,0.158319386979929,0,0.0774585320950844,0,0,0.00161207182017864,0.127232425587632,0.0135890616998218,0.0498214475069649,0,0.271579164568879,0.0870341981883617,0.0104799640981468,0,0.185079485807925,1.05259216012331
GSM355144,0,0.144897973575154,0.00913973636258474,0,0.024771219698615,0,0.0743241046601718,0.0589650695204419,0,0.00154439805228229,0,0.0749860904042248,0.0845460744959934,0.116249570095559,0,0,0.0197285717203527,0,0,0.323980604013607,0.0668665874010135,0,0,0.203721178649104,1.04394241501355
GSM355145,0,0.133821819232957,0,0,0.153986991733826,0,0,0.211200658856967,0,0.139511432991565,0,0.108310990792164,0,0.0152156695239615,0,0.0649285104272203,0.0499201062265006,0,0.0742174257701325,0.0160245686601095,0.0328618257845971,0,0,0.0639540634928897,1.08471929472254
GSM355146,0,0.0758754958875989,0,0,0.0458720216384001,0,0,0.150778255769684,0,0.134507330101692,0,0.0642069369746849,0,0,0.0983429375398508,0.278040398371356,0.0307628992699707,0.021601728681617,0,0,0.100011995765145,0,0,0.218253098264454,1.00438058445186
