Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
CH79T,0.0136795925823768,0.0574664136364175,0,0.336865673438386,0.00701353312749676,0,0.0982271803758021,0.124694831856209,0.118284686377389,0,0.0807030720404124,0,0.0131402507927485,0,0.0702813507008995,0.0469569825993448,0,0,0,0.0326864324725178,0,0,0,0.318558248418463,0.969089451783044
CH69T,0,0.0723837943066069,0.0699301079169847,0,0.264427899466407,0,0,0,0,0.115972140443494,0.000529145084643809,0.0387565398593919,0,0,0,0,0,0,0.248932379901823,0,0.18906799302065,0,0,0.0382967541043119,1.0814293542466
CH67T,0,0.137256899431811,0,0,0.041670751589108,0,0.149902157356455,0.00306766361711817,0,0.0352681098101039,0.0130383047690982,0,0,0.0975357907539111,0,0.129678443520695,0.0977785567048223,0.152834107966145,0.135311886509003,0,0,0.00665732797172816,0,0.294375154167893,0.959094264692646
CH70T,0,0.0104638998649541,0.0093546078805053,0,0,0.128704866241974,0.125298783329724,0,0,0,0.0246817524648527,0.00667477506955804,0.127952875669175,0.138785735503114,0.0463406875927701,0.0600612083570924,0.128781206815503,0.0139763627733324,0.152753726111272,0,0,0.0261695123261725,0,0.173628652438942,1.00673514615978
CH68T,0,0,0,0.206380898792281,0,0,0,0.0227329481077935,0.0738864374604538,0.0423845110425116,0.0205216286945488,0.0491155007920571,0.0977649187225043,0,0.000512190094436391,0.269647818191881,0.0618399460748616,0.0028984709933572,0.152314731033314,0,0,0,0,0.229230908857584,0.993088627472023
CH16T,0.0157393543758935,0,0.0998650350675158,0.195791328990999,0,0.000869906138352853,0.127690284988259,0,0.00251172439054967,0,0,0.0678295582693298,0.137871276312124,0,0,0.118953210766731,0,0,0.232878320700245,0,0,0,0,0.173200827949788,1.01315131413218
CH41T,0.124656976641359,0,0,0,0.157623692894494,0.224707253156716,0.126316876476754,0,0,0,0.0783838565935795,0,0,0.0108343585416263,0.0179023331849921,0,0.00883037181834663,0,0.0973633127621751,0,0,0.153380967929957,0,0.000824687691985974,1.09433375684627
CH52T,0.073565934942517,0,0.0028372234971775,0,0,0.10658735163855,0.0337608608278705,0.156678284204589,0,0,0.0192696018790364,0,0.0612077293493436,0.0304919085680867,0,0,0,0.0514182099871514,0,0.20395271485205,0.0234103631157345,0.236819817137894,0,0.0933251942787842,1.07813095358791
CH42T,0.0529992399527837,0,0.0461683719137813,0,0,0.12482885109207,0,0.0549573086216993,0,0.0383632695279143,0.0702720164757091,0,0,0,0,0,0.0310040208206653,0,0,0.274374880199607,0,0.30703204139577,0,0.135395913541907,1.08893369198118
CH77T,0.0133805409861843,0,0.275153702977885,0,0.283030992457048,0,0,0.0181405481284083,0,0.212619099454439,0.0773989372175938,0,0,0.0106666412142107,0,0,0,0,0,0.109417118263606,0.000192419300624903,0,0,-0.101393312186744,1.18082550758737
CH27T,0.0153671046356672,0,0,0,0,0.138170848899793,0.00338515494619424,0.110836659583638,0.00570623029170905,0,0.0549953380202879,0,0.000294442964066631,0.062287682994865,0.019380462119284,0.0142185467432391,0,0.311793817694056,0,0.00424885194812189,0.0743426273224033,0.184972231836675,0,0.198464775961465,1.030956365531
CH63T,0.207947619068905,0,0.0947562841557679,0,0.18454420276335,0,0,0,0.111908152862888,0,0.184937391241883,0,0,0.0658635913757318,0.0223391374974034,0.0534314469510655,0.0251320869489938,0,0,0.0232204114082343,0,0.0259196757257784,0,-0.0593799771228521,1.11466876253452
CH60T,0.0907113439706212,0,0,0,0,0.142015275635337,0,0.0724614102141629,0.0346523115106112,0.151428343883003,0,0,0.0653379464453301,0.120729443869183,0.00211237443989262,0.0993651957308184,0.0954608730589826,0.00309017290806422,0.0808943652675861,0,0.0178677246989448,0.0238732183674629,0,0.00660359173448452,1.07254354420237
CH66T,0,0.113175104954296,0.0655614694984444,0,0.136728887129546,0,0,0.119092139038286,0,0.106223999470329,0.0261996041012683,0.033604027017226,0,0.0379014192252146,0,0,0.0940362949158575,0,0.200353295631889,0,0,0.0671237590176438,0,-0.0585291212980444,1.09927416147863
CH38T,0.103326451727051,0,0,0.0543822598882008,0,0.212718215000803,0.26107841664054,0,0.0226196252024259,0.0231023675768994,0,0,0.0438639621034306,0.00151751448350789,0.0612309763036627,0.0558272556996117,0.0510209051624734,0.0688700596382775,0.0404419905731164,0,0,0,0,-0.0133206948683588,1.08093696243363
CH25T,0.102342219609286,0,0.000447590592381797,0,0,0.301771661854409,0.108042339776244,0.0757856601293267,0,0.0825455897168161,0,0,0,0,0,0.0491355621737689,0,0.0381882052486347,0.124950688010146,0.00627333751787402,0,0.110517145371112,0,-0.0218057159542467,1.09430988262917
CH39T,0,0,0.0213592866631918,0.165680971361673,0,0.216165566876592,0.216766914961933,0,0,0,0.0377731085655614,0,0,0,0.0151926469497049,0.0111340694051907,0.0230918191271064,0.0337537576391116,0,0.0720046464653566,0.0241343164137909,0.162942895570789,0,0.183450376398746,1.0210934407142
CH24T,0.0639791355126332,0,0,0,0.225935937835336,0,0,0,0,0,0.102477448794609,0.00868176441455691,0.110222875471302,0,0,0,0,0.00373792575923512,0.238234978671838,0.012918985170941,0,0.23381094836955,0,-0.0489188367980369,1.14440207708284
CH36T,0,0.075452877657123,0,0.0596968545848559,0.0220239111616248,0,0,0.00229577481734429,0,0,0,0.00794845807528416,0.0036064228693599,0,0,0.611080428271445,0.0717510514958525,0,0,0.0792868402992876,0.0646494740713393,0.00220790669648353,0,0.291466282886256,0.987281603477464
