Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
GSM617581,0,0.0831323330994294,0.141190480698096,0.201236709577279,0,0.0476779987054909,0,0.0941299746171694,0.0437204355546235,0,0,0.039747977499266,0.0529798669576797,0,0.0108400498702496,0.159737664805748,0.0380381847004135,0.00718357209701593,0,0.0803847518175389,0,0,0,0.202997983031029,1.00659558629271
GSM617582,0,0.117023563662012,0.128943987261519,0.248447609801692,0,0,0,0.0829939723372407,0.0453317966428235,0,0,0.0798062418291256,0.0204090999341272,0,0.0382583376214582,0.138266898199241,0.0460603167539344,0,0,0.0544581759568271,0,0,0,0.363028646569713,0.936710362279497
GSM617583,0,0.0965628125836662,0.132809810436292,0.258207091120301,0,0,0,0.0584276432721383,0.0680554391248879,0,0,0.021164168625137,0.0219045918988935,0,0.0364767523101429,0.151902352473354,0.09435202724484,0,0,0.0601373109103477,0,0,0,0.405554181356316,0.913750282572931
GSM617584,0.00685873927681845,0.0415226888712521,0.114172640519078,0.215852337978225,0,0.015337268731411,0,0.0773361211026807,0.0372209898267277,0,0,0.0428259200060889,0.0244677362792078,0,0.0269402713874006,0.196273547546685,0.0953025957418051,0,0,0.10588914273262,0,0,0,0.213160488429691,0.997764405995907
GSM617585,0,0.218801847001409,0.133587677743037,0.240292043480514,0,0,0,0.0164968481632691,0.069350733461208,0,0,0.0335551216301389,0.0329823752449671,0,0.0168194347982269,0.112845911572289,0.0463525224702774,0.00855836015538921,0,0.0703571242792746,0,0,0,0.446406840114534,0.894489697854325
GSM617586,0,0.12524835428636,0.242662255828096,0.183100572419339,0,0.00312986645855036,0,0.0362868208668274,0.0767018661608247,0,0,0.0244426666070655,0.012379616999349,0.0735640546206701,0.0351242329630029,0.112658970208616,0.0208595983002237,0,0,0.0538411242810764,0,0,0,0.349499320156142,0.947439722844248
GSM617587,0,0.152556107191986,0.178314308393166,0.0952405509945497,0,0.109120877372253,0,0.0487893361546841,0.093108640527283,0,0,0.0548795074200499,0.0481366117757491,0.00647346656296897,0,0.0598251357434824,0.027734475838182,0.0510830123770284,0,0.0747379696486166,0,0,0,0.400624970962121,0.918313907489845
GSM617588,0,0.105366015429172,0.139489513647295,0.192922443459543,0,0.132406872301163,0,0.0174002306941347,0.05565145740376,0,0,0.0211943866084105,0.0327498787416546,0,0.0290562560895594,0.131504635982034,0.0573067820016639,0,0,0.0849515276416117,0,0,0,0.411967876685371,0.910885589450358
GSM617589,0.0142504744206726,0.101693895300614,0.170058483266119,0.238213773981151,0,0,0,0.131952855668359,0.0247736780535594,0,0,0.047825682995432,0.0059855768529561,0.0159658573156144,0.0900079444421676,0.102125210132111,0.0184418934928333,0,0,0.0387046740784116,0,0,0,0.516076819165105,0.856082536148141
GSM617590,0,0.257011153350887,0.10907360193758,0.248150619269389,0,0.0158549311569233,0,0.0302213465802959,0.0404013486210189,0,0,0.01118107283123,0.0244905218225888,0,0.0189508000471968,0.124510509688964,0.0467415641488341,0,0,0.0734125305450926,0,0,0,0.351261131342823,0.944117259833532
GSM617591,0,0.133610366562849,0.118552963987467,0.260019800956911,0,0,0,0.0408191474074205,0.0913844150339977,0,0,0.0238422093596779,0.0186710288630022,0,0.0445395682611258,0.130484691921944,0.0558704696158413,0,0,0.0822053380297633,0,0,0,0.434025818923648,0.900176446218565
GSM617592,0,0.137188004479648,0.0961586329460009,0.220886819203258,0,0.0276569085519051,0,0.0499945830868426,0.0759061871947116,0,0,0.0685395819949517,0.0434787359830222,0,0.0336981610306671,0.127968929831368,0.0479405781419243,0.00388212470429384,0,0.0667007528514074,0,0,0,0.364295476502172,0.934404587591445
GSM617593,0,0.0690779575671182,0.130219546613423,0.0694654548083143,0,0.0894338478747621,0,0.0639121495114984,0.0437537733157826,0,0,0.0719089680230633,0.0445990592105721,0,0.0206089163148944,0.175670122915927,0.0545203707369679,0.0173403406385506,0,0.149489492469126,0,0,0,0.261713545602236,0.977654958716943
GSM617594,0,0.163781429477698,0.158389667933748,0.211093234234418,0,0,0,0.0685125037379018,0.0463139467802117,0,0,0.0340087585929639,0.0197646807367322,0,0.0349780253355376,0.135995169549553,0.0357473886406828,0,0,0.0914151949805531,0,0,0,0.453346934453476,0.89055342900261
GSM617595,0,0.197449032820474,0.109994300450697,0.0805499091230261,0,0.100212902535854,0,0.0589880200012458,0.108695281173022,0,0,0.0177807370729039,0.0436988929048494,0,0.0025702725398966,0.0962536663869069,0.0409483790160648,0.0272012420123518,0,0.115657363962707,0,0,0,0.451377635156512,0.891574978632528
GSM617596,0,0.219124424518371,0.137853126922779,0.183007442424052,0,0.0107619513039901,0,0.0408400404930772,0.0504553029628102,0,0,0.0630552293994767,0.0149573521156561,0,0.0166683604419028,0.153809127374029,0.0273461696522873,0,0,0.0821214723915696,0,0,0,0.408994996242859,0.914418574889944
GSM617597,0,0.0918174855592512,0.263078256316083,0.223659187262875,0,0,0,0.0525617841474744,0.0580260622908008,0,0,0.0321475221619171,0.00526369087832139,0,0.0326905294546236,0.132428383072985,0.0450621069228315,0,0,0.0619156586485515,0,0.00134933328428609,0,0.399842043161198,0.921807181667868
GSM617598,0,0.101658057166354,0.129724879400824,0.238472689657283,0,0.0471155311925804,0,0.0462143238114444,0.0429261467975889,0,0,0.0415680704545626,0.0101892346243088,0,0.0482821289505499,0.145631992916551,0.0774911850793182,0,0,0.0700835311675326,0,0.000642228781102149,0,0.39606969591948,0.91855410950704
GSM617599,0,0.261438438065218,0.10477561302558,0.160669908471782,0,0.00996195717177975,0,0.061499393602435,0.0599145979434842,0,0,0.0266477746037315,0.00757609741159328,0,0.0331253021220259,0.146716804471667,0.0364986595743396,0,0,0.0911754535363642,0,0,0,0.503336351463698,0.863868175397018
GSM617600,0,0.216549013848605,0.126171795722805,0.273624726458138,0,0,0,0.0500669302414008,0.0556573844942963,0,0,0.00546360537115643,0.0118359106398049,0,0.0295198176195544,0.089024224715946,0.0388616982119207,0,0,0.102275105344214,0,0.000949787332158783,0,0.125451509382624,1.05411586495848
GSM617601,0,0.154903815623826,0.204125307732427,0.17290314645504,0,0.0525997716561278,0,0.0642476505412948,0.0925687038579635,0,0.00327146613993528,0.00258182592225967,0.0374846390447811,0.00881609660094199,0.0147083467055463,0.0920044877437454,0.0370460597459363,0.0192835712359191,0.0103165940559088,0.0331385169383466,0,0,0,0.495170112829398,0.868056364934722
