Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
PCA0001,0.0854437620770408,0.0335707859951258,0.0715172232436795,0.206573891470605,0,0.046010513865313,0,0.172165159691307,0.0109006570272679,0,0,0.0950767683265167,0.105877310693173,0.0857237873695463,0,0,0,0,0.0871401402404255,0,0,0,0,0.0843922297812035,1.06274095931723
PCA0002,0.136832923339231,0,0.0399164075445423,0.203601051006695,0,0.0531986014712783,0,0,0.124369549301768,0,0.0209837309064906,0.0538190160849853,0.193886006933544,0.0823149956202359,0,0,0,0.0501279772488825,0.0409497405423464,0,0,0,0,0.065773071935818,1.06563590550112
PCA0003,0.0362064445958676,0.0363138406824315,0,0.239071312914004,0,0.01794499816801,0,0,0.158772725494952,0,0.0457679620075325,0.0779632735052906,0.229128747846291,0.123646745556192,0,0,0,0.0351839492294303,0,0,0,0,0,0.0673596127257098,1.08558164148107
PCA0005,0.0559451985028232,0,0.0901504377146916,0.27906390053903,0,0.061278781102683,0,0.0433949443033571,0.0166630202950953,0,0.0541112023314296,0.0826372234765442,0.0699872295465909,0.101510224999989,0.0324184135632215,0,0,0,0.112839423624545,0,0,0,0,0.0153352924042142,1.09906564304605
PCA0007,0.0717832830757182,0,0.116289027773296,0.255458039690862,0,0,0,0.127268517625535,0.0112252076155318,0,0.00685137489733527,0.094688809657638,0.0860794274327163,0.102001559377216,0.00758872221738632,0,0,0,0.120766030636765,0,0,0,0,0.0325158819175137,1.07925054412414
PCA0008,0.0183536021815367,0.0689708607925362,0.118439759328518,0.199954424297973,0,0.0134638759526279,0,0.0669535301091581,0.0881183822054411,0,0,0.110989751925607,0.162758881728844,0.097453349704088,0,0,0,0.00557475687908489,0.0489688248945856,0,0,0,0,0.0547150971998471,1.06916843815516
PCA0009,0.0386374739305363,0,0.114450242782417,0.20486274235984,0,0.0505774526559874,0,0.0466665597186235,0.0325490270533586,0,0.0227491349133797,0.0672052139621515,0.19959500501427,0.122966078539809,0.00784707199376558,0,0,0.00617076823584767,0.085723228840014,0,0,0,0,0.0335380263050314,1.07081584991014
PCA0010,0.0767631548108137,0,0.0365869922193374,0.168140098763014,0,0.248463306348436,0,0.0556331386887765,0,0,0,0.0896803473071434,0.0971638753027432,0.0916221967131517,0,0,0,0.015025036633559,0.120921853213026,0,0,0,0,0.0561290032066881,1.07931148061882
PCA0011,0.1225441743918,0.0755448142665883,0.0258269279799013,0.145878029372715,0,0.0296396534653012,0,0.155093490333538,0,0,0.0206672420431765,0.0611795194260907,0.22913411770068,0.0612705654191896,0,0,0,0.0194457762534353,0.053775689347583,0,0,0,0,0.198681835921006,1.00911272531871
PCA0012,0.0407530259584116,0,0.109049822604888,0.206699980227291,0,0,0,0.110696633953711,0.0730682241182623,0,0.0155648688573974,0.114658102330816,0.130514630003546,0.13496085531331,0,0,0,0,0.0640338566323656,0,0,0,0,0.0167865960356792,1.09100065623883
