Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
TCGA.EJ.5505.01,0.032967410412614,0,0.0304405355797569,0.126802147013957,0,0.223100142684901,0,0.0144754896469342,0,0,0,0.0360533325439527,0.0187806489013192,0.0189214164524093,0.060965427915687,0.113251945338124,0.0108383281688726,0,0.313403175341472,0,0,0,0,0.0476735943541196,1.0718368478104
TCGA.HC.A8D0.01,0.146644810518079,0,0.101000669730805,0.0708431536869938,0,0.228684672513221,0,0,0.00823367739276974,0,0,0.0513811252186311,0.0162458351807986,0.120966846735745,0.0302360677026728,0.0314135774757935,0.0250747067743863,0,0.169274857070104,0,0,0,0,0.114080290613341,1.04186326315695
TCGA.VN.A88I.01,0.0826572694908863,0,0,0.163909641346736,0,0.213635542884455,0,0.018303193283928,0.0441653474297001,0,0,0.0866260717957498,0.00432983849925967,0.0139487282820173,0.00392017132331164,0.103925028636376,0.00892946905205345,0.00899616183590673,0.246653536139621,0,0,0,0,0.194400336675939,1.01574960270218
TCGA.KK.A8IA.01,0.0542518437763153,0,0.00617308257897292,0.060282237949523,0,0.120050719242252,0,0.0674894227419998,0,0,0,0.0333362701778332,0,0.162726800077609,0.217797564043029,0.115346584001109,0,0,0.162545475411357,0,0,0,0,0.064602884984387,1.08032261630547
TCGA.CH.5790.01,0.071553164713221,0,0.0195894332829249,0.0890179871172234,0,0.184689891304636,0,0.0606100993361862,0,0,0.00589540952145842,0,0.0642214548561921,0.245786474416511,0.0559824658836201,0.0853314074482325,0.0400807587356141,0,0.0772414533841796,0,0,0,0,0.0586104857178119,1.05897817891705
TCGA.EJ.5519.01,0,0.0184576088293414,0.0020400845081477,0.143216674570836,0,0.24740289404252,0,0.0318678954609481,0.0126156694532642,0,0,0.00850927017039847,0.0586032173621272,0.172278259787889,0.0213676509765803,0.10261522216702,0,0.0144089828415235,0.159612705133244,0,0.00700386469615969,0,0,-0.00147705511616139,1.08521395716215
TCGA.H9.7775.01,0.0329840416500095,0,0.00119073052142145,0.0677988104542838,0,0.177688399335159,0,0.0385752993731095,0,0,0,0.0212125351231562,0.00671532900317555,0.172513781880338,0.0423090947787851,0.128267144696709,0.0562265737555914,0,0.254518259428262,0,0,0,0,0.0259527808221278,1.07205847620997
TCGA.EJ.7797.01,0.0849405909057746,0,0.0339801234309148,0.11848422091937,0,0.19640398742393,0.026073729719631,0.0374030176490482,0,0,0,0.00168580129656791,0.0176867661252029,0.0329311550693369,0.113517190799939,0.0861180782323092,0.041806713156285,0,0.208968625271691,0,0,0,0,0.0653107311778798,1.05515505355856
TCGA.ZG.A8QX.01,0.149891607022707,0.0624124326210168,0.0279423724017857,0.120440847720626,0,0.197356260530574,0,0.0694838723636025,0.0308114818204548,0,0,0.0708317252436539,0.00812334573785495,0.0343446919848185,0.0517084448537291,0.0973297664205678,0.0230386571406348,0,0.0562844941379744,0,0,0,0,0.035232130414861,1.08438372630371
TCGA.YL.A8HK.01,0.159145263988266,0,0.0588596991500611,0.0909086061909886,0,0.164674192915497,0,0.0543435314246398,0,0,0,0.0337665860938258,0.00994552877406285,0.113571632248277,0.0595649950193594,0.0962421806528285,0.0440248156547871,0,0.114952967887407,0,0,0,0,0.253463047925489,0.978904219456345
