Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
GSM115759,0,0.221286863896869,0,0.0862248272813354,0,0,0.177754904099199,0.0492932093554208,0,0.00483930480468124,0.0179120332801884,0,0,0,0.009610293860115,0.024432643537191,0.00714668838290433,0.00716122057877571,0.374365141987718,0,0,0.019972868935602,0,-0.0113233152928536,1.05986453031452
GSM115760,0,0,0.134912480154229,0,0,0.120484420100393,0,0.175540493372192,0,0,0,0.132025455954211,0.150641810523975,0.100426919686106,0.0472219900307967,0,0.0556918970498025,0,0,0.034437462499656,0.0486170706286395,0,0,0.309559269887793,0.948724388904038
GSM115761,0,0.178989102798919,0,0.0299929373084345,0.0322034966933171,0,0.298639895407732,0.0188582947263097,0,0,0,0,0.187813667459993,0.0202686834656393,0.0479048993019771,0,0.068721998562212,0,0.116607024275466,0,0,0,0,0.250385143328431,0.966286509727838
GSM115762,0,0.026110177210716,0,0.129336563385019,0.228144209289268,0,0.0278252923695903,0,0,0.0608587928987405,0,0,0,0.0564492560545629,0.00397591114227571,0,0.0818977837100374,0,0.35933402079808,0.0260679931417101,0,0,0,-0.128640938145958,1.11096363508103
GSM115763,0,0.151859064692696,0,0.0740323129713576,0.0310237677327032,0,0.301620366427182,0,0,0,0,0.0157611646459301,0.152170530359809,0,0.0397849907352477,0.0557726621670517,0.0559101694341983,0,0.104365267243634,0,0,0.0176997035901906,0,0.611309726770576,0.83320272087102
GSM115764,0.0318402847303379,0.0086818326379323,0,0.0817303224926804,0.102724675641102,0,0.0729311555109135,0,0,0,0.119745839460398,0,0,0.0780893221027764,0,0,0.154199309588861,0.010721896728409,0.333374386901208,0,0,0.00596097420538131,0,-0.0961144470720829,1.07295207457178
GSM115765,0,0.266161478366818,0.0490602910963693,0,0,0.0213988057682046,0,0,0,0.109568467462406,0.0159432102832404,0,0,0.0273805292969239,0,0.0540992169038529,0,0.121514487231031,0.247009841516574,0,0.0620960172921474,0.0257676547824318,0,0.539351113886313,0.842733176450995
GSM115766,0,0,0.0385936421335174,0,0,0.00418455573717396,0,0.290501265806124,0,0.0782842769569362,0,0.138675721271987,0.0237570918320904,0.111155855628872,0.0576693777899914,0,0,0.0640243841711514,0.193153828672157,0,0,0,0,0.0161026944911788,1.06896200567513
GSM115767,0,0,0.183922822059813,0.013616839305429,0,0,0,0.204724141200275,0,0,0,0.200711449138721,0.0865548612621458,0.0295634974830344,0.0685845109202009,0,0.0746237981873427,0,0.0793435102586574,0.0583545701843804,0,0,0,0.247453025902347,0.976860864159085
GSM115768,0,0,0.174838516888307,0.00407068181691884,0,0.0161704840213972,0,0.0446867913023353,0.0171834222671579,0,0,0.0879699077508745,0.122809281232342,0.0980099346877633,0.0750504904272266,0,0.0704463914780028,0,0.209237795154864,0,0.0795263029728111,0,0,0.330391263552585,0.938918837892552
GSM115769,0,0,0.141770184587337,0,0,0.132583523841639,0,0.104196204115968,0,0,0.000671472083987571,0.136763586845684,0.167450675912235,0,0.0469385171743779,0.128065576291352,0,0,0,0.0174864882167154,0.124073770930704,0,0,0.420674186304158,0.902953106901786
GSM115770,0.0705679520237776,0,0.111933844058425,0,0,0.0307056871063563,0.197356696238148,0.00451913775028343,0,0,0,0.118334698023256,0.137597854135458,0.0190137185197531,0.0335381822518095,0,0.00126735478396362,0,0.26607936626589,0.00908550884288065,0,0,0,0.130346373734836,1.00700559361093
GSM115771,0,0.0386058972083857,0.107109981162415,0,0,0.097149159098379,0,0.22265614461948,0,0,0,0.134554688197865,0,0,0.241207086247987,0.0197127123333671,0.0451590364638777,0,0.0783340253186811,0,0,0.0155112693495629,0,0.58025456691662,0.811296851755677
GSM115772,0,0.08193144408463,0.115011884301981,0.0300888426365712,0,0.0390561730330231,0,0.131693644540272,0.0887106250900553,0.132023988536958,0,0.0201155869859308,0.0906051852867155,0.050703739711562,0.0326046061197827,0,0.0382007862224815,0,0.149253493450037,0,0,0,0,0.543848038736816,0.847188706405697
GSM115773,0,0,0,0.0386679686850646,0.230214081652096,0,0,0.0756850022145472,0.0176880789398003,0,0,0,0,0.124495059221838,0,0.0222498443066691,0.187734823642569,0,0.127346759979569,0,0,0.175918381357847,0,-0.0936218332745146,1.13327357062835
GSM115774,0,0.209537510201022,0,0.0839240382478264,0,0,0,0,0,0,0.0201166742930838,0.180994089438179,0,0,0,0.0233868907685615,0.0014135114862559,0.0101448710214741,0.312524455686336,0,0.0897272816174116,0.06823067723985,0,-0.3193904746696,1.19054044241842
GSM115775,0,0.114743205980897,0,0.0357849329630271,0.0662330975257189,0,0,0.0905984280639448,0,0,0.040440281351557,0.0118841771188139,0,0.00298200257981468,0,0,0.0571862302011432,0,0.502167832772379,0,0.0614712818970417,0.0165085295456626,0,-0.0610581283258968,1.05394068209484
GSM115776,0,0,0,0,0.0148367006533913,0,0,0.274301665809548,0,0,0.0911471270017969,0,0,0.0689972972139193,0,0,0.0914716685659944,0.0300048418327478,0.401185531865139,0,0,0.0280551670574631,0,-0.0639995055438205,1.06416942414164
GSM115777,0,0,0.558649692769001,0.00523963697405743,0,0,0,0.0826305904577257,0,0,0,0.0625116128126336,0,0,0.0139966672704058,0.0372325499509616,0.00756691231634742,0,0.196781778599076,0,0.00778951971298831,0.0276010391368031,0,0.954600545700355,0.384780213240366
GSM115778,0,0.0804657041811549,0,0.0232719339232855,0.214366839688312,0,0.132273827592065,0,0.0137571524450958,0,0.087690820906276,0,0.181890914387978,0.0405389982285202,0,0,0.0139502043119647,0.00793744518641181,0.112298633460691,0,0.0915575256882447,0,0,0.254520738004352,0.96814524492083
GSM115779,0,0.0610923618213119,0.633041350320285,0.0524839632725223,0,0,0,0.00507771121988248,0,0.129393642506143,0,0.00223094340356386,0,0.0260389195458458,0.00644370067546657,0,0,0,0.0810228910569736,0,0,0.00317451617800591,0,0.975505115239414,0.247572293002827
GSM115780,0,0.0467669443097336,0.307227769151179,0.00675975417666293,0.0326945295177914,0,0,0.0781093404542098,0,0,0,0.100881067412118,0.0452278716576521,0.0765944882582401,0.0171725087522456,0,0.102286753519325,0.0455791413134252,0.0980918567723542,0.0402746009218385,0.00233337378322491,0,0,0.555326833031582,0.828685803332617
GSM115781,0.016087041554071,0.23783016634153,0,0,0,0.202901564802791,0.0353839623819637,0.160719950909364,0,0.0136194931742029,0,0.0514363960509278,0.0912113396709464,0,0.0626080328644089,0.102748746960968,0,0.0254533052888269,0,0,0,0,0,0.627285572634367,0.784238463630891
GSM115782,0,0.0115541492303265,0.0718236480582213,0,0.0816616141916347,0,0.0127746951214536,0,0,0,0.0448619038653084,0.0290177314910832,0,0,0,0.199480362114393,0.0232353429991765,0.039694072756343,0.275616628358132,0,0,0.210279851813928,0,-0.248264830552737,1.13253863996233
GSM115783,0,0.108230799681873,0,0.177511696076735,0.178756235509482,0,0.0214222298352157,0.13532288103353,0,0,0,0.059672643202337,0.139190123799457,0.0401669650686903,0,0,0,0.00105531219923456,0.0845951499820516,0.0540759636113929,0,0,0,0.117737383711571,1.04878362631658
GSM115784,0.0224391206280336,0,0,0,0.0303417061242907,0,0,0.120187435198531,0,0.0523825112592466,0,0.12393272114464,0.286017885864663,0.145294700902644,0,0,0,0.0365996111589538,0.182804307718997,0,0,0,0,0.110094979181039,1.02042342804906
GSM115785,0,0.0297708121927203,0,0.128135240085248,0.1380729108206,0,0,0.108653290653338,0.00343590939545659,0,0.0761839183289494,0.0797433977964273,0.0199146551130697,0.148297751743942,0,0,0.267792113870249,0,0,0,0,0,0,0.100988547946673,1.05832514140575
GSM115786,0,0.0501444395567729,0,0.0901747118063943,0.0112165559603956,0,0.230965235972443,0.00597891216597795,0.0210352344656526,0,0.00938433370631335,0,0.22188973995763,0.0619344046779062,0.0146520174324929,0,0.0974413325781809,0,0.185183081719841,0,0,0,0,0.312613340233288,0.946632223028833
GSM115787,0,0.00859337379116419,0.00329252185730427,0.0553909911605976,0.0203560244912075,0,0,0.0211821706468676,0,0.027980769018885,0,0.0277617137387263,0.160201258285095,0.105224818564554,0.0776431349524159,0,0.215273763380284,0,0.277099460112898,0,0,0,0,0.151719916968388,1.00004397746628
GSM115788,0,0,0.355080680301963,0.00890640860752165,0,0.0342269408070339,0,0.187595056764156,0,0.0268372327118801,0,0.180652261399802,0.0230420737337121,0.0174261254644694,0.116857139740777,0.0171013630875465,0.0150599525406583,0,0,0.0172147648404798,0,0,0,0.845600195597152,0.589282567705504
GSM115789,0.0158991983879087,0.173310642903693,0,0.0526813378703337,0.141827120784292,0,0,0.162954055349845,0,0,0.0488595457000294,0,0,0.0318927065842311,0,0,0.00134429152633713,0.0171004806173197,0.303624185965144,0,0,0.0505064343108663,0,-0.251864002519354,1.16596831845138
GSM115790,0,0.0985450871698941,0.0124354385531371,0,0.0555658328250132,0,0,0.0311252845513886,0,0.163680864745122,0,0.0835113677928015,0.104530042990642,0.0629759562760555,0.0679392763185346,0,0,0,0.290270289049138,0,0.0294205597282729,0,0,0.0372941319531741,1.03684639030023
