Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
GSM160343,0,0,0.0228169128037142,0,0.286452133808221,0,0,0,0,0,0.0264015493119094,0.0112925774863573,0,0.127893972447014,0.0503116152672498,0.332346927456017,0,0.0625821999701927,0,0.0624902793170996,0,0.0174118321322258,0,0.0760270179967087,1.00530833615966
GSM160344,0,0,0.0483274498943495,0.0305942938303686,0.0861113258815552,0,0,0.0138717785894969,0.037350261825942,0,0.0954012308686921,0,0.0822209692492357,0.0288818607901665,0.201702124016563,0.287576003777005,0,0.0325776349967564,0,0.055385066279869,0,0,0,-0.0368073288109517,1.02016321755974
GSM160345,0,0,0.00789527315353968,0,0.0833918914385575,0,0,0.00460556823923307,0,0,0.0341693263916834,0,0.00195104264291389,0.19074862753342,0.115897039986812,0.419202467263953,0,0.0667813578490126,0,0.0599979027434041,0,0.0153595027574709,0,0.223973116083899,0.970567987338022
GSM160346,0,0,0.0156700000000206,0,0.0489693422288046,0,0.00293843004412721,0.00188688655437758,0,0,0,0,0.0296914864526153,0.200425168486287,0.153045382173021,0.431188868902672,0,0.110654990043063,0.00174620373313852,0.00378324138187396,0,0,0,0.276402823054226,0.970668100744883
GSM160347,0,0,0.0403602571693195,0,0.0489246494147533,0,0,0.0197828098888206,0,0,0,0,0.0290165786423317,0.182401725557985,0.15572765822778,0.417959135608709,0,0.1058271854903,0,0,0,0,0,0.169739534254082,0.981427632205736
GSM160348,0,0,0.00830712477281619,0.00122417796607503,0.0292791955712155,0,0.00587232683030994,0.0113001356739294,0.000626595584991794,0,0.000907149294603259,0,0.0312193313768256,0.207499152528928,0.156904390730233,0.424446121235769,0,0.113686563981404,0.00872773445289939,0,0,0,0,0.273572423780868,0.972548295799918
GSM160349,0,0,0.0603245010608318,0.0201189460636549,0,0,0,0.0882736416493854,0.0369961299008067,0,0,0,0.0472591311951973,0.0526533246880019,0.109872417578237,0.4480597161233,0,0.0627922074960438,0,0.0556627217229796,0,0.0179872625215615,0,0.0079899470254271,1.01217550685634
GSM160350,0,0,0.0167674559417303,0.0414491364991282,0.0287145195074329,0,0,0.0446234911192845,0.0152336979637381,0,0.0695952379550188,0,0.00641952792942155,0.13630791027077,0.137653156715224,0.411246774855555,0,0.0153073207397374,0,0.0766817705029592,0,0,0,0.0477479120228127,1.00153878382659
GSM160351,0,0,0.0287918185763171,0.000226089433233219,0.0233727228120252,0.00125921762927152,0.00805291144639392,0.00275343740466336,0,0,0,0,0.0348871301700335,0.211048097450408,0.162589947756831,0.401686859114133,0,0.115460041581898,0.009871726624791,0,0,0,0,0.363598928582073,0.956468653362411
GSM160352,0,0,0.0589204456874856,0,0.052872952596064,0,0.0295279445839503,0.0377250380574131,0.024900871736296,0,0,0,0.0468277365366124,0.0943826792474328,0.128091342185473,0.379152840922311,0,0.0728821127094294,0,0.0683086449299981,0,0.00640739080753441,0,0.0149353360282498,1.01102467769485
GSM160353,0,0,0.0110156542088219,0.000103561824989306,0.0451084491450797,0,0,0.0304209747090253,0.0135479732099128,0,0.0364751781991018,0.000330867547387879,0.00123474883510711,0.209262271652613,0.0874752439595325,0.434609699912286,0,0.0734741938091344,0,0.0541836442514281,0,0.00275753873558026,0,0.244711886067746,0.968343920667729
GSM160354,0.000782282880898785,0,0.0154266407774566,0,0.0641701812548646,0,0,0.0456146777150659,0.13132767227422,0,0.0527895334101238,0,0,0.175711143478326,0.0734727532836167,0.250328454475059,0,0.0694925968701028,0,0.107487500794526,0,0.0133965627857399,0,0.243663954649455,0.960329647532049
GSM160355,0,0,0.0280404341312459,0,0.0750550017659798,0,0,0,0,0,0.0274930998048437,0,0.0478579553010551,0.217089031182569,0.190272984248534,0.272949670203788,0,0.134412933496736,0.00682888986524843,0,0,0,0,0.410789656386455,0.946628968524859
GSM160356,0,0,0.0316241797516528,0.00066989382979653,0.0215272545456707,0.00226428602744155,0.0113023941050922,0.00200277732188079,0,0,0,0,0.0343190802658243,0.212064114254399,0.163818176603683,0.392428884729943,0,0.112794934352324,0.0151840242122925,0,0,0,0,0.315600149647644,0.961921728736215
GSM160357,0,0,0.0288629245462894,0.000916851780099291,0.0223960028104876,0.00178795326161784,0.00953082413681342,0.00237855463424443,0,0,0,0,0.0350809704558793,0.210549493893324,0.162253234612969,0.400608200135803,0,0.11541916363381,0.0102158260986632,0,0,0,0,0.37040294556614,0.955506281728986
GSM160358,0,0,0.0300144841438671,0,0.146148059013898,0,0,0.0274527074784862,0.058294066837408,0,0.0416032122008125,0.00264580466816919,0,0.13212341998959,0.13335187142195,0.343098174162986,0,0.0393414038639491,0,0.0459267962188829,0,0,0,0.0601019740187351,1.00048340524829
GSM160359,0,0,0.0233325934223541,0,0.167771206454479,0,0,0,0.0573787541611328,0,0.0230497546284497,0.0280971181818497,0,0.199069801614709,0.0707485791682077,0.293175224730029,0,0.0897779395007568,0,0.0273460577603218,0,0.0202529703777092,0,0.0547057733823938,1.00023172665481
GSM160360,0,0,0.042030869788427,0,0.0438330781932352,0,0.00208438165228428,0.0302618786248161,0,0,0.00458396838350935,0,0.0347961385026222,0.144977596305889,0.148971958307827,0.456659494420824,0,0.0813247012136375,0.0049940659040954,0.00548186870283346,0,0,0,0.0891534655442294,0.993527732923632
GSM160361,0.122331192976246,0,0.0359302196504608,0,0.029924407338112,0.000613065763210733,0.0144795404055614,0.0134852101743547,0,0,0,0,0.0280831544126064,0.167977329958042,0.12807221542847,0.34296402203514,0.000503065627840981,0.096409778950912,0.0192267972790442,0,0,0,0,0.378295012269258,0.925538064932191
GSM160362,0,0,0.0225738091827614,0.000276518706388967,0.0392719938262125,0,0.000932461380758047,0.00104035596965178,0,0,0,0,0.0292419898525867,0.205492416662677,0.15733543551803,0.419841850063319,0,0.112324826975995,0.0116683418616194,0,0,0,0,0.212378851663717,0.977976203658001
GSM160363,0,0,0.0183390490886902,0,0.0578973520861823,0,0,0.00388602336338034,0.0442849615453264,0,0.0386517682158134,0,0.0219102762178808,0.191246461834037,0.122660769791851,0.391711499777005,0,0.0665655023391684,0,0.0428463357406651,0,0,0,0.11039365693878,0.989384121638575
GSM160364,0,0,0.0226452680237863,0.000713254140665144,0.0162492011163906,0,0.00489399647574847,0.0135987655648644,0,0,0.000607497241582275,0,0.0359779224994897,0.219896929009473,0.169636982151524,0.389591779187391,0,0.112686885108981,0,0.0135015194801041,0,0,0,0.468797267301532,0.943886748401128
GSM160365,0,0,0.0111803070614747,0,0.111604764548471,0,0,0.0191040711340598,0,0,0.0702968177283771,0,0.0127491931910966,0.189287969360804,0.162574178254216,0.286161401932934,0,0.0775866092950467,0,0.0594546874935202,0,0,0,0.279468470391716,0.957843541143293
GSM160366,0,0,0.0159200948697054,0.0330994164126885,0.0154289567133287,0,0,0.0788698814744833,0.0643604206940432,0,0.0459538070572633,0.016277722601195,0,0.127402712715533,0.0908312841615124,0.382186334892925,0,0.0179585900383111,0,0.0867264480297767,0,0.0249843303392343,0,0.024386343434374,1.00848276714252
GSM160367,0,0,0.0238375986694516,0,0.0322145128562865,0,0,0.0220902060668291,0,0,0,0,0.0332581039695624,0.160219819339382,0.150676770696349,0.404324511661131,0,0.113057584508986,0,0.0603208922320231,0,0,0,0.0597288867808351,0.998051113907116
GSM160368,0,0,0.016103606386227,0,0.0247082706631233,0,0.010252089560927,0.0107809323440876,0,0,0,0,0.031977467076641,0.207040347751756,0.15723030072902,0.416066771419461,0,0.113452745172783,0.0123874688959732,0,0,0,0,0.232055543496251,0.976707220801916
GSM160369,0.0386135697662766,0,0.0277913827883889,0.0176255472767319,0.0390387714148811,0,0.0105095409432642,0,0,0,0.023058185499738,0,0.0283727121083855,0.145917575014641,0.125550484809839,0.446145497237918,0,0.0701339351242879,0,0.0272427980156474,0,0,0,0.137946252841034,0.984797776430624
GSM160370,0,0,0.0161662869174278,0.00340088768550375,0.0242509606078567,0.00116921194024099,0,0,0,0,0,0,0.0338777788400905,0.218463492799952,0.168011415874091,0.403523727745143,0,0.115311534259302,0.015824703330392,0,0,0,0,0.370260328548139,0.958337607321201
GSM160371,0,0,0.018247412331961,0,0.112822146221417,0,0,0.0184890416806777,0.024718423628982,0,0.0462423903168758,0,0.00116408032896391,0.169771144675544,0.100393314342197,0.402101813987323,0,0.0529356390799665,0,0.053114593406093,0,0,0,0.0669830752176252,0.996756662424601
GSM160372,0,0,0.0205780435463143,0.0123631128869018,0.0161892039509363,0,0,0.07126705824067,0.00855382747575904,0,0.0250983148879717,0,0.0511335116693299,0.0856752883268253,0.124232419784637,0.503015910109506,0,0.0496065428519615,0,0.0322867662691872,0,0,0,0.142967032419912,0.984268257599148
GSM160373,0,0,0.0148147872118985,0,0.0354702475200237,0,0.00779277280904124,0.0151853266661975,0,0,0,0,0.0326351905655039,0.204198380519478,0.155202257226653,0.403873530953866,0,0.112130916211421,0.0186965903159173,0,0,0,0,0.221258109410004,0.97686343233648
GSM160374,0,0,0.0179674812098337,0,0.0361415032055475,0,0.00530146205998058,0.0214529181552514,0,0,0,0,0.0336521619303159,0.182295537438175,0.15858318720512,0.432177864101039,0,0.103606544257097,0,0.00882134043764067,0,0,0,0.140169461455986,0.987794943958701
GSM160375,0.0210032478618737,0,0.00939055721128249,0,0.0721684699472648,0,0,0,0.0106803480426071,0,0.042685947923867,0,0.0344654067726017,0.173065739401329,0.136673408204096,0.214809894733619,0,0.100573823961311,0,0.184483155940148,0,0,0,0.227025054841989,0.969647453134435
GSM160376,0,0,0.0326007173573241,0.00729386734526646,0.0300650375995156,0.0153990623004445,0,0,0,0,0.027629399314218,0,0.0525158745161351,0.214829569138762,0.192035135162238,0.298117004664657,0,0.121466664490715,0.0080476681107239,0,0,0,0,0.222297643236822,0.975331291900934
