Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
GSM203261,0,0.18888577102009,0.149596238031552,0.101803580860396,0,0.0236683209478066,0,0.12128999744024,0.0605635538740031,0.0445993225220213,0,0.0125857458802519,0.0149405517151469,0.00587951081500165,0.00525309412174942,0.0488924730784743,0.0828104070455655,0.0236960020135279,0,0.115535430634174,0,0,0,0.47856353258056,0.877346006479194
GSM203262,0,0.148615658259364,0.134187352623053,0.124423637537168,0,0.0568665667291261,0,0.101905030501143,0.0554466387885887,0.0376159263966129,0,0.0129593737157575,0.0213343620897552,0,0.0108882264242616,0.0697625020735912,0.0816202457240272,0.0269174156958851,0,0.117457063441667,0,0,0,0.437844880034803,0.898240480820855
GSM203263,0.00131227351371089,0.1201370229103,0.149999106554661,0.170353183931917,0,0.120324526008875,0.0124094570900089,0.0818471122259006,0.0470390218366349,0,0.0245952931485485,0,0.0149062436979552,0.00215865735672572,0.0216814042432044,0.118758149982824,0.00731486479931189,0.0201046847646349,0,0.0838101222159914,0,0.00324887571879542,0,0.474366708037248,0.879591071986893
GSM203264,0,0.0890853971647461,0.159688547549836,0.220842143581318,0,0,0,0.0856999979306374,0.0921955802926879,0.0119917007506078,0,0.0260914259273814,0.0395722071405424,0.0325828160177109,0.039375405063055,0.0785497261086075,0.039957352424843,0.0185201581230703,0.0239455571505846,0.0419019847743717,0,0,0,0.423095796718544,0.905661694899382
GSM203265,0,0.148977326110402,0.192417180322154,0.0964264177202225,0,0.0475172994100512,0.00955354985069442,0.0862047033790773,0.0799468196940812,0.0330425825041276,0,0.0264288933508227,0.0280372472911789,0.0271576296242614,0.0214750972948384,0.0529583829783244,0.0790539420896906,0.0165711621470225,0.0312381266097789,0.0229936396232727,0,0,0,0.498678108457124,0.866681027431
GSM203266,0,0.096323743290423,0.0453060361227286,0.176833942345597,0,0.143689244303307,0,0.0664141978964168,0.0789553392319363,0,0,0.0379724209368332,0.0301434626779603,0,0.0610627316522627,0.165322558580302,0.0303473640607488,0.0165405580059579,0,0.051088400895526,0,0,0,0.315863010202813,0.957060847191121
GSM203267,0,0.182310568492274,0.166392993913697,0.0355907661793454,0,0,0.0116582506406629,0.0815350991750121,0.105658156309782,0.0746267309202103,0.00353230140235679,0,0.0156163814716208,0.0343311633911029,0.0132564996082676,0.0977238436160847,0.0783240259500033,0.0252559460356533,0.0240495703509385,0.0501377025429881,0,0,0,0.300104874208629,0.964582756907671
GSM203268,0.0650789952389483,0,0.137202106478193,0.17847112677836,0,0.201877723721946,0,0.0243940741668403,0.0423041768020944,0,0,0.0156933990651576,0.0168888391855298,0,0.0816672071360251,0.178016758678696,0.0268656368107451,0,0.0207421875621727,0.00901858205470586,0,0.00177918632058641,0,0.387798783968248,0.92330691463745
GSM203269,0,0.0987384018222065,0.124800475116572,0.175627943446768,0,0.0794659784422405,0,0.106320875690742,0.058782663725558,0.00029894610614042,0,0.0162206557506031,0.022321586830892,0,0.00786135732548893,0.168534898460167,0.0230660545145083,0.0456476854428641,0.0037839193927143,0.0685285579325343,0,0,0,0.433284302585884,0.900452964231975
GSM203270,0,0.117751205334657,0.157733452609717,0.111440678330624,0,0.145793092143834,0,0.0998596796844254,0.022555638943677,0,0,0.0370573255157491,0.0126438113687091,0,0.0400555882373086,0.15294648298696,0.0618247618157024,0,0,0.0396046369852928,0,0.000733646043343691,0,0.443570427013015,0.89545335483212
