Input Sample,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Pearson Correlation,RMSE,Absolute score
GSM4641635,0.054653574654029,0.014401775177419,0,0.12600870408607,0,0,0,0.005440858563982,0.056827133399524,0,0.080276780846331,0.0058901904579306,0.009338518232427,0.072456778604151,0,0,0,0.037376079549679,0.043532522788102,0,0,0,0.49379708364036,0.007467322228638986,1.1130384936801194,0.6724809119645913
GSM4641636,0.0024522899067132,0.008739266363327,0.12331094054633,0.19510110491085,0,0,0,0.04991774923117,0.099600288983193,0,0,0.091805316671037,0.08903742163822,0.052322921260013,0,0,0,0.03919152537444,0.0019890054078516,0,0,0,0.24653216970685,0.07982421859184004,1.0724951376629313,0.7090536575241575
GSM4641637,0,0.13312532780109,0,0.22164779531391,0,0,0,0.0068940701083625,0.1542726208876,0,0,0.098926314662943,0.059115725917685,0.015612438780598,0,0,0,0.02402687784542,0,0.050682097282273,0,0,0.23569673140012,0.07747214686649816,1.1039807338249876,0.781500390940404
GSM4641638,0,0.053608360355734,0.0081877394733503,0.18096463828507,0,0,0,0,0.078693478037608,0,0.0039468735116709,0.059031466424687,0.093281000524994,0.044006561731709,0,0,0,0.045470373120339,0,0,0,0,0.43280950853483,0.025229916561312467,1.1110501688355463,0.7063515677708794
GSM4641639,0,0.020901537386903,0.060462428003039,0.13905267317233,0,0,0,0,0.083819987542681,0,0,0.056781976119147,0.078701290474456,0.035903965001549,0,0,0,0.022448882632491,0,0.032929101004151,0,0,0.46899815866325,0.01787765305953218,1.0968889635620331,0.6589430383667702
GSM4641640,0,0.11942867537042,0,0.1976428759653,0,0,0,0.089772901236711,0.0075419889277256,0,0.0045444627532878,0.057219536974579,0.11285673167906,0.015077368977203,0,0.0032198210267917,0,0.067598089069001,0.027287467811671,0,0.019262096213529,0,0.27854798399472,0.0677243901320763,1.075666568072274,0.7122625752165429
GSM4641641,0,0.067786798172248,0.046189185559506,0.1077080405069,0.024448022469448,0,0,0.010653414284237,0.052494194444703,0,0.013930524606719,0.034780103255332,0.08454080416657,0.022193328653877,0,0,0,0.036969978813613,0,0.028342629647775,0,0,0.46996297541907,0.015435359457381254,1.084570467893488,0.6744406629410676
GSM4641642,0,0.14259564070519,0.033351261402789,0.14372276991601,0,0,0,0.0051351158543542,0.038969698342457,0,0,0.072912991870081,0.076345083462074,0.027877506554198,0,0,0,0.021393035346295,0.0044543217622092,0,0,0,0.43324257478434,0.024378697843693783,1.102535390480799,0.7116476017408779
GSM4641643,0,0.048576903299911,0,0.16649733650647,0,0,0,0.011970590759973,0.1191270581113,0,0,0.16337045983437,0.12019575807911,0.037004168266493,0.0085190475082182,0,0,0.012542350062998,0,0.082596040434184,0,0,0.22960028713697,0.08059826016846866,1.1164449084070711,0.7650301170049529
GSM4641644,0,0.1195795147574,0.050567753840183,0.20439349932604,0.0596276503459,0,0,0,0.099585525670976,0,0,0.10519831133044,0.094707082252967,0.069789389574823,0,0,0,0.030169343610571,0,0,0,0,0.16638192929071,0.10329981602770098,1.0695931052534553,0.7565504812555041
GSM4641645,0.019671344724701,0.080729505565637,0.02416475987165,0.16170241219082,0,0,0,0.07736553009945,0,0,0.022750564971066,0.043853581416828,0.12739037745039,0.014791986583532,0,0.01224464428367,0,0.019953562738553,0.050698910950275,0,0.0091313169884373,0,0.335551502165,0.047233774083694745,1.0761846353456066,0.7524640108842334
GSM4641646,0.041230203951568,0,0.019139747242449,0.13443517539591,0,0,0,0.0060111512026137,0.057240252406268,0,0,0.048981715513697,0.028343672722549,0.065807231355377,0,0,0,0.0096532447478097,0.040975513147682,0,0,0,0.54818209231407,-0.0071,1.1147680124921753,0.6379395924311766
GSM4641647,0,0.1471795676474,0,0.18366403488797,0,0,0,0.0081191448913943,0.06572885575529,0,0,0.07990489180152,0.070691909644195,0.041304369205522,0,0,0,0.037238793152283,0.014266654994584,0,0,0,0.35190177801984,0.04584394353993603,1.1004290510183872,0.7237889011854852
GSM4641648,0,0.071753566329896,0.021690264936722,0.22765940237101,0,0,0,0.018826234046592,0.11344485890637,0,0,0.10750707559259,0.096835629439006,0.023385420381045,0,0,0,0.03815078582484,0.01170005658738,0.01344888354317,0,0,0.25559782204138,0.07105332748514494,1.101279485372477,0.7659602544321311
GSM4641649,0,0.1858919556287,0,0.15355522667685,0,0,0,0,0.14520325538416,0,0.011185842936948,0.12449532212677,0.18761158133653,0.055374508338151,0,0,0,0.019151806456765,0,0,0,0,0.11753050111512,0.12462903531001364,1.0628047570034553,0.7808766831865335
GSM4641650,0.047262172623116,0,0.076409981485896,0.099090248441676,0,0,0,0.03489305756884,0.05856489571694,0,0.006120750706405,0.05414279498793,0.070063136380049,0.033984426380882,0,0,0,0.02505361236904,0,0.030490075471403,0,0,0.46392484786782,0.020921112940539433,1.0825982979659319,0.6574917531688568
GSM4641651,0.023712479943379,0.066016874640955,0,0.17045115486637,0,0,0,0.014855933571115,0.070713879484555,0,0,0.080797294941876,0.040351770756372,0.071299945540229,0.015561305247054,0,0,0.067413805146174,0.064380128005135,0,0,0,0.31444542785678,0.0587432763655041,1.0818587597068903,0.6998448638858927
GSM4641652,0.0394646967631,0,0.10663425603315,0.12111451167358,0.029063180335316,0,0,0,0.13013660557005,0,0,0.11116283732804,0.071212724313892,0.066806431702776,0,0,0,0.017414139024014,0.0073418225702406,0,0,0,0.29964879468585,0.06017189655115457,1.0831821003715294,0.7128582574302187
GSM4641653,0.0046868113906753,0.0033815518248821,0.09828168758518,0.12663798274912,0,0,0,0.006750487619047,0.083097187352556,0,0,0.092568345498609,0.074775892589285,0.0454619538884,0,0,0,0.010252165755844,0.048526199460793,0,0,0,0.40557973428561,0.03901491790721847,1.0852418832676802,0.6463324348337488
GSM4641654,0,0.11338273474503,0.044329053874785,0.20237082630901,0,0,0,0,0.099630668070185,0,0,0.086475736961082,0.10897240848373,0.061272318880977,0,0,0,0.039313049380431,0,0,0,0,0.24425320329477,0.07826833157363643,1.075600869953657,0.7333045724808251
GSM4641655,0,0.072082328775262,0.019939973844658,0.14687681892958,0.016071632537638,0,0,0,0.087466981350906,0,0.0014016482322075,0.078794203454065,0.094509712776032,0.034829863788427,0,0,0,0.0095905765242733,0,0.022480034748638,0,0,0.41595622503831,0.031399882069554165,1.1086545425484629,0.690816773458988
GSM4641656,0,0.13267883915015,0.042255989103728,0.15506101661428,0,0,0,0,0.067100122080633,0,0,0.091385005222997,0.09377590799346,0.044708652633114,0,0,0,0.017003276616106,0.0065477224084002,0,0,0,0.34948346817713,0.04830224331479648,1.0914015506627939,0.696150762640496
GSM4641657,0.015680544555238,0.045711223959679,0.014139398762951,0.24850212040896,0,0,0,0.01767163895223,0.065683737569392,0,0,0.10988195860891,0.085126019442944,0.023108785718702,0,0,0,0.030316075428356,0,0.028742298168262,0,0,0.31543619842438,0.05733242176963401,1.1234302167121142,0.7183405691970596
GSM4641658,0.017220567071809,0,0.1225735556139,0.17459197486416,0,0,0,0.045943865804143,0.057670574324641,0,0,0.053009441577377,0.044147320089629,0.065490840133656,0,0,0,0.00612716298362,0.034047337982222,0,0,0,0.37917735955484,0.04342298200356864,1.0755148018876595,0.6811119174636011
GSM4641659,0,0.10534140101971,0.066033097675465,0.1825646784382,0,0,0,0,0.14915632426527,0,0,0.11165210451144,0.095003318438909,0.045987212414905,0,0,0,0.041928462408776,0,0.076067758603744,0,0,0.12626564222358,0.12382893664606892,1.0542798380633496,0.719660325711136
GSM4641660,0,0.072220548030094,0.092305236357577,0.2000713410209,0,0,0,0.032119150628247,0.076247496355325,0,0.014917836186062,0.053232114066136,0.083436686146687,0.065363268817984,0,0,0,0.007567130992133,0.067515026069901,0,0,0,0.23500416532895,0.07836811421374003,1.057712517529834,0.771492762961258
GSM4641661,0,0.083213651092425,0,0.1380480094324,0.02036770493136,0,0,0.036284676053874,0.057342486866906,0,0.0076032841412592,0.058998975828821,0.1142153916464,0.040289998617382,0,0,0,0.019278792127771,0,0.0081533090524957,0,0,0.41620372020891,0.014054527956051301,1.109095616959662,0.8500177398121934
GSM4641662,0,0.10716268113768,0.07486878192293,0.27752976603415,0,0.040218983419992,0,0,0.12449749351074,0,0,0.12648590292064,0.10993567031804,0.033028141090594,0.013292714458686,0,0,0.014650502995924,0,0,0,0,0.078329362190614,0.15351104271968538,1.057166302693886,0.7648293026033186
GSM4641663,0,0.12744411381873,0.043582680582855,0.16198424838411,0.022867053432435,0,0,0.029091422919381,0.1222887979773,0,0,0.1292564468624,0.057801173886058,0.076264537731637,0,0,0,0.048503161612897,0,0,0,0,0.1809163627922,0.09778984756990226,1.0764847675351026,0.7651333055325105
GSM4641664,0,0.10968858685481,0.011550863210603,0.20120771002102,0.049031066851573,0,0,0,0.08967071687168,0,0.046285017378915,0.041995928238126,0.084744619576115,0.033457768463246,0,0,0,0.041927405280277,0,0.025328587901619,0,0,0.26511172935202,0.07441997959463235,1.0851342338740804,0.6985426282568841
GSM4641665,0.025563284398741,0.029074014090426,0.031810454178358,0.12523005232607,0,0,0,0.034490530604963,0.10846040590481,0,0.0078343403079438,0.053222663312689,0.054613742762944,0.05635857716128,0,0,0,0.043037533792675,0.0068383720602645,0,0,0,0.42346602909884,0.029409050279067067,1.0946243183008404,0.6820937208024923
GSM4641666,0,0.11416015427987,0,0.21507558695024,0,0,0,0,0.086870473503402,0,0,0.12280751511268,0.14894759592047,0.072507652538416,0,0,0,0.039433139814897,0,0.0020027864267255,0,0,0.1981950954533,0.08784462906387275,1.0860005653724205,0.8091067064125267
GSM4641667,0.017041407384537,0.049151556277152,0.03340295497397,0.18971482975494,0,0,0,0.0469345498637,0.045690074422731,0,0.038551884549784,0.023330923253136,0.02551692599904,0.057854872757728,0,0,0,0.0073581197987725,0.042523838727417,0,0.004812106116448,0,0.41811595612064,0.028770001325885565,1.1014549377766798,0.7097573245753962
GSM4641668,0,0.21147361699371,0,0.14263091189926,0.052513050433325,0,0,0.0071702125771435,0.097699606605193,0,0,0.15153543091851,0.12831508540708,0.034841497587865,0,0,0,0.029545944635911,0,0.021649549520295,0,0,0.12262509342171,0.12950009578744148,1.066684609331905,0.7154937721930598
GSM4641669,0,0.049597071290247,0.047527599467097,0.24252293917396,0.0094053308380087,0,0,0,0.12261636155728,0,0,0.076325798319152,0.10955157267675,0.056909324633366,0,0,0,0.0097474998003507,0,0,0,0,0.27579650224379,0.0658174767546824,1.0959149310389498,0.7431188872868308
GSM4641670,0.0083064869089749,0.1348827499127,0,0.14481569307838,0,0,0,0,0.067574369930975,0,0,0.025243010683709,0.064572816477946,0.081352268547288,0,0,0,0.043802529569716,0,0.055152002538673,0,0,0.37429807235164,0.03967765082219638,1.0781893423718178,0.7321903705999283
GSM4641671,0,0.062055429513774,0,0.17827853115131,0.038596869714035,0,0,0,0.082496799207506,0,0.0032015983992958,0.072426296398204,0.12357793498989,0.05898120899132,0,0,0,0.0030602577406599,0.0021340023564576,0,0,0,0.37519107153755,0.04367929683020192,1.1090933373753025,0.6844418459791896
GSM4641672,0.1366392254275,0.054807019066022,0,0.10332704506434,0,0.0006,0,0.079870324037664,0,0,0.041056922983227,0.079614060845115,0,0.15614490840163,0,0,0,0,0.0051900392989628,0.015112150429092,0,0,0.32766945661952,0.05192433457695725,1.1084088612201402,0.7160977469811861
GSM4641673,0.034154336707033,0,0.055744675478012,0.06630127359499,0.070192528784444,0,0,0.0075693474753268,0.035675450138742,0,0,0.082884910823993,0.070936441436772,0.021454533516629,0,0,0,0.015869614058581,0.066423570343987,0,0,0,0.47279331764149,0.005802174111549101,1.0949165392774634,0.7459946182346184
GSM4641674,0,0.066451032367778,0.054850216135217,0.18537521326912,0,0,0,0.0049382108581538,0.13631877800498,0,0,0.13417821939425,0.094782156493967,0.05635561395389,0,0,0,0.0080638528298033,0,0.021298008129403,0,0,0.23738869856343,0.0767684568269873,1.097230685222533,0.7742126089338978
GSM4641675,0,0.20470398407018,0,0.25658169817752,0,0,0,0.00385256767223,0.11198523529558,0,0,0.12329455646286,0.11208913744671,0.03004410940351,0.022307371156538,0,0,0.014447932527879,0.0026742883825539,0,0,0,0.11801911940445,0.12635013648722307,1.0744094769748203,0.7622667435133986
GSM4641676,0.023856450622916,0.04698538009919,0,0.25606854115968,0,0,0,0,0.14732184561671,0,0,0.11768714682913,0.11133586743833,0.058880941179772,0.013355931721286,0,0,0.0087461897334127,0.0004,0.011633632398091,0,0,0.20371925606706,0.09229384959811485,1.1000864811880875,0.7348386340568166
GSM4641677,0,0.075170339612156,0.023797800274577,0.25716985772512,0,0,0,0,0.12603303640896,0,0,0.1043804316995,0.13489620021067,0.06479829100714,0,0,0,0.019495303012082,0,0,0,0,0.1942587400498,0.09472340172577606,1.0860321165911153,0.7383036883404502
GSM4641678,0.013863182382017,0,0,0.19433761726678,0.033195710985479,0,0,0.0098155345999571,0.10596431856717,0,0,0.1339858679011,0.138099247472,0.048971373997714,0.0090946013533,0,0,0.0062070224442631,0.027072119187672,0,0,0,0.27939340384254,0.06680668522055949,1.1163739159817403,0.7170127532598279
GSM4641679,0,0.087632369496735,0,0.35108012137016,0,0,0,0,0.1134850784916,0,0,0.11153269341315,0.11481965513042,0.042679544305446,0,0,0,0.018339434800977,0,0.01721240383887,0,0,0.14321869915264,0.11255807042909041,1.0971465234381184,0.7597557152201448
GSM4641680,0,0.072168679269358,0.011309448162032,0.21249971757362,0,0,0,0,0.094166962624517,0,0,0.081404404529536,0.10999464583895,0.052722700872766,0,0,0,0.023098417572,0,0,0,0,0.34263502355722,0.04846759837856933,1.106737123828939,0.7079476983673745
