"","DemixT"
"GSM355108",0.329203601650634
"GSM355109",0.449380706605262
"GSM355110",0.448675866652226
"GSM355111",0.46966185844704
"GSM355112",0.350032016336307
"GSM355113",0.44943127150907
"GSM355114",0.449756197567243
"GSM355115",0.4498701548754
"GSM355116",0.471154591540458
"GSM355117",0.429298056845726
"GSM355118",0.467801869520593
"GSM355119",0.448694888127442
"GSM355120",0.329640895390857
"GSM355121",0.330257465783188
"GSM355122",0.449795014874856
"GSM355123",0.328842789438829
"GSM355124",0.533115805748446
"GSM355125",0.449951044174047
"GSM355126",0.329403378139162
"GSM355127",0.329060740686865
"GSM355128",0.490215830919643
"GSM355129",0.348993421786937
"GSM355130",0.490043716081012
"GSM355131",0.449543238110509
"GSM355132",0.449110049834317
"GSM355133",0.329509355325732
"GSM355134",0.449637642594432
"GSM355135",0.329524585789176
"GSM355136",0.448026833317912
"GSM355137",0.329185878193769
"GSM355138",0.449259378037143
"GSM355139",0.428960826556669
"GSM355140",0.368505127234053
"GSM355141",0.651005491431286
"GSM355142",0.32925719372712
"GSM355143",0.489815165091259
"GSM355144",0.329631936657475
"GSM355145",0.448719825143532
"GSM355146",0.469720375135607
"GSM355147",0.329582283933281
"GSM355148",0.490813136378286
"GSM355149",0.329438729913847
"GSM355150",0.449091017706076
"GSM355151",0.329644883690649
"GSM355152",0.449250580535759
"GSM355153",0.48974384962516
"GSM355154",0.328656617859571
"GSM355155",0.491162803652967
"GSM355156",0.329802979686827
"GSM355157",0.470073676600129
"GSM355158",0.329679819502893
"GSM355159",0.5111559253003
"GSM355160",0.427100879515035
