"","DemixT"
"TCGA.EJ.5505.01",0.409012087533386
"TCGA.HC.A8D0.01",0.469634552484524
"TCGA.VN.A88I.01",0.330035908526978
"TCGA.KK.A8IA.01",0.468343101715218
"TCGA.CH.5790.01",0.329178462500274
"TCGA.EJ.5519.01",0.329440370631876
"TCGA.H9.7775.01",0.448889382581059
"TCGA.EJ.7797.01",0.428621779124865
"TCGA.ZG.A8QX.01",0.469635870490259
"TCGA.YL.A8HK.01",0.469354430415229
"TCGA.EJ.7125.01",0.329274683474864
"TCGA.VP.A87J.01",0.329229076745175
"TCGA.EJ.5527.01",0.429547073985257
"TCGA.HC.7749.01",0.329336455447115
"TCGA.TK.A8OK.01",0.671222991320657
"TCGA.CH.5750.01",0.489317444928018
"TCGA.QU.A6IP.01",0.490643299957489
"TCGA.G9.6348.01",0.469581514783425
"TCGA.YL.A8SC.01",0.428613667955157
"TCGA.VP.A878.01",0.470397044237582
"TCGA.KK.A7B1.01",0.329468804047602
"TCGA.EJ.5525.01",0.667487909048737
"TCGA.EJ.8469.01",0.528356764109795
"TCGA.2A.A8W3.01",0.329713162824279
"TCGA.WW.A8ZI.01",0.468536788992335
"TCGA.G9.6370.01",0.32958872497031
"TCGA.G9.6377.01",0.429322821590373
"TCGA.Y6.A8TL.01",0.450047170850889
"TCGA.KC.A7FA.01",0.489358885139232
"TCGA.KK.A6E1.01",0.529559411686569
"TCGA.EJ.7783.01",0.329285558917533
"TCGA.HC.8216.01",0.46960033349042
"TCGA.EJ.5496.01",0.329269162350146
"TCGA.CH.5738.01",0.329320612355885
"TCGA.ZG.A8QZ.01",0.409042228198365
"TCGA.KK.A7B3.01",0.469665206787639
"TCGA.V1.A8MF.01",0.670933033387034
"TCGA.VP.A87K.01",0.468100478005745
"TCGA.EJ.5514.01",0.449203499445015
"TCGA.J4.A83I.01",0.528756104810716
"TCGA.EJ.7331.01",0.329258883878012
"TCGA.EJ.7328.01",0.329648933548666
"TCGA.CH.5744.01",0.389190171383423
"TCGA.EJ.A65J.01",0.489640663796083
"TCGA.EJ.5526.01",0.429063689227507
"TCGA.HC.7075.01",0.428602119913058
"TCGA.KK.A8IK.01",0.648628934846418
"TCGA.EJ.5531.01",0.44918265493498
"TCGA.CH.5767.01",0.489742238835443
"TCGA.CH.5743.01",0.449282105674932
"TCGA.HC.7821.01",0.388977558693386
"TCGA.EJ.A46D.01",0.430156643695562
"TCGA.M7.A720.01",0.449126908668999
"TCGA.G9.6371.01",0.329503038669787
"TCGA.HC.A4ZV.01",0.509086525157871
"TCGA.HC.8261.01",0.428860407295124
"TCGA.EJ.7314.01",0.429088404532632
"TCGA.YL.A9WJ.01",0.510325283278113
"TCGA.EJ.7317.01",0.329279456361169
"TCGA.EJ.7782.01",0.489023988653052
"TCGA.EJ.8468.01",0.429518361592197
"TCGA.HC.7737.01",0.329674239498895
"TCGA.J9.A8CP.01",0.329561123314992
"TCGA.G9.6499.01",0.429517818394023
"TCGA.CH.5764.01",0.329349714863571
"TCGA.EJ.5504.01",0.329344096598354
"TCGA.EJ.5503.01",0.32948583378926
"TCGA.CH.5794.01",0.329256622737965
"TCGA.HC.7210.01",0.490284600737516
"TCGA.KC.A7FD.01",0.447825295733732
"TCGA.YL.A8HM.01",0.51021308933062
"TCGA.HC.7080.01",0.489819456852872
"TCGA.XJ.A83H.01",0.429495905115289
"TCGA.HC.A8CY.01",0.349397354455558
"TCGA.EJ.5507.01",0.528280994626457
"TCGA.EJ.A8FU.01",0.469943037407478
"TCGA.HC.8258.01",0.329456596718602
"TCGA.HC.8257.01",0.389071045283983
"TCGA.EJ.A7NG.01",0.329659047310848
"TCGA.J4.8198.01",0.449032191792534
"TCGA.KC.A4BR.01",0.469968446379765
"TCGA.EJ.5524.01",0.429181137470225
"TCGA.EJ.7792.01",0.430077435811581
"TCGA.CH.5751.01",0.527389995093171
"TCGA.EJ.7784.01",0.528408212482434
"TCGA.HC.7209.01",0.329088901052361
"TCGA.J9.A8CK.01",0.429968449182132
"TCGA.KK.A7AU.01",0.32900264743591
"TCGA.G9.7510.01",0.329503402352636
"TCGA.EJ.5532.01",0.429185315891069
"TCGA.HC.A8D1.01",0.44934187609705
"TCGA.G9.6356.01",0.449203781488689
"TCGA.EJ.8472.01",0.508373006438906
"TCGA.EJ.A7NH.01",0.46983766357384
"TCGA.XJ.A9DK.01",0.329537462639703
"TCGA.EJ.7330.01",0.389147442167537
"TCGA.KK.A8I4.01",0.329713162824279
"TCGA.CH.5748.01",0.3891374136343
"TCGA.HC.7232.01",0.468305109773006
"TCGA.HC.7744.01",0.408908305840322
"TCGA.KK.A6E5.01",0.329426584572708
"TCGA.EJ.A8FS.01",0.429036596365695
"TCGA.EJ.5530.01",0.448559347528219
"TCGA.HC.A632.01",0.329231499285723
"TCGA.CH.5769.01",0.329569695309296
"TCGA.HC.A48F.01",0.329014027029666
"TCGA.M7.A725.01",0.489188025211964
"TCGA.VN.A88Q.01",0.388813104096721
"TCGA.YL.A8HL.01",0.329150023049423
"TCGA.XJ.A9DI.01",0.469704841469265
"TCGA.EJ.7789.01",0.469151230093144
"TCGA.EJ.5497.01",0.329364820503776
"TCGA.CH.5752.01",0.329320696654666
"TCGA.EJ.A46I.01",0.329840977975859
"TCGA.HI.7168.01",0.470324186770191
"TCGA.M7.A721.01",0.329540698984101
"TCGA.HC.7231.01",0.329324287794808
"TCGA.KK.A59Z.01",0.670753590194496
"TCGA.VP.A876.01",0.329349566983063
"TCGA.HC.7078.01",0.329482965453782
"TCGA.EJ.A8FN.01",0.329713162824279
"TCGA.HI.7170.01",0.470413795982123
"TCGA.CH.5761.01",0.58828040260801
"TCGA.EJ.7781.01",0.448918673556568
"TCGA.KK.A6E2.01",0.488196063575666
"TCGA.CH.5741.01",0.329193922331991
"TCGA.EJ.A7NJ.01",0.429721624502606
"TCGA.HC.8262.01",0.448787935774913
"TCGA.V1.A8ML.01",0.329679819502893
"TCGA.VN.A88N.01",0.429262789222925
"TCGA.EJ.7321.01",0.349092655756568
"TCGA.V1.A8WN.01",0.469226060855194
"TCGA.EJ.A65G.01",0.469989803754732
"TCGA.CH.5737.01",0.429543275267848
"TCGA.EJ.A65F.01",0.40862299822654
"TCGA.J4.A6G1.01",0.329534075690118
"TCGA.YL.A8SB.01",0.489857251451906
"TCGA.VP.A87C.01",0.469903744100247
"TCGA.YL.A8S9.01",0.489342804435932
"TCGA.J9.A52B.01",0.448711237594127
"TCGA.CH.5753.01",0.507757921565114
"TCGA.2A.A8VT.01",0.329438729913847
"TCGA.G9.6336.01",0.50854605592187
"TCGA.J4.A83N.01",0.329347909029467
"TCGA.HC.7230.01",0.4679013542534
"TCGA.KC.A4BN.01",0.468837012730316
"TCGA.YL.A8SA.01",0.329148814945812
"TCGA.XA.A8JR.01",0.469508862092316
"TCGA.EJ.8470.01",0.348977013667794
"TCGA.CH.5791.01",0.448544876139106
"TCGA.KC.A4BV.01",0.42905860189736
"TCGA.EJ.7791.01",0.369878093425787
"TCGA.EJ.7794.01",0.329295215718887
"TCGA.G9.6494.01",0.429298047323301
"TCGA.G9.7523.01",0.671259906921851
"TCGA.KK.A8IG.01",0.469689229302604
"TCGA.SU.A7E7.01",0.329397695981578
"TCGA.KK.A6DY.01",0.329106563291778
"TCGA.G9.7521.01",0.488208264570104
"TCGA.V1.A8WS.01",0.349538158781499
"TCGA.V1.A8MU.01",0.470243189322018
"TCGA.CH.5788.01",0.549570581989537
"TCGA.EJ.5494.01",0.448471611707101
"TCGA.CH.5771.01",0.489635794417352
"TCGA.YL.A8HJ.01",0.470120731590723
"TCGA.HC.7750.01",0.470094492438956
"TCGA.2A.A8VV.01",0.42956140852922
"TCGA.HC.A76W.01",0.469599199781324
"TCGA.J4.A83K.01",0.329607842086775
"TCGA.XQ.A8TA.01",0.547838173559366
"TCGA.EJ.A46G.01",0.670488252861417
"TCGA.KK.A6E0.01",0.649183517160974
"TCGA.HC.7736.01",0.469304024800407
"TCGA.KK.A7B4.01",0.329302225393103
"TCGA.FC.A5OB.01",0.508698822912949
"TCGA.G9.6351.01",0.329525287887469
"TCGA.HC.7742.01",0.429190448841634
"TCGA.CH.5792.01",0.329420360489404
"TCGA.KC.A7F6.01",0.469766515305278
"TCGA.EJ.5510.01",0.449136563476276
"TCGA.HC.7211.01",0.328849830750068
"TCGA.HC.7818.01",0.429152826657358
"TCGA.EJ.5506.01",0.50844162253543
"TCGA.VP.A87H.01",0.48945342640352
"TCGA.KK.A7AV.01",0.430015316886035
"TCGA.VP.A87B.01",0.672031153982334
"TCGA.HC.8213.01",0.428763567500445
"TCGA.HC.7233.01",0.329421085455885
"TCGA.VN.A88K.01",0.487511193534753
"TCGA.KK.A8IJ.01",0.429163471451566
"TCGA.CH.5746.01",0.448871319723156
"TCGA.EJ.7327.01",0.448594838388129
"TCGA.CH.5762.01",0.32932977074898
"TCGA.KK.A8I5.01",0.329754899045161
"TCGA.VN.A88O.01",0.429769999378286
"TCGA.G9.6367.01",0.329665360324131
"TCGA.G9.6363.01",0.329571309621309
"TCGA.EJ.5509.01",0.469733343722243
"TCGA.XJ.A83G.01",0.329603674876762
"TCGA.KK.A59X.01",0.509843622301588
"TCGA.HC.8265.01",0.489275968083804
"TCGA.FC.A8O0.01",0.329806575330061
"TCGA.V1.A8WL.01",0.329713162824279
"TCGA.ZG.A8QW.01",0.510565100136372
"TCGA.EJ.7785.01",0.449073359738791
"TCGA.VN.A88R.01",0.469236379794459
"TCGA.G9.6384.01",0.448567102865775
"TCGA.2A.A8VL.01",0.329713162824279
"TCGA.EJ.5522.01",0.329361601216805
"TCGA.EJ.A7NK.01",0.329783593952315
"TCGA.EJ.5498.01",0.329454758796507
"TCGA.YL.A9WH.01",0.489723296337794
"TCGA.HC.7081.01",0.430027373573128
"TCGA.EJ.7315.01",0.329257775575411
"TCGA.HC.7748.01",0.429088510120129
"TCGA.KK.A8II.01",0.408374970555244
"TCGA.EJ.5502.01",0.490052277489776
"TCGA.HC.A76X.01",0.329229431455953
"TCGA.J9.A8CM.01",0.329572196299246
"TCGA.EJ.A7NF.01",0.4293755883973
"TCGA.G9.6333.01",0.329679819502893
"TCGA.KK.A59Y.01",0.329440038310404
"TCGA.EJ.5542.01",0.329298827115235
"TCGA.FC.7708.01",0.489926978428805
"TCGA.EJ.5512.01",0.449295062951593
"TCGA.KC.A4BL.01",0.329607780230843
"TCGA.EJ.7788.01",0.38914344042237
"TCGA.2A.A8VO.01",0.329631261805539
"TCGA.G9.6342.01",0.448460041804192
"TCGA.EJ.5516.01",0.329324865926631
"TCGA.EJ.5501.01",0.489281477346098
"TCGA.KK.A8I9.01",0.329904881829055
"TCGA.EJ.7786.01",0.469783755502301
"TCGA.EJ.7793.01",0.32916209398883
"TCGA.YL.A8HO.01",0.691394712553574
"TCGA.XQ.A8TB.01",0.428981430491874
"TCGA.EJ.A7NM.01",0.428944029306938
"TCGA.ZG.A8QY.01",0.429881062200663
"TCGA.J4.A6M7.01",0.329223500545478
"TCGA.CH.5765.01",0.329200179024816
"TCGA.KK.A8ID.01",0.647183599090774
"TCGA.G9.6353.01",0.429973664307604
"TCGA.M7.A71Y.01",0.329456488721617
"TCGA.EJ.5511.01",0.409353178883141
"TCGA.YL.A8S8.01",0.590464150856434
"TCGA.G9.7519.01",0.469229559837076
"TCGA.VP.A87D.01",0.448433307921286
"TCGA.G9.6378.01",0.48962704283925
"TCGA.HC.8266.01",0.329455437301137
"TCGA.V1.A8X3.01",0.449557347979392
"TCGA.CH.5763.01",0.409543834401106
"TCGA.G9.6385.01",0.469382899723154
"TCGA.KK.A7AP.01",0.528611697230278
"TCGA.HC.7077.01",0.329480253946949
"TCGA.HC.8256.01",0.449409053113131
"TCGA.V1.A8WV.01",0.632813205493856
"TCGA.HC.7820.01",0.329450980935362
"TCGA.VP.A87E.01",0.511946605544173
