"","DemixT"
"PCA0001",0.410909480284237
"PCA0002",0.52847743079106
"PCA0003",0.591038587969117
"PCA0005",0.511670985415355
"PCA0007",0.452466176316055
"PCA0008",0.586198244616166
"PCA0009",0.61515671715542
"PCA0010",0.61295072329271
"PCA0011",0.612600541195691
"PCA0012",0.350737325568293
"PCA0013",0.431120605553056
"PCA0014",0.390484790451774
"PCA0015",0.677375094513358
"PCA0017",0.510579434005147
"PCA0018",0.570438582577157
"PCA0020",0.49155681681128
"PCA0021",0.489811598410145
"PCA0022",0.431063554809826
"PCA0024",0.59438388856367
"PCA0025",0.411004382210148
"PCA0026",0.612611261146825
"PCA0027",0.637817412313948
"PCA0028",0.652274249435497
"PCA0029",0.451364014412989
"PCA0030",0.530102169765833
"PCA0031",0.614680319939375
"PCA0032",0.565093147920716
"PCA0033",0.510974749940184
"PCA0034",0.50913556300824
"PCA0035",0.510101115022213
"PCA0036",0.411138769582367
"PCA0037",0.614999664345637
"PCA0038",0.613432860926495
"PCA0040",0.759476338523731
"PCA0050",0.63658932050967
"PCA0052",0.567957683329988
"PCA0054",0.630600239679988
"PCA0056",0.734327295208316
"PCA0057",0.614442989650569
"PCA0058",0.510583104820794
"PCA0062",0.573788264379216
"PCA0063",0.616785227862043
"PCA0064",0.532942386584693
"PCA0065",0.61563996991465
"PCA0066",0.814290253138917
"PCA0068",0.491153852027962
"PCA0073",0.551539352473327
"PCA0074",0.411628056629598
"PCA0075",0.448703521393636
"PCA0077",0.452945140825011
"PCA0080",0.637255115523688
"PCA0081",0.410290253256545
"PCA0082",0.494731524656672
"PCA0083",0.613281991631786
"PCA0084",0.586123966524117
"PCA0086",0.513384244140321
"PCA0087",0.615706648035144
"PCA0089",0.617046199236595
"PCA0090",0.635850034925747
"PCA0092",0.608391691359846
"PCA0093",0.615164670787766
"PCA0094",0.47046689015762
"PCA0095",0.41248517953011
"PCA0096",0.452955820026003
"PCA0097",0.511508166537107
"PCA0099",0.635992128452924
"PCA0100",0.453062929942307
"PCA0101",0.615009901782865
"PCA0103",0.473934442013348
"PCA0104",0.614350829855137
"PCA0105",0.452036934272082
"PCA0107",0.452639946743444
"PCA0108",0.614201959091724
"PCA0109",0.614538239140355
"PCA0110",0.613170607545574
"PCA0111",0.492929298228263
"PCA0112",0.527160060927445
"PCA0113",0.511930730337632
"PCA0114",0.470981501889303
"PCA0115",0.491636833166838
"PCA0117",0.472250909606324
"PCA0118",0.494334117436995
"PCA0119",0.613422883500796
"PCA0120",0.432722496019498
"PCA0122",0.594156425234327
"PCA0123",0.61436483714846
"PCA0124",0.63731030434026
"PCA0125",0.614980062184858
"PCA0126",0.532937343464837
"PCA0127",0.513759183956139
"PCA0128",0.612931450991171
"PCA0129",0.615363906485771
"PCA0130",0.731769419578667
"PCA0132",0.429903408538241
"PCA0133",0.449475504014749
"PCA0134",0.589769866815818
"PCA0135",0.609083409862425
"PCA0136",0.608783243008015
"PCA0141",0.587205182793473
"PCA0144",0.642489515080222
"PCA0145",0.532806956326837
"PCA0146",0.429477210811279
"PCA0147",0.468041509831494
"PCA0149",0.491753700802971
"PCA0150",0.613827894848506
"PCA0151",0.639703121995789
"PCA0155",0.619280572739537
"PCA0156",0.57131024045395
"PCA0157",0.590377636719712
"PCA0158",0.511940869205902
"PCA0159",0.468283359289677
"PCA0160",0.525987444652071
"PCA0161",0.637969011056257
"PCA0162",0.470151393082988
"PCA0163",0.511299032727948
"PCA0164",0.630598115532696
"PCA0165",0.58851889212377
"PCA0167",0.645840603005351
"PCA0168",0.546811602417902
"PCA0169",0.510005784366115
"PCA0170",0.573898776661224
"PCA0171",0.586632907634614
"PCA0172",0.756067895571569
"PCA0173",0.552505148885801
"PCA0174",0.432416266734026
"PCA0175",0.595252790340937
"PCA0176",0.450244281021528
"PCA0178",0.615852407236436
"PCA0179",0.652448516265443
"PCA0180",0.613595569763865
"PCA0181",0.682088097360176
"PCA0182",0.704088033530569
"PCA0184",0.546432262724993
"PCA0187",0.587703128344071
"PCA0188",0.6625154615496
"PCA0189",0.587535781490342
"PCA0190",0.712620682648556
"PCA0193",0.668377002409098
"PCA0194",0.678425750912842
"PCA0199",0.684123161206133
"PCA0200",0.609084094283702
"PCA0201",0.611154688085175
"PCA0206",0.611658997106862
"PCA0207",0.584722121971051
"PCA0208",0.732825361607857
"PCA0209",0.732315042241042
"PCA0210",0.763003654992088
"PCA0211",0.67338476302243
"PCA0213",0.684714946404523
"PCA0215",0.712478190400215
