Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
PR.0099,0,0.0150164933300772,0.0306553206700883,0.243264753652054,0,0.05281546403911,0,0.317158348162639,0.0879922901212834,0,0,0.0205410947677505,0.0381274691564041,0.0666188294241797,0.0660340399718566,0.0247484623271253,0.00701115141806215,0,0.0300162829593693,0,0,0,0,0.0229726631716601,1.11111047331248
PR.0415,0,0,0.162930574512461,0.143706468948407,0,0.0833871728140513,0,0.191273886230173,0.0288329433389565,0,0,0.0454503958846736,0.01552473999789,0,0.0746324052363139,0.172815168796764,0,0,0.0814462442403096,0,0,0,0,-0.0252152965124438,1.09567356179423
PR.0427,0.0544416971654051,0,0.130137584792154,0.143852188590198,0,0.162305717902139,0,0.132899634461396,0.0163402386329328,0.0107096302855793,0,0.0840291563065136,0.0274248754358984,0,0.0577030362176569,0.110167506812361,0,0.000203327121961505,0.0417490706203998,0.0280363356554041,0,0,0,0.113732016247758,1.04832528943922
PR.1024,0.0158105319049596,0.00279601313095353,0,0.195481810574863,0,0.0883432883618268,0,0.161279899885931,0,0.0403378976009638,0,0.0981074628203662,0.027088713810073,0.0341992341996668,0.138181722143671,0.152880708876199,0.00828136166020759,0,0,0.0372113550303193,0,0,0,0.188573216957385,1.03348766973089
PR.1043,0.0443092138809421,0,0.155220541732382,0.135261311623879,0,0.116133607892775,0,0.0858484847137631,0.016908324913347,0,0,0.0414652958333577,0.0543349256596014,0.0569060329647454,0.018673611786327,0.0836032341749653,0,0,0.159768042678331,0.0240500338384276,0,0.00751733830715585,0,0.132160384746695,1.02666731959156
PR.2661,0.020833284637476,0.00880561635066583,0.218595104056868,0.170239155111735,0,0.114496180856428,0,0.179664936678694,0.00816822771946495,0,0,0.0713515470869414,0.0216787145238693,0,0.0403557527709005,0.0750899061300879,0.0199859485989383,0,0.0507356254779302,0,0,0,0,0.146277566533715,1.03919314110752
PR.2682,0.00340385893122249,0,0.00927701749613113,0.151660182775382,0,0.120087424420963,0,0.0133564862275953,0.0239350564487632,0,0,0.0712890778396943,0.0236186910046304,0,0.0386283406413328,0.302515249774479,0,0,0.232608834965419,0.00548400622782542,0,0.00413577324656202,0,0.0678509636493473,1.06134365105082
PR.2740,0.0720057307478463,0,0.0105784470428283,0.103526566339818,0,0.231284130933666,0,0.139018023742757,0.0210557165701273,0,0,0.0411804378179878,0.0244596926737385,0,0.0356959755632601,0.118778114234567,0,0,0.202417164333404,0,0,0,0,0.0559674679996452,1.06620102555558
PR.2761,0.0232385624461455,0,0,0.081988370244514,0,0.336326862360295,0,0.0619409378872285,0,0,0,0.0343130075754062,0.0274499608745025,0.0898307638669367,0.0161963649455603,0.146797504384046,0,0.0165404621060063,0.0384757060679218,0.109700493600123,0,0.0172010036413143,0,0.0441865045525486,1.07721515110603
PR.2762,0.0530214295773127,0,0.08287202782801,0.136419776416294,0,0.213527121428444,0,0.0814794672452667,0.018881792218181,0,0,0.0837038035564321,0.030861229191311,0,0.00724609072921836,0.113803407033078,0.0167564496374529,0.00524744561107101,0.141746518887624,0.0144334406403051,0,0,0,0.118888251542328,1.04017766814834
