Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
GSM355108,0,0.162258221990344,0,0,0,0.0354957729419643,0,0.0899113621979759,0,0.191345960342389,0,0.0196110159168308,0,0,0,0.172811238742859,0.0107336982501165,0.0197535390871844,0,0.0870483597872399,0.211030830743096,0,0,-0.00906587709512883,1.10073645663958
GSM355109,0.0223513079769368,0,0.100988158030661,0,0,0.0945717999775405,0,0.118567187767614,0.0594620451460421,0.141188374070111,0,0.0458987573264678,0.0278867968257852,0,0.0309449862073577,0.0308933472436664,0.0765945760707719,0.0354961984825521,0,0.146418421575047,0.0576585838848262,0.0110794594146201,0,0.188256439826384,1.01188297756762
GSM355110,0,0.109328332744613,0,0,0,0.117493812935448,0.255472365262864,0,0,0,0.103257212935415,0,0.0529214070792967,0,0,0.0129534588382369,0.0602390508270778,0.0731874461650277,0,0.18371167447391,0.0125316367185914,0.0189036020195204,0,-0.0577576993483659,1.12013075442019
GSM355111,0,0.142224055952062,0.0677263374579983,0,0,0.0985397601653207,0,0.14818765077728,0,0.143857955171715,0,0.0729946040479992,0.0159760637440585,0,0,0.00617942846314552,0.0546171527433497,0.0329609130764022,0,0.140631657580353,0.0761044208203158,0,0,0.0240143798145025,1.09041660749239
GSM355112,0,0.174773944670611,0,0,0.0598245700076114,0,0,0.240216880631851,0,0.0951633890059456,0,0.0903543138905853,0,0,0.00235312850283054,0.107786284844564,0,0,0,0.141826786203998,0.0495148409499179,0.0381858612920849,0,0.0031345924795031,1.10924693827225
GSM355113,0,0.0257380140557205,0.0180463193584119,0.00285832970572216,0,0.0811756999652415,0.128935871970988,0.116501957635883,0,0.0899841051233822,0,0.0289145593290102,0.0171482793847021,0,0.143041004708155,0.158498152438185,0.10102699112668,0.00408830730935729,0.0173753053166585,0,0.046379549191574,0.0202875533803282,0,0.542282488726998,0.845920844278785
GSM355114,0,0.149473045964235,0,0.169410051411279,0,0,0.056749241952733,0.1458350153413,0.0460808730374443,0.0606663453811298,0,0.0529976930289966,0.0523950091451869,0.0055454668185035,0,0.12770098113984,0.0421823390351911,0,0.0152331455315767,0.0489122301994785,0.0268185620131054,0,0,0.0394225088119792,1.07653676115737
GSM355115,0,0.229407216577959,0,0.014668202404226,0,0,0.110363111675829,0.0621582003805383,0.10275801215746,0,0,0,0.0456178191693746,0,0,0.0465604323478638,0.034349935117125,0,0,0.255783654116516,0.0520530605376115,0.0462803555154976,0,0.19257633379589,1.01973831417416
GSM355116,0,0.0996228999418635,0,0,0,0,0.0191790909674657,0.0956546974567608,0,0,0.0139720735117309,0,0.34296637225668,0,0,0.153133861581921,0.0625300493501075,0,0,0.0275928330094569,0.185348121924014,0,0,0.376158606752732,0.933021248274632
GSM355117,0,0.0857283849061076,0,0,0,0.00843182205946763,0.12584131052112,0.0872226051232529,0,0.052200355532157,0,0.104799294176724,0.0728662614037796,0,0.0672416824672641,0.0849107851946499,0.137909702639886,0,0,0.0706487200560077,0.102199075919583,0,0,0.26493544305777,0.979187040551501
GSM355118,0,0.233238758642513,0,0.0514135968630133,0,0,0.0530952312172163,0.22899222854362,0,0.0750548695391465,0,0.102985929517417,0.0889195445271197,0,0,0.0135673738831771,0.0220421906023325,0,0,0.109644456910745,0.0210458197536999,0,0,0.0547734714181771,1.08855544571202
GSM355119,0,0.157449636919565,0,0,0,0.101338469859091,0.0789190522451622,0,0.0679605222791702,0.0970367298689871,0,0.025841088317982,0.0590870055946301,0,0,0.0608995767384169,0.0514188731286019,0,0,0.192513497365237,0.107535547683157,0,0,0.181538397651899,1.01878848124445
GSM355120,0,0.0375937968107311,0,0.100406645011177,0.0427869846289845,0,0.168199349271711,0.00902812205488386,0.106187929831307,0.0131145420336818,0,0,0.129753872063749,0,0.0304697716570222,0.173823461703012,0.0613872251857838,0,0,0.0764361436868901,0.0508121560610664,0,0,0.279449233368634,0.966605383651479
GSM355121,0,0.26016879405595,0,0,0,0,0.138543222311585,0,0.114191784341648,0.0148158256230274,0,0.0256665815612783,0.145825196898647,0,0,0.00434835122677884,0.108480667841678,0,0,0.083056098647103,0.104903477492304,0,0,0.145276941301212,1.0225105999396
GSM355122,0.0170562906797596,0,0,0,0,0.0738110514037746,0.0455873991050879,0.154833669482086,0,0.130304902626652,0,0.112004597819268,0.0301778215250114,0,0.0241816510273257,0.0563692575507991,0.0664489304466521,0.017719597378001,0,0.127651279418666,0.143853551536917,0,0,0.182719104110361,1.03451666276339
GSM355123,0,0.184230665109662,0,0,0,0.25534490657577,0.0840887987458132,0,0,0.0752464789741043,0,0.00185173707398064,0.0274379467227489,0,0,0.0387325451711764,0.0717948646656323,0.0284958125280715,0,0.0929379799980113,0.139838264435029,0,0,0.0693499600909036,1.05423073983929
GSM355124,0.0120379115687332,0,0,0.121646088205184,0,0,0.07433527062399,0.127267996045797,0,0.0437679541393527,0,0.0548677992509523,0.0371672583251103,0,0.0262755102984279,0.177553154756243,0.0664132289385974,0.0209772532343519,0,0.140789750263072,0.0878884771791386,0.00901234717104962,0,0.315220654550901,0.957564235324877
GSM355125,0,0.0845861315360767,0.0741935081882574,0,0.126009625553206,0,0.103141830798783,0,0,0.189610054856336,0,0.0523269810412655,0.071841526859786,0,0.0248221889273168,0.146013589055446,0.0447863687330834,0,0.0460170517728739,0,0.0366511426775695,0,0,0.195053299857476,1.00338574168589
GSM355126,0.0887946867480019,0.0906828827307711,0,0,0,0.102220833427535,0,0.330215610000173,0,0,0,0,0,0,0,0.18438764801356,0,0,0,0.203698339079959,0,0,0,-0.0348957050545195,1.12694205359776
GSM355127,0,0.0923832838619359,0.0977471736469897,0.00488411780645949,0,0,0.135591891944505,0.0168612743233623,0.013816180724655,0.10356483351308,0,0,0.0430827158353942,0,0,0.225015411100388,0.0759927292784864,0.0242759249971691,0.0369023628634121,0,0.0973049781269571,0.0325771219772057,0,0.299889277844984,0.955596997162772
GSM355128,0,0.00517662489682519,0.0189802879248309,0,0,0.0984595042031637,0.0335842498823876,0.128822787426865,0,0.031781728815153,0,0.0709125726179389,0.0685693685693708,0,0.0273917471340816,0.128279403744503,0.0677175136265946,0.00419892969874397,0,0.134120376978507,0.129520308812507,0.0524845956685284,0,0.314927393114585,0.957362171761285
GSM355129,0.000618271507446639,0,0,0,0,0.135478532930865,0.0139585166279307,0.0515413704350036,0,0.00914354449202092,0,0.0981387321529895,0.0298650224974792,0,0.131955278935534,0.181251033727147,0.147794629335103,0.00492744523170799,0,0.0212237797954676,0.116329945557045,0.0577738967742603,0,0.468022841677859,0.883126012989117
GSM355130,0,0,0,0,0,0.17558128374326,0,0.0503098367013226,0,0.0991180133202555,0,0.0411158564949639,0.00100767106156312,0,0.0120692266751623,0.168910264872166,0.0819467448455236,0.0413430227003434,0,0.137018609974614,0.161221018855547,0.0303584507552787,0,0.297469648142779,0.96752936760374
GSM355131,0,0.174593066554995,0,0,0.022062536880813,0.0120802549418296,0.101217354021376,0.0394795648114472,0,0.187881701840005,0,0,0.0271905724400812,0,0.00440978100602792,0.0789641507595033,0.0634119603977243,0,0,0.226788482392926,0.0619205739532704,0,0,0.212642226412255,1.01031472540183
GSM355132,0,0.105373157346737,0,0,0,0.043921273740477,0.146659566498261,0.0319572514854809,0,0.0421642761872837,0,0.00321629040594538,0.0416311978758482,0,0,0.159794401814544,0.0491101777971279,0,0,0.261271637430921,0.114900769417374,0,0,0.285825656900025,0.978988341843845
GSM355133,0,0.361677463120307,0,0,0,0,0.064839629291411,0.0799800661337485,0,0.0665689613587403,0,0.0140890283958348,0.0687681664193441,0,0,0.0458362517798003,0,0.00902146225911274,0,0.167905551945052,0.121313419296649,0,0,0.0118317984469904,1.09356104914158
GSM355134,0,0,0,0,0,0.0605136870907242,0,0.13782919235014,0,0.14315468911283,0,0.0737794011490822,0,0,0.0131401009644285,0.24093078299444,0.00816569525163416,0,0,0.187567834685787,0.134918616400934,0,0,0.0568143628799069,1.09918347732423
GSM355135,0,0.0298670517915021,0.120155960934479,0,0.072976766403317,0,0,0.240056975525649,0,0.137315413539512,0,0.118424767725667,0.0106620388475115,0,0.0276631311773782,0.102458364765895,0.0555937876281368,0,0,0.0346932800847871,0.0307234026703348,0.0194090589058294,0,0.148811157082244,1.03762693664928
GSM355136,0,0.060496317285272,0,0,0.139994962409392,0,0.126596168333437,0.143181486292216,0,0.105535875719287,0,0.00013578038310673,0.0223975501751616,0,0,0,0.0309742393911693,0.00475132809246031,0,0.293377299473434,0.070620716203109,0.00193827624195511,0,0.186800922649983,1.04052761773004
GSM355137,0,0.132247868254465,0,0,0,0.110632409734311,0.106090355929165,0,0.0840617578475081,0,0,0,0.0629335510199323,0,0,0.095667404330183,0.0542100369016151,0,0,0.256602466369996,0.0975541496128251,0,0,0.202115715912225,1.01420020570466
GSM355138,0.0478893235357059,0.0637530031573666,0,0,0.091994624034559,0.0379972222292352,0.0340291290610616,0.104205306625115,0,0.167927763581108,0,0.0292263030816961,0.0225333095601959,0,0,0.142282023458207,0.0660481783637407,0.0245969134249939,0.104590293263575,0,0.0629266066234406,0,0,0.207874500974447,0.997711033240081
GSM355139,0,0.195259999901683,0,0,0.0374223405492237,0,0.145396737432384,0.0900612625971273,0,0.128043723527628,0,0.0340249375351753,0.0947536906434886,0,0,0.045479935106986,0.0169085292229802,0,0,0.17731320832895,0.0353356351543736,0,0,0.134159668532426,1.04239823331697
GSM355140,0,0,0,0.186400718978321,0.0919364646358956,0,0.0493366861719698,0.104262879240243,0.0472738331882742,0,0,0.0774118687153358,0.0865188054607321,0,0,0.0866378959687499,0.0396422908108535,0,0,0.17266914523785,0.0579094115917744,0,0,0.228137836302775,1.00821240473096
