Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
DFCI.11.104.13.Tumor,0.0173642838976207,0.223387428129033,0.296898938652627,0,0.0107756357151611,0,0.0455089521827362,0.0207387022890275,0,0.116625623675447,0,0,0,0,0.0141423839703716,0,8.10270758801066e-05,0,0.254233538633641,0.000243485778454106,0,0,0,0.0599546154134934,1.05754647304938
MO_1012.Tumor.Subcutaneous_nodule,0,0.26497648378908,0,0.295709035996973,0.0353172061545917,0,0,0.150050919291176,0,0,0.10354402098581,0.0119006012610135,0,0.0445890507597853,0,0,0,0.0263791524280401,0,0.0520555709977055,0.00348327518512354,0.0119946831507016,0,-0.00737880394537884,1.12862320690071
MO_1013.Tumor,0,0.121760765903519,0,0.219215216880105,0,0,0,0.123569114510622,0.076126880345257,0,0.06562825018171,0.017011303801598,0.0229808308261381,0,0.0105027610994414,0.301958171145834,0,0.0297964609417933,0,0.0114502443639826,0,0,0,0.00875853256554853,1.09214230510075
MO_1014.Tumor,0,0.132842431245323,0.270912978139951,0.0192775702604013,0,0.0926195252636321,0,0,0.0762143585991866,0,0.0369238016139362,0,0.0138116887817504,0,0.0132030733493957,0.25244734090371,0,0,0.0917472318427138,0,0,0,0,-0.0279130022457094,1.06754946959223
MO_1015.Tumor,0,0.094626712645638,0,0.0472777521050239,0.0894313380989925,0,0,0.107198891681153,0.179014883356952,0,0.0946666951666815,0.0577395344434406,0.0769005743241427,0,0,0,0.0633857823393208,0.11981372534563,0,0.0699441104930262,0,0,0,0.0132262781308057,1.09546118174662
MO_1020.Tumor,0,0.0301353820515438,0,0,0,0.044932771671944,0.0588656527054112,0.146159603691055,0.135426442678732,0,0,0.0392931359774355,0.0203555960563865,0,0.19996196202404,0.187577694619075,0.107832585780531,0,0.0294591727438463,0,0,0,0,0.168712031290201,1.03483943247004
MO_1040.Tumor,0.036359100083232,0,0,0,0.122338049081009,0.0963962293504144,0,0.105648168899053,0,0,0.160685810647798,0.016293809783993,0,0,0.0338408083222256,0,0.0315415493469859,0.00988229443167271,0.387014180053616,0,0,0,0,0.231781135461117,1.01779875812744
MO_1054.Tumor,0.0353106652293657,0,0,0,0,0.392946757937655,0,0,0.0584267763774938,0,0.109764335464225,0.0612047316726833,0,0,0.0338788560775586,0,0.0498333175504274,0,0.257565541587579,0,0,0.00106901810301319,0,-0.044925978181974,1.14446714753461
MO_1071.Tumor,0,0.042544537248676,0,0,0,0.38182324090104,0,0,0,0,0,0.165523167371317,0.0534579603532451,0,0.0183970280827337,0,0.0468299823610571,0,0.291424083681931,0,0,0,0,0.0046327337669788,1.12568443132078
MO_1074.Tumor,0,0,0,0.120306236660013,0,0,0.00284092069075996,0.124990064714824,0,0,0,0.0303034131344024,0.0158217346946648,0,0.00339144645910953,0.164883327798962,0,0.247146180142765,0,0.271296605971359,0.0128910774715662,0.00612899226157422,0,0.0491139565287196,1.1148239501843
