Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
CH15T,0.0666692513798836,0,0.0509676176366492,0.086599433117482,0,0.160976456747591,0,0.0618798808351613,0,0.0224542948800676,0,0.030572402499481,0.00671820627749698,0.0520245675597664,0.0487671086962683,0.0901094563676215,0,0.000870582869348082,0.280511550194924,0,0.0268435957134018,0.0140355952248567,0,0.0257923389481999,1.07433536185334
CH16T,0.0277562169463023,0,0.0353670797211602,0.0637073857745861,0,0.332359100691053,0.00604552595763247,0.00561388449193477,0,0.00566426369994984,0,0,0.0251535442725681,0.012986738425399,0.00722496641848921,0.232000540257097,0,0.00219442553304326,0.243926327810784,0,0,0,0,0.24555249736068,0.985979613477244
CH17T,0.0837614618487532,0,0.0539337802770928,0.0847246128059059,0,0.238546230060817,0,0.0496032479295604,0,0.0337484831475261,0,0.04042185520524,0.0282723661172494,0.00798247759633332,0.0239560327348957,0.185325099703268,0,0.0432011063915918,0.115907344883048,0,0.000937670652596749,0.00967823064612137,0,-0.00895352621701187,1.07831300287725
CH18T,0,0.0259952470798585,0,0,0,0.436899235903861,0,0.03772656782068,0,0,0.0232751684123798,0,0.155280215537953,0.00746471105492303,0.0201699174939806,0.0524006263017354,0,0.0112681557219558,0.0815508446017755,0.0818817224281646,0.0660875876427336,0,0,0.0202283595920068,1.08224309423466
CH19T,0.121156815804865,0,0.0417644417484927,0.0282029081631475,0,0.247267167936605,0,0.0382583676291772,0,0,0,0.0391908787121637,0.0205196507190505,0.0150540325582377,0.0271444651411322,0.175255243573969,0.0140703629903784,0,0.232115665022782,0,0,0,0,-0.0163415476559647,1.08330929713105
CH20T,0.0377414094401598,0,0.0290667377335434,0.089195967962264,0,0.275844672195345,0,0.0238010269764235,0,0,0,0.0132678352658784,0.0279356280498348,0.0125621718991921,0.0610634151452471,0.149247044088331,0.0251126089211513,0,0.250384494726165,0,0.00477698759646478,0,0,-0.0171779626266552,1.09040732447392
CH21T,0.0563496745337412,0,0.0453152516150062,0.0683693127362787,0,0.267284611655359,0,0.0189617606746772,0,0,0,0.050087995640421,0.0146961644681776,0.0610299029898242,0.0414462414888113,0.119547226734366,0.000483320593013655,0,0.256428536870324,0,0,0,0,-0.0130424876677747,1.09020303697107
CH22T,0.0461755629500437,0,0.0253637983981209,0.0272633844057,0,0.210394418947625,0,0.0738086631383537,0,0.000841755809323036,0,0.00809967522589504,0.00911728782824337,0.106947571922429,0.0756808516588542,0.249052110016621,0.00905010461397607,0,0.1500262272909,0,0,0.00817858779391481,0,0.08966896923752,1.04502583224224
CH23T,0.0583247849639253,0,0.0350006084813326,0.0723474129368468,0,0.21374704262264,0,0.0850127803519024,0,0.0555354159665485,0,0.0653260605370967,0.0123706915099628,0,0.0369913003066302,0.182827746466415,0.0116346421275249,0.00370610351042708,0.142343601841816,0,0.0198251318737679,0.00500667650316394,0,0.0273855152411159,1.07120786959607
CH24T,0.000809972167168114,0,0.0576198580359074,0.0334664402795279,0,0.176837567749421,0,0.048103838817521,0,0,0,0,0.124116427086723,0,0.0171573229566251,0.271362927054639,0,0.00601161929225096,0.175756052314064,0.0102963299426083,0.0597189109431799,0.0187427333603649,0,-0.0346823044902171,1.08932425238853
CH25T,0.022540685259124,0,0.0281060393542499,0.00979696428446449,0,0.276998035839563,0.00248558418808494,0,0,0.0218882645558347,0,0.0551421928036283,0.0228151713857021,0.0555630661828225,0.00620510522226161,0.180743477254028,0,0.0127707650632609,0.244662618527067,0,0.0313555812210138,0.0289264488588951,0,0.0347276644693597,1.06959937354627
CH26T,0.0899803028914049,0,0.00866901323434743,0.0311660445547976,0,0.596317434367235,0.0114452260421198,0,0,0.00908034828481407,0,0,0.0111615756684966,0.00499309101999056,0.0755509901412159,0.0653621680766488,0.0267892457677172,0,0.0694845599512122,0,0,0,0,0.00809026842035698,1.11150595545475
CH27T,0.0977575256401619,0,0.0183723835375617,0.0414457177977777,0,0.187778832805231,0.00902875960824156,0.0710942601969602,0,0.0186859545103753,0,0,0.0189588841605643,0.13865455420617,0.0218053730636129,0.156259343672611,0,0.104867471667769,0.0572510014530453,0,0.0307700700845942,0.0272698675953239,0,-0.0228392571827212,1.08367589087241
CH28T,0.0429337330614543,0,0.0132416792803009,0.0620903981740244,0,0.561046865416584,0.000827458666836451,0,0,0,0,0.0123293010070807,0.02710776741722,0.00352638732984498,0.0160302381960292,0.10958396678582,0.0258180801150915,0,0.0714417533721649,0.00460281728695647,0.0470139126044551,0.00240564128613743,0,0.247367392305388,0.995401348182056
CH29T,0.0919149561322935,0,0.0651875766824919,0.0155250535584022,0,0.17133605928739,0.0193720251174325,0.0450164899032414,0,0.00817166050299947,0,0,0.00198010284599873,0.149208183520012,0,0.183193651544129,0.0145119748165998,0.0327569052239433,0.0556018361048689,0.00747233072717922,0.0890003761759464,0.0497508178570729,0,-0.0336032053169456,1.08673164290759
CH30T,0.112322725535071,0,0.0494842075655594,0,0,0.202941514600641,0,0.0878964930404591,0,0,0,0.00956823729394039,0.0174501180456089,0.0374475450875665,0.0423282058390749,0.105053011315963,0.00405424642231879,0,0.328908508527455,0,0,0.00254518672634232,0,0.0378455745268412,1.07535841271748
CH31T,0.0453728382665194,0,0.0545478502968018,0.132879867892183,0,0.430523443281293,0.0266114341123098,0.00832640855959094,0,0,0,0,0.022307590782812,0.03298155095739,0.0379704066384747,0.078962362506586,0.0070682845993194,0.00153416585743109,0.0985508309963492,0,0.0109893905379319,0.0113735747150071,0,0.0812477494076531,1.06239395486451
CH32T,0.0679251252321808,0,0.0256562819814625,0.028454876616214,0,0.168449361168424,0,0.0273463917171436,0,0,0,0.0226851420355862,0.0806534379686049,0.0327744269319178,0.0250090847667237,0.170725063119175,0,0.00328808898026583,0.347032719482301,0,0,0,0,-0.00764899068625984,1.09733774662505
CH33T,0.0594050021484619,0,0.0351893966365058,0.020758910737107,0,0.27507905933543,0,0.0635131968367,0,0.0177289841449302,0,0.0458188003839103,0,0.0883619594696667,0.0393092106924997,0.161244592918163,0,0.00320275288921514,0.161256670476357,0,0.0291314633310533,0,0,-0.00127556723268968,1.07702812035384
CH34T,0.00669042077402322,0.00786410586152098,0,0.0766467559690516,0,0.297342826132514,0,0,0,0.0861367929035626,0,0.0222448387286813,0.0281601320542617,0.0875233635586542,0.0408498287700451,0.178765741144295,0.018564766547968,0,0.1347382063621,0,0.0144722211933219,0,0,-0.0120240509495099,1.09241135358181
CH35T,0.0223326472927607,0,0.0047344400438261,0.0675161984705746,0,0.252334530993653,0.000573326595575411,0.0171989310532843,0,0.00687725221415639,0,0.00620426803076175,0,0.0945283704510603,0.0419959553151516,0.378065625066447,0.0208590722802747,0,0.0867793821924741,0,0,0,0,0.356208100577843,0.938090395539391
CH36T,0.0415561590013009,0,0.0040859125575311,0.0350379137763503,0,0.218811828176162,0,0,0,0,0,0.023652502730729,0,0.0605893255190427,0.00292570328682092,0.48127477325925,0.0054015378018733,0.0191980245684915,0.0561619516326985,0.00934348049161304,0.0340401073196622,0.007920779878475,0,0.203839037162451,1.01319449905355
CH37T,0.00328131751577022,0.00227320163301184,0,0.0447673564972064,0,0.379210429776008,0.0236872683226537,0,0,0,0,0,0.117828489905202,0.0501308568251535,0.0214002907802591,0.198051908044249,0.0232935924035725,0,0.123659121211706,0,0.0124161670852077,0,0,0.280514064471164,0.968723153860591
CH38T,0.100468751397336,0,0.0215670950451897,0.0699535094740709,0,0.41203494682324,0.0261502708092736,0,0,0.0246503908406411,0,0.00787565443769129,0.0270644790369222,0,0.0703470669221702,0.120981265240309,0.00736246025644622,0.00293724579500204,0.0800252023186154,0,0.0285816616030919,0,0,2.74243574669952e-05,1.08949813158668
CH39T,0.0646866842458309,0,0.0210805517252457,0.071653959053929,0,0.331443516621099,0,0.0116628479859374,0,0,0,0.0257212477419019,0.0140589286138547,0.0671944907239055,0.0464033609657324,0.102487658711292,0,0,0.225244956927273,0.00584885323151351,0,0.0125129434524851,0,0.141340083459741,1.02964802056164
CH40T,0.056804035047917,0,0.0305911695008226,0.073339461546139,0,0.29229906948553,0,0,0,0,0,0.0152752964083878,0.102145203121547,0,0.0284090267505651,0.262051860242106,0,0.0035259779698625,0.135558899927123,0,0,0,0,0.097005318673174,1.03967814785222
CH41T,0.128283909355355,0,0.0443438234299187,0.0225986630365723,0,0.324930473112244,0,0,0,0,0,0.0343209812652017,0.0093598562856018,0.0399561641690107,0.0449401239558533,0.0865614181906261,0.00943454988500361,0,0.227782819237509,0,0,0.0274872180771032,0,0.0351214935545145,1.06735812447592
CH42T,0.0685041239039649,0,0.0363581340686003,0.0300594113334782,0,0.25926856230511,0,0.0432246609351585,0,0,0,0,0.0376149354791232,0,0.0188827549018397,0.113227779709944,0.040409658337127,0.00157991704034805,0.17840283583118,0.102165675296579,0.0183953234944373,0.0519062273631105,0,0.0847154025334797,1.05209375786978
CH43T,0.00251228872325077,0.00670202710686854,0.000716943857380217,0.0418009086956076,0,0.191319148501958,0,0.0577360169003671,0,0.038957431766225,0,0.00407450444783311,0.1189610590758,0.161765056212574,0.018586351290852,0.087748129067216,0.00572753586387816,0.0060367180327369,0.232272558041172,0,0.0250833224162808,0,0,-0.00481828427179398,1.08679602618392
CH44T,0.0444203538603801,0,0.0351877571790497,0.024425957390137,0,0.380797407778364,0.0106930463641411,0.0222118699515452,0,0,0.0155040683857339,0,0.00718028998460464,0.0164589850096773,0.0819494061411862,0.125769938740191,0,0.0247194515845709,0.161504829896773,0,0.0491766377336458,0,0,0.0602639679084571,1.05830219163372
CH45T,0.0377998506062982,0,0.029508910385366,0.0179049725464726,0,0.249490275418537,0,0,0,0.012431953701459,0,0.00262237822141023,0.00860242383539351,0.0501686996573998,0.0592209865161345,0.318468960677402,0,0,0.162713835286286,0,0.0510667531478407,0,0,0.174497096168035,1.01189681805775
CH46T,0.154994546908556,0,0.0459561722926995,0.0360684094336723,0,0.230079462993807,0,0.0219373683557878,0,0,0,0.0282808375428405,0.0124240772014173,0,0.0265079251688057,0.144765939085327,0.00662391000062233,0.00269045389444145,0.289670897122024,0,0,0,0,0.0342080289341395,1.07296301082672
CH47T,0.022547099011741,0.066316809770344,0,0.0685398754788378,0,0.512294803939048,0.0193112508342769,0.0154519689345636,0,0,0.0105712388999032,0,0.0132196520368965,0.0400501409604108,0.0636627680128361,0.0983105816614495,0,0,0.0695562804607105,0,0.000167529998982642,0,0,0.445490132343045,0.895170963895961
CH48T,0.0928225654486782,0,0.0116682216221589,0.146041515124044,0,0.31305593884582,0.00129782330529018,0.0353826614726493,0,0,0,0.0232443767712353,0.0261350770681268,0.0751424385826636,0.0536644514504739,0.0848985385725409,0,0.00931618183829125,0.126543746900128,0,0,0.000786462997900167,0,0.0298488899484315,1.0775296075731
CH49T,0.041431705603443,0,0.11366172014029,0.0731005855790578,0,0.278553510968242,0,0.0269975648342518,0,0,0,0.0233750471000525,0.00253969150205116,0,0.0134522679583957,0.21982088668749,0,0.00356277014945595,0.122275721846355,0,0.058612312385562,0.0226162152453531,0,-0.0351416367827738,1.08628080716505
CH50T,0.108016329732259,0,0.092428776352937,0.0685105926913268,0,0.254642318472982,0,0.057164403900399,0,0,0,0.0368637477309414,0.0329812797179205,0,0.0676639799228957,0.191508000393365,0,0.00152898111207105,0.0886915899729022,0,0,0,0,-0.0298327626072576,1.0868038555667
CH51T,0.128978204754585,0,0.067228459388118,0.012192915866613,0,0.261317565701093,0,0.109186551465404,0,0.0134461517414426,0,0.0165060130912061,0.0352945945645706,0,0.0258254439367224,0.0714389075370922,0,0.0177877950779537,0.192682163066852,0,0.0397340443989565,0.00838118940939074,0,-0.0126330002956844,1.08161624019642
CH52T,0.0697105750895338,0,0.0127307439048669,0.031525908429263,0,0.234814167705643,0,0.0553460793955603,0,0,0,0.031560502533947,0.0980887486860022,0,0.0167989942742432,0.071852432792089,0,0.0568220522523981,0.104712928653031,0.0813545832715755,0.0415463272860455,0.0931359557258006,0,0.0404725019916355,1.06615815853768
CH53T,0.0515891724107302,0,0.0417942344927978,0.100180138290774,0,0.294416490953152,0,0.0422379222448554,0,0.0626684786566611,0,0,0.0235260303487346,0,0.0614477416508618,0.149188936935345,0,0.00651724828190451,0.13094324133498,0.00218380360094208,0.0333065607982615,0,0,-0.01087156180946,1.08752320423092
CH54T,0,0.0125702285277148,0,0.0369034717960639,0,0.313204136985123,0,0.065244875274343,0,0.00969762245141271,0,0,0.0450078391125497,0.01390235167296,0.0501818579794259,0.300592441762051,0.0233428375298979,0,0.101238670223452,0,0.0281136666850056,0,0,0.299878407667616,0.960442458998352
CH55T,0.0755160838231611,0,0.0220724670717158,0.0862137704672065,0,0.37013716703334,0,0.0164753086634124,0,0,0,0.058474314202911,0.036345900226699,0,0.0380813670941796,0.142981055730388,0,0,0.15134603195082,0,0,0.00235653373616716,0,0.0906919762149827,1.05321606316886
CH56T,0.0242149368862904,0,0.028114781409161,0.160811061558662,0,0.204808463740674,0,0.0322424191539061,0,0,0,0.0371720280981628,0.130539000989384,0.060835070771417,0.0248352934787489,0.146404275432151,0.0130695528801734,0,0.125053594456238,0,0,0.0118995211450304,0,0.165311525213123,1.01436147226453
CH57T,0.0662849970022055,0,0.0892121142911921,0.0633023226098433,0,0.179661008234085,0,0.0367782940486616,0,0,0,0.0397113101143579,0.0303595261260879,0.00112095586592478,0.00859379306687254,0.239198303564256,0,0.00808948652733872,0.19334838583489,0.0375047078641901,0.00523188406654842,0.00160291078354681,0,0.00679004795949176,1.07549528656664
CH58T,0.078769106898286,0,0.0401892920022141,0.0611970192426344,0,0.248644424597121,0,0.0521236596558789,0,0.00728815407063474,0,0.0672655179575719,0.0213908518819707,0.00463588320140819,0.0575346493132697,0.207166348410936,0,0,0.145340162069283,0.00845493069879121,0,0,0,-0.00640068368913119,1.08167859960543
CH59T,0.103797603074957,0,0.0600117172476828,0.00565030412119872,0,0.299966657257389,0.0167896111627515,0.0106841382268113,0,0,0,0.00607068663496488,0,0.0509573228920031,0.0374819122181998,0.142334245425112,0,0,0.175261187881948,0,0.0909946138569821,0,0,-0.0192333133004117,1.07820133115131
CH60T,0.052155449875719,0,0.0150997038358781,0,0,0.315633921439943,0,0.045705415771651,0,0.0430429090422653,0,0.0105570990316736,0.0168947441451625,0.0944370441348968,0.0519492303890268,0.201443359381018,0.00110455814922939,0,0.109944996192874,0,0.0420315686106618,0,0,0.0505819325996479,1.05868572528062
CH61T,0.0277922147526694,0.00904752927218863,0.0222888538318902,0.0694644073498345,0,0.406854586883442,0,0,0,0,0,0.0319695898495631,0,0.0808429548043945,0.0506632388281514,0.227339905828006,0,0,0.0725660343231402,0,0.00117068427671993,0,0,0.245915056523579,0.987808157304612
CH62T,0.0960086955456042,0,0.0131554676776522,0.0228754676496726,0,0.362247334333642,0.00444056841000203,0.0629422534260358,0,0.0348146129187701,0,0.00530489400951036,0.0449681284930327,0.0530165640697853,0.0252315706885423,0.0829516727381656,0,0,0.192042770039585,0,0,0,0,0.168773656726962,1.01763488406527
CH63T,0.113882306938424,0,0.0878764699509046,0.0539698459727764,0,0.147914727373368,0,0,0,0,0,0.00868606528328138,0.0150320895294388,0.0401417795982114,0.0353133360656434,0.327971002427662,0.0288571755725286,0,0.119270652644807,0,0,0.0210845486429557,0,-0.0294039763594541,1.0860569157133
CH64T,0.00383402105595436,0.0649129206635134,0,0.117657563410583,0,0.156353641038825,0,0.121154232442468,0,0,0,0.00867617398571583,0.112634717768141,0.0789614461701905,0,0.107109980060289,0.00926046995222746,0.0179845539763025,0.190221996653991,0,0.0112382828217988,0,0,0.0023276687945314,1.07571851179255
CH65T,0.0397433752136534,0,0.0384257436108243,0.0553028476148922,0,0.317187892681088,0,0.0880345029555194,0,0,0,0.0113643700076217,0.0104487832990571,0.0716460111456816,0.0556061852289958,0.0944043667264831,0,0.00486143797778679,0.209920035413956,0,0.00305444812444073,0,0,0.020243149688462,1.07716197821479
CH66T,0.0804856616501868,0,0.0631821777960884,0.0777099405793199,0,0.289652609035527,0,0.122325835842372,0,0.0156397303276002,0,0,0.0280762153622161,0.0235862617733792,0.0114438676566672,0.13462868985403,0,0.000870539612565487,0.143310448582007,0,0,0.00908802192804098,0,0.0254564813365926,1.07264161327651
CH67T,0.0276523251082549,0,0.0125828716210524,0.0426909866737087,0,0.275187155168187,0.0135569068948671,0.00355346487290639,0,0.0114648937198564,0,0.00162560369281219,0.000567270702570824,0.0904573793170429,0.0590770355257745,0.265107597400223,0.0468020461624155,0,0.149674463140328,0,0,0,0,0.162139323152431,1.01758359031424
CH68T,0.027819714268039,0,0.00215813818414785,0.115675934111601,0,0.20676497042325,0,0.050752137918498,0,0.0172424012671084,0,0.0309882373151635,0.0383115316407374,0,0.0221103674941592,0.351106260039396,0,0,0.1370703073379,0,0,0,0,0.411395386592415,0.910899992696129
CH69T,0.0744920674372976,0,0.0644689776667139,0.0078577356605258,0,0.176405889255309,0,0.0359364135394526,0,0.0095127430209888,0,0.0348439435027039,0.0536246301206975,0,0.033685426857846,0.240554743291414,0.0152108944303026,0.00907124313639643,0.190785837948834,0.0145595423085302,0.0389899118229867,0,0,0.0348768837790318,1.05845057980085
CH70T,0.0649227741131429,0,0.0197921129596834,0,0,0.233243436768128,0.00996800435467762,0.0183725128608036,0,0.00164409684984454,0.00505131965046317,0,0.0461547528220223,0.101345637390035,0.0554959797812561,0.216687988256634,0.0353726449860153,0,0.159616950790428,0,0.0323317884168656,0,0,0.138657978600405,1.02185712488365
CH71T,0.0481746280923528,0,0.0171692608718833,0.175519727467759,0,0.370545378378279,0,0.0658769342685178,0,0,0,0.0608232404472955,0.010040061919616,0.00630086828546776,0.0848070239696552,0.0713394436221094,0,0,0.0034737589190269,0.0859296737580372,0,0,0,0.123075541507202,1.06692545700451
CH72T,0.00122232606582158,0.0514068760888505,0,0.0635582114249044,0,0.356172703881934,0,0.102655812698075,0,0.00443486618494341,0,0.0270498124250603,0.0368397510163337,0.00167896671749839,0.0727037178910796,0.166295142473032,0,0,0,0.0887118143278717,0.0272699988045953,0,0,0.0204071597604418,1.08765365315786
CH73T,0.0480379697172396,0,0.0401529023630818,0.0507170565694088,0,0.252186945247462,0,0.0314751542386462,0,0.0168170170083092,0,0.0160960757082131,0.0312335672912134,0,0.0521345844237945,0.274690207150942,0.00899581682965318,0,0.095855875569629,0.0594333532082941,0.022173474674113,0,0,0.0281215922715201,1.06698642617183
CH74T,0.0936175700400556,0,0.0827184963312874,0.0379146593073144,0,0.129497835121345,0,0.0692582464158483,0,0.00853945342357004,0,0.0296322297608813,0.00850674672669073,0.0966953830921791,0.0447110415746662,0.265986734346336,0,0,0.0815677290383557,0.0244807123665047,0.0237001680703757,0.00317299438458967,0,0.0327941305725991,1.06247807313445
CH75T,0.0123392562233179,0.0116047735036733,0,0.0791259228769273,0,0.365488806452822,0.00281340147357823,0.0159840763875427,0,0,0,0.00365919289721268,0.00590991308444438,0.107834342733455,0.0591621451087567,0.236441992137123,0,0,0.0996361771211465,0,0,0,0,0.220723843323576,0.998951025617288
CH76T,0.0281436765341529,0,0.0563819604572597,0.0407313114957746,0,0.20753186209557,0,0,0,0,0,0.0326835036970668,0,0,0.0031719926912329,0.24115444411683,0,0.0380253285055429,0.328638916971218,0,0.0207125964540894,0.00282440698126344,0,-0.0090538156178316,1.09667394983327
CH77T,0.110551935982233,0,0.0634686562354896,0,0,0.191845800524275,0,0.0720762837521402,0,0.024646171677007,0,0.0268979816673754,0,0.0141023292766465,0.0314395817293721,0.200422892330479,0,0.019898618424206,0.238672886106859,0,0,0.00597686229391764,0,-0.0271797017461905,1.08527695053036
CH78T,0.100699126033126,0,0.0535869982059429,0.0279292145908257,0,0.260537414208783,0,0,0,0,0,0.00503974465756265,0,0.0665844577660684,0.00862398326603628,0.324094233627989,0.00156050296949564,0,0.144438861929894,0,0.00690546274427596,0,0,0.0476374565899494,1.06169805193982
CH79T,0.0511670873462954,0,0.00353778191744122,0.216248521263723,0,0.413476124179367,6.14935517867505e-05,0.0108601411128386,0,0,0,0.0272948531487932,0.0142037549731418,0.00821162690498579,0.0632796558670899,0.118778998261067,0,0,0.0728799614734704,0,0,0,0,0.280858911477697,0.984694067860389
