Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
GSM617581,0,0,0.0441215811800768,0.0143714201546042,0.0269960761988485,0.00695080148707936,0.0094153617620765,0.0247557753727654,0,0,0.018077609613245,0.00795418651211072,0.048163702621143,0.165850900545647,0.153515050382424,0.347233636673216,0,0.0820693613492789,0,0.0466287516749915,0,0.00389578447249256,0,0.243991739002779,0.966518073332518
GSM617582,0.0325697590104724,0,0.0374252216316459,0.0462631903169429,0.0531588793698457,0.00160319308641117,0,0,0.0147086176464027,0,0.0351211320612043,0,0.00377664670869225,0.176342370924994,0.0852463713295719,0.322620130754638,0,0.099983615595392,0,0.0382102851520128,0,0.0529705864117742,0,0.333961348719917,0.946630708558465
GSM617583,0.0142151809458099,0,0.0313478898667057,0.0355397383011313,0.037275316762713,0.00194051294460326,0,0.0501944679194711,0,0,0.0523484622886584,0,0.00142462426973753,0.18468645592018,0.0810644408818859,0.321459962178827,0,0.0955524636813975,0,0.0429758696145646,0,0.0499746144243153,0,0.525622442557241,0.912846742549817
GSM617584,0,0,0.048644471659388,0.0196206733585839,0.0283447185503908,0.0293675377723949,0.0119086588945681,0.00247109177201479,0,0,0.0053134877321268,0,0.0517935922009647,0.203249532494378,0.119080191160004,0.329637975192633,0,0.118819356854281,0.00230240304708095,0.0274765048719904,0,0.00196980443920194,0,0.491063899760558,0.924351796982104
GSM617585,0,0,0.0912884230506604,0.0266081494192973,0,0.0253146876067456,0.00419978211623563,0.0690446196855984,0.0321295785573949,0,0.00425210966313217,0.000655168158707538,0.0528626140150003,0.0438036011480197,0.0995548189179153,0.377844215400855,0,0.0296171926250187,0,0.101829157491045,0,0.0409958821443743,0,0.218630106110026,0.968458122784336
GSM617586,0,0,0.0453266266664075,0.0279794140610739,0.0106980602693189,0.018063364002478,0,0.0507473042856909,0.013122609560263,0,0.00318303707690198,0,0.0475218978875319,0.107224511127251,0.131674651673642,0.383019608133067,0,0.0754557785339929,0,0.0666356000374096,0,0.0193475366849721,0,0.39145938346988,0.933253699384245
GSM617587,0,0,0.0344721152136122,0.0550410253212235,0.0403273528125199,0,0,0.0116185768540796,0.00880800029750551,0,0.0446974153663485,0.00139540775467762,0.0231853488141369,0.148315460056328,0.0821607758852296,0.364067349033838,0,0.0745382831407717,0,0.0481870221145847,0,0.0631858673351452,0,0.235121302681625,0.967760185956847
GSM617588,0.0865858015887012,0,0.0418275350724664,0.0156191501874318,0.071222511319579,0.00487960551644355,0.0278205615044208,0,0.0235475706735413,0,0.0027463498554936,0,0,0.166281906681519,0.0648529441021339,0.312386165572057,0,0.0946093764486173,0.00279598084828652,0.0343986803438232,0,0.050425860285485,0,0.51354556404567,0.890188395590708
GSM617589,0.380543036512082,0,0.0622169118545696,0,0.0310074385808374,0.0339483101071509,0.0251522039749527,0,0.0457334633442375,0,0,0,0.0364761211645366,0.0960467386182629,0.0838129052035042,0.0863223433988013,0,0.0557755384675471,0,0.0326355081471591,0,0.0303294806263582,0,0.661995514122105,0.74288729419795
GSM617590,0,0,0.0501674184311304,0.0350800996401997,0.0342560181259946,0.0381315152333218,0.0206207873580603,0.0193723764153136,0.00477038247987523,0,0.0008403623238729,0,0.0483899286736372,0.191070772820866,0.103628155548272,0.261986239244453,0,0.100125665831804,0.00899552872985144,0.0493054334626153,0,0.0332593156807331,0,0.400487382250151,0.931682034741863
GSM617591,0,0,0.0736783356228082,0.0301529178969166,0.0109484046294229,0.0185948186283286,0,0.051900746961862,0.016902958499881,0,0.00459766296846932,0,0.0461702594689048,0.103657813406821,0.123537026281826,0.355575774404213,0,0.0749549258212351,8.78394436198087e-05,0.0684979101123139,0,0.0207426058533772,0,0.445127196159599,0.909013072334338
