Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
GSM203261,0.10609299510925,0,0.106795550625679,0.134113268014373,0,0.0158676757279286,0.0515737441404696,0.121912458730251,0.0176065372510523,0,0,0.0142706035030141,0.0061000255719371,0,0.0351088073636849,0.0549328534529577,0.160198813021074,0.0443107374202698,0,0.131115930068059,0,0,0,0.296062182399761,0.962706949425615
GSM203262,0.11226640707338,0,0.0974435127135859,0.136635499134486,0,0.0307095302517907,0.0698139994535886,0.0735532259728218,0.0435042173251934,0,0,0.0014567132811325,0,0,0.0401062502181111,0.051494949024212,0.167677736363559,0,0,0.157142104307898,0,0.0181958548802409,0,0.253485683947481,0.980976400240945
GSM203263,0.0968000798313738,0,0.141354521432195,0.252102236325629,0,0.0812865411796424,0.00092921118539907,0.0539655594524938,0.0415422583808884,0,0.0153348291776269,0,0.00109664408595442,0.00888520993416571,0.049722759473748,0.0621965022184916,0.0803938899046039,0,0,0.106429620191712,0,0.00796013722607563,0,0.505618572717039,0.862407202475068
GSM203264,0.117851117412066,0,0.116195059576011,0.153829605054523,0,0.00655881138555113,0.0544343352843455,0.0808833316833935,0.0686604047692239,0,0,0.0150684849102987,0.0342285872864114,0.106548215383689,0.0362201014468023,0,0.133423802568386,0.00256490166313441,0.0222938550706748,0.0512393865054901,0,0,0,0.267871512483126,0.975622807463199
GSM203265,0.114643538414711,0,0.116443384453161,0.127618059002796,0,0,0.0642759768730952,0.0487848199746311,0.0755274521292104,0,0,0.000371979152084865,0.012702445119082,0.0143643812029022,0.0576321888446006,0.0620616460184701,0.186168567337881,0,0,0.110518778085758,0,0.00888678339161722,0,0.222238253036526,0.994456279463129
GSM203266,0.0780687012424164,0,0.0579860017432784,0.127438255425354,0,0.203661351082872,0.0402234761891131,0.0512453565309683,0.0345587617026743,0,0,0.021107892472724,0.000409046771610357,0,0.0790886051893576,0.103018785973991,0.104543240818733,0.0066267498211028,0,0.075058593362834,0,0.0169651816729703,0,0.410421388798399,0.91094799213608
GSM203267,0.0534436829795715,0,0.0670886298750203,0.106585203243844,0,0.010284937244971,0.0151995342682311,0.113004348917095,0.143060303771834,0.0521830265696476,0,0.0138445496868106,0.0251588529764815,0.0804672441016127,0,0.0450597679723569,0.116703706105124,0.0684696633792378,0.0357191628153732,0.0537273860927883,0,0,0,0.204692509820975,0.999155601690623
GSM203268,0.127115372636761,0,0.0591722673665173,0.0980781467048365,0,0.245285368958666,0.0462740219919754,0.024056028867501,0.00692551603315008,0.0100810800553362,0,0,0,0,0.101658708497326,0.103346936468628,0.106257930999242,0,0.0558857861341813,0.00894091681821465,0,0.00692191846766471,0,0.391227239279784,0.919714200800183
GSM203269,0.0692887743181626,0,0.0828243364226467,0.149880749525494,0,0.138179288027112,0,0.0914469350610873,0.0386315043104184,0,0,0.00265241846907458,0.0246140278175429,0,0.0167102861486677,0.096881350897532,0.118704295653214,0.0516362090850487,0,0.118549824263999,0,0,0,0.315217077415878,0.95335931554841
GSM203270,0.108812246155113,0,0.0816256709358305,0.0810822995312055,0,0.158167003704283,0,0.136759412866803,0.0218050245596982,0,0,0.0278600846912609,0.0129325823219076,0.00222274434158805,0.0351701051526417,0.00728016881322785,0.211792798289485,0.0239236729080507,0.0337803284278705,0.0521909913487248,0,0.0045948659523091,0,0.242785506981073,0.985609252258327
