GSM526134	Prostate tumor PCA0001 exon
GSM526135	Prostate tumor PCA0002 exon
GSM526136	Prostate tumor PCA0003 exon
GSM526137	Prostate tumor PCA0005 exon
GSM526138	Prostate tumor PCA0007 exon
GSM526139	Prostate tumor PCA0008 exon
GSM526140	Prostate tumor PCA0009 exon
GSM526141	Prostate tumor PCA0010 exon
GSM526142	Prostate tumor PCA0011 exon
GSM526143	Prostate tumor PCA0012 exon
GSM526144	Prostate tumor PCA0013 exon
GSM526145	Prostate tumor PCA0014 exon
GSM526146	Prostate tumor PCA0015 exon
GSM526147	Prostate tumor PCA0017 exon
GSM526148	Prostate tumor PCA0018 exon
GSM526149	Prostate tumor PCA0020 exon
GSM526150	Prostate tumor PCA0021 exon
GSM526151	Prostate tumor PCA0022 exon
GSM526152	Prostate tumor PCA0024 exon
GSM526153	Prostate tumor PCA0025 exon
GSM526154	Prostate tumor PCA0026 exon
GSM526155	Prostate tumor PCA0027 exon
GSM526156	Prostate tumor PCA0028 exon
GSM526157	Prostate tumor PCA0029 exon
GSM526158	Prostate tumor PCA0030 exon
GSM526159	Prostate tumor PCA0031 exon
GSM526160	Prostate tumor PCA0032 exon
GSM526161	Prostate tumor PCA0033 exon
GSM526162	Prostate tumor PCA0034 exon
GSM526163	Prostate tumor PCA0035 exon
GSM526164	Prostate tumor PCA0036 exon
GSM526165	Prostate tumor PCA0037 exon
GSM526166	Prostate tumor PCA0038 exon
GSM526167	Prostate tumor PCA0040 exon
GSM526168	Prostate tumor PCA0050 exon
GSM526169	Prostate tumor PCA0052 exon
GSM526170	Prostate tumor PCA0054 exon
GSM526171	Prostate tumor PCA0056 exon
GSM526172	Prostate tumor PCA0057 exon
GSM526173	Prostate tumor PCA0058 exon
GSM526174	Prostate tumor PCA0062 exon
GSM526175	Prostate tumor PCA0063 exon
GSM526176	Prostate tumor PCA0064 exon
GSM526177	Prostate tumor PCA0065 exon
GSM526178	Prostate tumor PCA0066 exon
GSM526179	Prostate tumor PCA0068 exon
GSM526180	Prostate tumor PCA0073 exon
GSM526181	Prostate tumor PCA0074 exon
GSM526182	Prostate tumor PCA0075 exon
GSM526183	Prostate tumor PCA0077 exon
GSM526184	Prostate tumor PCA0080 exon
GSM526185	Prostate tumor PCA0081 exon
GSM526186	Prostate tumor PCA0082 exon
GSM526187	Prostate tumor PCA0083 exon
GSM526188	Prostate tumor PCA0084 exon
GSM526189	Prostate tumor PCA0086 exon
