col.name,var.class,uniqueness,requiredness,allowedvalues,description,,
study_name,character,non-unique,required,*,the study name that will link this information to the study meta-data,,
patient_id,character,non-unique,required,*,a unique identifier for the patient. A single patient may have more than one sample taken,,
sample_name,character,unique,required,*,primary sample identifier,,
alt_sample_name,character,unique,optional,*,"if another identifier is used, for example in supplemental tables or GEO accession ids.",,
overall_survival_status,integer,non-unique,optional,1|0,"binarized status of the patient, where 1 represents death and 0 represents no reported death",,
days_to_overall_survival,numeric,non-unique,optional,[1-10000],time to death or last follow-up in days,,
age_at_initial_diagnosis,integer,non-unique,optional,[1-9][0-9],in years,,
year_diagnosis,integer,non-unique,optional,[1900-2010],the year at which the patient was diagnoses with disease,,
gleason_grade,integer,non-unique,optional,2|3|4|5|6|7|8|9|10,Gleason grade  (integer): total of two grades added together,,
gleason_major,integer,non-unique,optional,2|3|4|5,Gleason grade  (integer) for the major site score,,
gleason_minor,integer,non-unique,optional,2|3|4|5,Gleason grade  (integer) for the minor site score,,
source_of_gleason,character,non-unique,optional,biopsy|prostatectomy|tissue_block,source of where the pathogist performed Gleason grading,,
grade_group,character,non-unique,optional,<=6|3+4|4+3|>=8,separation of the gleason grades into groups that show different prognosis,,
T_pathological,integer,non-unique,optional,1|2|3|4,"pathological T stage (assessment made after surgery), based on tumor only ",,
T_substage_pathological,character,non-unique,optional,a|b|c,"pathological T substage (assessment made after surgery), based on tumor only ",,
T_clinical,integer,non-unique,optional,1|2|3|4,clinical T stage (at time of diagnosis) based on tumor only,,
T_substage_clinical,character,non-unique,optional,a|b|c,clinical T substage  (at time of diagnosis) based on tumor only,,
ERG_fusion_CNA,integer,non-unique,optional,1|0,presence of TMPRSS2:ERG gene fusion in prostate tumor as determined by copy number alteration analysis,,
ERG_fusion_IHC,integer,non-unique,optional,1|0,presence of TMPRSS2:ERG gene fusion in prostate tumor as determined by immunohistochemistry,,
ERG_fusion_GEX,integer,non-unique,optional,1|0,presence of TMPRSS2:ERG gene fusion in prostate tumor as determined by gene expression,,
disease_specific_recurrence_status,integer,non-unique,optional,1|0,"binarized status of the patient, where 1 represents a recurrence and 0 represents no reported recurrence",,
days_to_disease_specific_recurrence,numeric,non-unique,optional,[1-10000],time to recurrence or last follow-up in days,,
metastasis_occurrence_status,integer,non-unique,optional,1|0,"binarized status of the patient, where 1 represents a metastatic occurrence and 0 represents no reported metastatic occurrence",,
days_to_metastatic_occurrence,numeric,non-unique,optional,[1-10000],time to metastatic occurrence or last follow-up in days,,
psa,numeric,non-unique,optional,[1-10000],prostate specific antigen level at diagnosis,,
race,character,non-unique,optional,caucasian|african_american|asian|other,race,,
smoking_status,integer,non-unique,optional,1|0,smoker (past or current) or non-smoker ,,
extraprostatic_extension,integer,non-unique,optional,1|0,"spread of prostate cancer out of the prostate gland.  Denotes a later stage of prostate cancer (NOTE: We do not currently distinguish between focal, established and multifocal, which are all currently translated into this template as y).",,
perineural_invasion,integer,non-unique,optional,1|0,cancer spreading to the space surrounding a nerve,,
seminal_vesicle_invasion,integer,non-unique,optional,1|0,cancer has spread to the seminal vesicles,,
angiolymphatic_invasion,integer,non-unique,optional,1|0,cancer has spread to blood vessels and lymph vessels,,
androgen_ablation,integer,non-unique,optional,1|0,medical treatment to suppress or block the production of male sex hormones,,
capsule,character,non-unique,optional,extensive|focal|intact,status of the prostate capsule (??),,
