"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","treatment_protocol_ch1","growth_protocol_ch1","molecule_ch1","extract_protocol_ch1","label_ch1","label_protocol_ch1","taxid_ch1","source_name_ch2","organism_ch2","characteristics_ch2","treatment_protocol_ch2","growth_protocol_ch2","molecule_ch2","extract_protocol_ch2","label_ch2","label_protocol_ch2","taxid_ch2","hyb_protocol","scan_protocol","description","description.1","data_processing","platform_id","contact_name","contact_email","contact_department","contact_institute","contact_address","contact_city","contact_state","contact_zip/postal_code","contact_country","supplementary_file","data_row_count"
"GSM211188","Metastatic Prostate Cancer  1","GSM211188","Public on Mar 30 2011","Jul 18 2007","Mar 30 2011","RNA","2","Benign prostate pool","Homo sapiens","Clontech, Mountain View, CA, catalog 636550",NA,NA,"total RNA","Total RNA was isolated with Trizol (Invitrogen Cat. No. 15596-026, Carlsbad, CA), according to the manufacturer's instructions. Total RNA was further purified using the Qiagen RNAeasy Mini Kit (Cat. No. 74104) according to the manufacturer's instructions.","cy3","One ug of total RNA was reverse transcripted to cDNA using T7 Promoter Primer and MMLV-RT. Then the cDNA was converted to aRNA using T7 RNA polymerase, which simultaneously amplifies target material and incorporates cyanine 3- or cyanine 5-labeled CTP (Two-Color Microarray-Based Gene Expression Analysis Protocol, Agilent).","9606","Metastatic Prostate Cancer  1","Homo sapiens","Metastatic tissue from soft tissue, collected by warm autopsy",NA,NA,"total RNA","Total RNA was isolated with Trizol (Invitrogen Cat. No. 15596-026, Carlsbad, CA), according to the manufacturer's instructions. Total RNA was further purified using the Qiagen RNAeasy Mini Kit (Cat. No. 74104) according to the manufacturer's instructions.","cy5","One ug of total RNA was reverse transcripted to cDNA using T7 Promoter Primer and MMLV-RT. Then the cDNA was converted to aRNA using T7 RNA polymerase, which simultaneously amplifies target material and incorporates cyanine 3- or cyanine 5-labeled CTP (Two-Color Microarray-Based Gene Expression Analysis Protocol, Agilent).","9606","825ng of Cy3 and Cy5 labelled aRNA were hybridized competitively for 17 hrs in a 65 C hybridization oven (G2545A, Agilent) set to 10 rpm in a final concentration of 1X GEx Hybridization Buffer HI-RPM, according to the manufacturer's recommnded protocol (Two-Color Microarray-Based Gene Expression Analysis, Agilent). Arrays were washed according to the manufacturer's recommended protocol including the Stabilization and Drying Solution step (Two-Color Microarray-Based Gene Expression Analysis, Agilent).","Arrays were scanned at 5um resolution on an Agilent DNA Microarray Scanner (G2505B, Agilent) using the default settings for 1x44k format two-color arrays.","Metastatic tissue from soft tissue, collected by warm autopsy","","Images were auto gridded, analyzed and data extracted using Agilent Feature Extraction Software (Version 9.1.3.1). Spot values were normalized using the default linear-lowess normalization. Samples M5a and M5b were isolated from the same patient and normalized values were averaged before data analysis.","GPL1708","Laila,M,Poisson","lpoisso1@hfhs.org","Biostatistics and Research Epidemiology","Henry Ford Health Systems","1 Ford Place","Detroit","MI","48202","USA","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM211nnn/GSM211188/GSM211188.txt.gz","43931"
"GSM211189","Metastatic Prostate Cancer  2","GSM211189","Public on Mar 30 2011","Jul 18 2007","Mar 30 2011","RNA","2","Benign prostate pool","Homo sapiens","Clontech, Mountain View, CA, catalog 636550",NA,NA,"total RNA","Total RNA was isolated with Trizol (Invitrogen Cat. No. 15596-026, Carlsbad, CA), according to the manufacturer's instructions. Total RNA was further purified using the Qiagen RNAeasy Mini Kit (Cat. No. 74104) according to the manufacturer's instructions.","cy3","One ug of total RNA was reverse transcripted to cDNA using T7 Promoter Primer and MMLV-RT. Then the cDNA was converted to aRNA using T7 RNA polymerase, which simultaneously amplifies target material and incorporates cyanine 3- or cyanine 5-labeled CTP (Two-Color Microarray-Based Gene Expression Analysis Protocol, Agilent).","9606","Metastatic Prostate Cancer  2","Homo sapiens","Metastatic tissue from the liver, collected by warm autopsy",NA,NA,"total RNA","Total RNA was isolated with Trizol (Invitrogen Cat. No. 15596-026, Carlsbad, CA), according to the manufacturer's instructions. Total RNA was further purified using the Qiagen RNAeasy Mini Kit (Cat. No. 74104) according to the manufacturer's instructions.","cy5","One ug of total RNA was reverse transcripted to cDNA using T7 Promoter Primer and MMLV-RT. Then the cDNA was converted to aRNA using T7 RNA polymerase, which simultaneously amplifies target material and incorporates cyanine 3- or cyanine 5-labeled CTP (Two-Color Microarray-Based Gene Expression Analysis Protocol, Agilent).","9606","825ng of Cy3 and Cy5 labelled aRNA were hybridized competitively for 17 hrs in a 65 C hybridization oven (G2545A, Agilent) set to 10 rpm in a final concentration of 1X GEx Hybridization Buffer HI-RPM, according to the manufacturer's recommnded protocol (Two-Color Microarray-Based Gene Expression Analysis, Agilent). Arrays were washed according to the manufacturer's recommended protocol including the Stabilization and Drying Solution step (Two-Color Microarray-Based Gene Expression Analysis, Agilent).","Arrays were scanned at 5um resolution on an Agilent DNA Microarray Scanner (G2505B, Agilent) using the default settings for 1x44k format two-color arrays.","Metastatic tissue from the liver, collected by warm autopsy","","Images were auto gridded, analyzed and data extracted using Agilent Feature Extraction Software (Version 9.1.3.1). Spot values were normalized using the default linear-lowess normalization. Samples M5a and M5b were isolated from the same patient and normalized values were averaged before data analysis.","GPL1708","Laila,M,Poisson","lpoisso1@hfhs.org","Biostatistics and Research Epidemiology","Henry Ford Health Systems","1 Ford Place","Detroit","MI","48202","USA","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM211nnn/GSM211189/GSM211189.txt.gz","43931"
"GSM211190","Metastatic Prostate Cancer  3","GSM211190","Public on Mar 30 2011","Jul 18 2007","Mar 30 2011","RNA","2","Benign prostate pool","Homo sapiens","Clontech, Mountain View, CA, catalog 636550",NA,NA,"total RNA","Total RNA was isolated with Trizol (Invitrogen Cat. No. 15596-026, Carlsbad, CA), according to the manufacturer's instructions. Total RNA was further purified using the Qiagen RNAeasy Mini Kit (Cat. No. 74104) according to the manufacturer's instructions.","cy3","One ug of total RNA was reverse transcripted to cDNA using T7 Promoter Primer and MMLV-RT. Then the cDNA was converted to aRNA using T7 RNA polymerase, which simultaneously amplifies target material and incorporates cyanine 3- or cyanine 5-labeled CTP (Two-Color Microarray-Based Gene Expression Analysis Protocol, Agilent).","9606","Metastatic Prostate Cancer  3","Homo sapiens","Metastatic tissue from rib, collected by warm autopsy",NA,NA,"total RNA","Total RNA was isolated with Trizol (Invitrogen Cat. No. 15596-026, Carlsbad, CA), according to the manufacturer's instructions. Total RNA was further purified using the Qiagen RNAeasy Mini Kit (Cat. No. 74104) according to the manufacturer's instructions.","cy5","One ug of total RNA was reverse transcripted to cDNA using T7 Promoter Primer and MMLV-RT. Then the cDNA was converted to aRNA using T7 RNA polymerase, which simultaneously amplifies target material and incorporates cyanine 3- or cyanine 5-labeled CTP (Two-Color Microarray-Based Gene Expression Analysis Protocol, Agilent).","9606","825ng of Cy3 and Cy5 labelled aRNA were hybridized competitively for 17 hrs in a 65 C hybridization oven (G2545A, Agilent) set to 10 rpm in a final concentration of 1X GEx Hybridization Buffer HI-RPM, according to the manufacturer's recommnded protocol (Two-Color Microarray-Based Gene Expression Analysis, Agilent). Arrays were washed according to the manufacturer's recommended protocol including the Stabilization and Drying Solution step (Two-Color Microarray-Based Gene Expression Analysis, Agilent).","Arrays were scanned at 5um resolution on an Agilent DNA Microarray Scanner (G2505B, Agilent) using the default settings for 1x44k format two-color arrays.","Metastatic tissue from rib, collected by warm autopsy","","Images were auto gridded, analyzed and data extracted using Agilent Feature Extraction Software (Version 9.1.3.1). Spot values were normalized using the default linear-lowess normalization. Samples M5a and M5b were isolated from the same patient and normalized values were averaged before data analysis.","GPL1708","Laila,M,Poisson","lpoisso1@hfhs.org","Biostatistics and Research Epidemiology","Henry Ford Health Systems","1 Ford Place","Detroit","MI","48202","USA","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM211nnn/GSM211190/GSM211190.txt.gz","43931"
"GSM211191","Metastatic Prostate Cancer  4","GSM211191","Public on Mar 30 2011","Jul 18 2007","Mar 30 2011","RNA","2","Benign prostate pool","Homo sapiens","Clontech, Mountain View, CA, catalog 636550",NA,NA,"total RNA","Total RNA was isolated with Trizol (Invitrogen Cat. No. 15596-026, Carlsbad, CA), according to the manufacturer's instructions. Total RNA was further purified using the Qiagen RNAeasy Mini Kit (Cat. No. 74104) according to the manufacturer's instructions.","cy3","One ug of total RNA was reverse transcripted to cDNA using T7 Promoter Primer and MMLV-RT. Then the cDNA was converted to aRNA using T7 RNA polymerase, which simultaneously amplifies target material and incorporates cyanine 3- or cyanine 5-labeled CTP (Two-Color Microarray-Based Gene Expression Analysis Protocol, Agilent).","9606","Metastatic Prostate Cancer  4","Homo sapiens","Metastatic tissue from soft tissue, collected by warm autopsy",NA,NA,"total RNA","Total RNA was isolated with Trizol (Invitrogen Cat. No. 15596-026, Carlsbad, CA), according to the manufacturer's instructions. Total RNA was further purified using the Qiagen RNAeasy Mini Kit (Cat. No. 74104) according to the manufacturer's instructions.","cy5","One ug of total RNA was reverse transcripted to cDNA using T7 Promoter Primer and MMLV-RT. Then the cDNA was converted to aRNA using T7 RNA polymerase, which simultaneously amplifies target material and incorporates cyanine 3- or cyanine 5-labeled CTP (Two-Color Microarray-Based Gene Expression Analysis Protocol, Agilent).","9606","825ng of Cy3 and Cy5 labelled aRNA were hybridized competitively for 17 hrs in a 65 C hybridization oven (G2545A, Agilent) set to 10 rpm in a final concentration of 1X GEx Hybridization Buffer HI-RPM, according to the manufacturer's recommnded protocol (Two-Color Microarray-Based Gene Expression Analysis, Agilent). Arrays were washed according to the manufacturer's recommended protocol including the Stabilization and Drying Solution step (Two-Color Microarray-Based Gene Expression Analysis, Agilent).","Arrays were scanned at 5um resolution on an Agilent DNA Microarray Scanner (G2505B, Agilent) using the default settings for 1x44k format two-color arrays.","Metastatic tissue from soft tissue, collected by warm autopsy","","Images were auto gridded, analyzed and data extracted using Agilent Feature Extraction Software (Version 9.1.3.1). Spot values were normalized using the default linear-lowess normalization. Samples M5a and M5b were isolated from the same patient and normalized values were averaged before data analysis.","GPL1708","Laila,M,Poisson","lpoisso1@hfhs.org","Biostatistics and Research Epidemiology","Henry Ford Health Systems","1 Ford Place","Detroit","MI","48202","USA","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM211nnn/GSM211191/GSM211191.txt.gz","43931"
"GSM211192","Metastatic Prostate Cancer  5a","GSM211192","Public on Mar 30 2011","Jul 18 2007","Mar 30 2011","RNA","2","Benign prostate pool","Homo sapiens","Clontech, Mountain View, CA, catalog 636550",NA,NA,"total RNA","Total RNA was isolated with Trizol (Invitrogen Cat. No. 15596-026, Carlsbad, CA), according to the manufacturer's instructions. Total RNA was further purified using the Qiagen RNAeasy Mini Kit (Cat. No. 74104) according to the manufacturer's instructions.","cy3","One ug of total RNA was reverse transcripted to cDNA using T7 Promoter Primer and MMLV-RT. Then the cDNA was converted to aRNA using T7 RNA polymerase, which simultaneously amplifies target material and incorporates cyanine 3- or cyanine 5-labeled CTP (Two-Color Microarray-Based Gene Expression Analysis Protocol, Agilent).","9606","Metastatic Prostate Cancer  5a","Homo sapiens","Metastatic tissue from the diaphragm, collected by warm autopsy",NA,NA,"total RNA","Total RNA was isolated with Trizol (Invitrogen Cat. No. 15596-026, Carlsbad, CA), according to the manufacturer's instructions. Total RNA was further purified using the Qiagen RNAeasy Mini Kit (Cat. No. 74104) according to the manufacturer's instructions.","cy5","One ug of total RNA was reverse transcripted to cDNA using T7 Promoter Primer and MMLV-RT. Then the cDNA was converted to aRNA using T7 RNA polymerase, which simultaneously amplifies target material and incorporates cyanine 3- or cyanine 5-labeled CTP (Two-Color Microarray-Based Gene Expression Analysis Protocol, Agilent).","9606","825ng of Cy3 and Cy5 labelled aRNA were hybridized competitively for 17 hrs in a 65 C hybridization oven (G2545A, Agilent) set to 10 rpm in a final concentration of 1X GEx Hybridization Buffer HI-RPM, according to the manufacturer's recommnded protocol (Two-Color Microarray-Based Gene Expression Analysis, Agilent). Arrays were washed according to the manufacturer's recommended protocol including the Stabilization and Drying Solution step (Two-Color Microarray-Based Gene Expression Analysis, Agilent).","Arrays were scanned at 5um resolution on an Agilent DNA Microarray Scanner (G2505B, Agilent) using the default settings for 1x44k format two-color arrays.","Metastatic tissue from the diaphragm, collected by warm autopsy","isolated from the same patient as M5b","Images were auto gridded, analyzed and data extracted using Agilent Feature Extraction Software (Version 9.1.3.1). Spot values were normalized using the default linear-lowess normalization. Samples M5a and M5b were isolated from the same patient and normalized values were averaged before data analysis.","GPL1708","Laila,M,Poisson","lpoisso1@hfhs.org","Biostatistics and Research Epidemiology","Henry Ford Health Systems","1 Ford Place","Detroit","MI","48202","USA","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM211nnn/GSM211192/GSM211192.txt.gz","43931"
"GSM211193","Metastatic Prostate Cancer  5b","GSM211193","Public on Mar 30 2011","Jul 18 2007","Mar 30 2011","RNA","2","Benign prostate pool","Homo sapiens","Clontech, Mountain View, CA, catalog 636550",NA,NA,"total RNA","Total RNA was isolated with Trizol (Invitrogen Cat. No. 15596-026, Carlsbad, CA), according to the manufacturer's instructions. Total RNA was further purified using the Qiagen RNAeasy Mini Kit (Cat. No. 74104) according to the manufacturer's instructions.","cy3","One ug of total RNA was reverse transcripted to cDNA using T7 Promoter Primer and MMLV-RT. Then the cDNA was converted to aRNA using T7 RNA polymerase, which simultaneously amplifies target material and incorporates cyanine 3- or cyanine 5-labeled CTP (Two-Color Microarray-Based Gene Expression Analysis Protocol, Agilent).","9606","Metastatic Prostate Cancer  5b","Homo sapiens","Metastatic tissue collected by warm autopsy",NA,NA,"total RNA","Total RNA was isolated with Trizol (Invitrogen Cat. No. 15596-026, Carlsbad, CA), according to the manufacturer's instructions. Total RNA was further purified using the Qiagen RNAeasy Mini Kit (Cat. No. 74104) according to the manufacturer's instructions.","cy5","One ug of total RNA was reverse transcripted to cDNA using T7 Promoter Primer and MMLV-RT. Then the cDNA was converted to aRNA using T7 RNA polymerase, which simultaneously amplifies target material and incorporates cyanine 3- or cyanine 5-labeled CTP (Two-Color Microarray-Based Gene Expression Analysis Protocol, Agilent).","9606","825ng of Cy3 and Cy5 labelled aRNA were hybridized competitively for 17 hrs in a 65 C hybridization oven (G2545A, Agilent) set to 10 rpm in a final concentration of 1X GEx Hybridization Buffer HI-RPM, according to the manufacturer's recommnded protocol (Two-Color Microarray-Based Gene Expression Analysis, Agilent). Arrays were washed according to the manufacturer's recommended protocol including the Stabilization and Drying Solution step (Two-Color Microarray-Based Gene Expression Analysis, Agilent).","Arrays were scanned at 5um resolution on an Agilent DNA Microarray Scanner (G2505B, Agilent) using the default settings for 1x44k format two-color arrays.","Metastatic tissue collected by warm autopsy","isolated from the same patient as M5a","Images were auto gridded, analyzed and data extracted using Agilent Feature Extraction Software (Version 9.1.3.1). Spot values were normalized using the default linear-lowess normalization. Samples M5a and M5b were isolated from the same patient and normalized values were averaged before data analysis.","GPL1708","Laila,M,Poisson","lpoisso1@hfhs.org","Biostatistics and Research Epidemiology","Henry Ford Health Systems","1 Ford Place","Detroit","MI","48202","USA","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM211nnn/GSM211193/GSM211193.txt.gz","43931"
"GSM211194","Metastatic Prostate Cancer  6","GSM211194","Public on Mar 30 2011","Jul 18 2007","Mar 30 2011","RNA","2","Benign prostate pool","Homo sapiens","Clontech, Mountain View, CA, catalog 636550",NA,NA,"total RNA","Total RNA was isolated with Trizol (Invitrogen Cat. No. 15596-026, Carlsbad, CA), according to the manufacturer's instructions. Total RNA was further purified using the Qiagen RNAeasy Mini Kit (Cat. No. 74104) according to the manufacturer's instructions.","cy3","One ug of total RNA was reverse transcripted to cDNA using T7 Promoter Primer and MMLV-RT. Then the cDNA was converted to aRNA using T7 RNA polymerase, which simultaneously amplifies target material and incorporates cyanine 3- or cyanine 5-labeled CTP (Two-Color Microarray-Based Gene Expression Analysis Protocol, Agilent).","9606","Metastatic Prostate Cancer  6","Homo sapiens","Metastatic tissue from the liver, collected by warm autopsy",NA,NA,"total RNA","Total RNA was isolated with Trizol (Invitrogen Cat. No. 15596-026, Carlsbad, CA), according to the manufacturer's instructions. Total RNA was further purified using the Qiagen RNAeasy Mini Kit (Cat. No. 74104) according to the manufacturer's instructions.","cy5","One ug of total RNA was reverse transcripted to cDNA using T7 Promoter Primer and MMLV-RT. Then the cDNA was converted to aRNA using T7 RNA polymerase, which simultaneously amplifies target material and incorporates cyanine 3- or cyanine 5-labeled CTP (Two-Color Microarray-Based Gene Expression Analysis Protocol, Agilent).","9606","825ng of Cy3 and Cy5 labelled aRNA were hybridized competitively for 17 hrs in a 65 C hybridization oven (G2545A, Agilent) set to 10 rpm in a final concentration of 1X GEx Hybridization Buffer HI-RPM, according to the manufacturer's recommnded protocol (Two-Color Microarray-Based Gene Expression Analysis, Agilent). Arrays were washed according to the manufacturer's recommended protocol including the Stabilization and Drying Solution step (Two-Color Microarray-Based Gene Expression Analysis, Agilent).","Arrays were scanned at 5um resolution on an Agilent DNA Microarray Scanner (G2505B, Agilent) using the default settings for 1x44k format two-color arrays.","Metastatic tissue from the liver, collected by warm autopsy","","Images were auto gridded, analyzed and data extracted using Agilent Feature Extraction Software (Version 9.1.3.1). Spot values were normalized using the default linear-lowess normalization. Samples M5a and M5b were isolated from the same patient and normalized values were averaged before data analysis.","GPL1708","Laila,M,Poisson","lpoisso1@hfhs.org","Biostatistics and Research Epidemiology","Henry Ford Health Systems","1 Ford Place","Detroit","MI","48202","USA","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM211nnn/GSM211194/GSM211194.txt.gz","43931"
"GSM211195","Metastatic Prostate Cancer  7","GSM211195","Public on Mar 30 2011","Jul 18 2007","Mar 30 2011","RNA","2","Benign prostate pool","Homo sapiens","Clontech, Mountain View, CA, catalog 636550",NA,NA,"total RNA","Total RNA was isolated with Trizol (Invitrogen Cat. No. 15596-026, Carlsbad, CA), according to the manufacturer's instructions. Total RNA was further purified using the Qiagen RNAeasy Mini Kit (Cat. No. 74104) according to the manufacturer's instructions.","cy3","One ug of total RNA was reverse transcripted to cDNA using T7 Promoter Primer and MMLV-RT. Then the cDNA was converted to aRNA using T7 RNA polymerase, which simultaneously amplifies target material and incorporates cyanine 3- or cyanine 5-labeled CTP (Two-Color Microarray-Based Gene Expression Analysis Protocol, Agilent).","9606","Metastatic Prostate Cancer  7","Homo sapiens","Metastatic tissue from soft tissue, collected by warm autopsy",NA,NA,"total RNA","Total RNA was isolated with Trizol (Invitrogen Cat. No. 15596-026, Carlsbad, CA), according to the manufacturer's instructions. Total RNA was further purified using the Qiagen RNAeasy Mini Kit (Cat. No. 74104) according to the manufacturer's instructions.","cy5","One ug of total RNA was reverse transcripted to cDNA using T7 Promoter Primer and MMLV-RT. Then the cDNA was converted to aRNA using T7 RNA polymerase, which simultaneously amplifies target material and incorporates cyanine 3- or cyanine 5-labeled CTP (Two-Color Microarray-Based Gene Expression Analysis Protocol, Agilent).","9606","825ng of Cy3 and Cy5 labelled aRNA were hybridized competitively for 17 hrs in a 65 C hybridization oven (G2545A, Agilent) set to 10 rpm in a final concentration of 1X GEx Hybridization Buffer HI-RPM, according to the manufacturer's recommnded protocol (Two-Color Microarray-Based Gene Expression Analysis, Agilent). Arrays were washed according to the manufacturer's recommended protocol including the Stabilization and Drying Solution step (Two-Color Microarray-Based Gene Expression Analysis, Agilent).","Arrays were scanned at 5um resolution on an Agilent DNA Microarray Scanner (G2505B, Agilent) using the default settings for 1x44k format two-color arrays.","Metastatic tissue from soft tissue, collected by warm autopsy","","Images were auto gridded, analyzed and data extracted using Agilent Feature Extraction Software (Version 9.1.3.1). Spot values were normalized using the default linear-lowess normalization. Samples M5a and M5b were isolated from the same patient and normalized values were averaged before data analysis.","GPL1708","Laila,M,Poisson","lpoisso1@hfhs.org","Biostatistics and Research Epidemiology","Henry Ford Health Systems","1 Ford Place","Detroit","MI","48202","USA","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM211nnn/GSM211195/GSM211195.txt.gz","43931"
"GSM211196","Metastatic Prostate Cancer  8","GSM211196","Public on Mar 30 2011","Jul 18 2007","Mar 30 2011","RNA","2","Benign prostate pool","Homo sapiens","Clontech, Mountain View, CA, catalog 636550",NA,NA,"total RNA","Total RNA was isolated with Trizol (Invitrogen Cat. No. 15596-026, Carlsbad, CA), according to the manufacturer's instructions. Total RNA was further purified using the Qiagen RNAeasy Mini Kit (Cat. No. 74104) according to the manufacturer's instructions.","cy3","One ug of total RNA was reverse transcripted to cDNA using T7 Promoter Primer and MMLV-RT. Then the cDNA was converted to aRNA using T7 RNA polymerase, which simultaneously amplifies target material and incorporates cyanine 3- or cyanine 5-labeled CTP (Two-Color Microarray-Based Gene Expression Analysis Protocol, Agilent).","9606","Metastatic Prostate Cancer  8","Homo sapiens","Metatstatic tissue from the liver, collected by warm autopsy",NA,NA,"total RNA","Total RNA was isolated with Trizol (Invitrogen Cat. No. 15596-026, Carlsbad, CA), according to the manufacturer's instructions. Total RNA was further purified using the Qiagen RNAeasy Mini Kit (Cat. No. 74104) according to the manufacturer's instructions.","cy5","One ug of total RNA was reverse transcripted to cDNA using T7 Promoter Primer and MMLV-RT. Then the cDNA was converted to aRNA using T7 RNA polymerase, which simultaneously amplifies target material and incorporates cyanine 3- or cyanine 5-labeled CTP (Two-Color Microarray-Based Gene Expression Analysis Protocol, Agilent).","9606","825ng of Cy3 and Cy5 labelled aRNA were hybridized competitively for 17 hrs in a 65 C hybridization oven (G2545A, Agilent) set to 10 rpm in a final concentration of 1X GEx Hybridization Buffer HI-RPM, according to the manufacturer's recommnded protocol (Two-Color Microarray-Based Gene Expression Analysis, Agilent). Arrays were washed according to the manufacturer's recommended protocol including the Stabilization and Drying Solution step (Two-Color Microarray-Based Gene Expression Analysis, Agilent).","Arrays were scanned at 5um resolution on an Agilent DNA Microarray Scanner (G2505B, Agilent) using the default settings for 1x44k format two-color arrays.","Metatstatic tissue from the liver, collected by warm autopsy","","Images were auto gridded, analyzed and data extracted using Agilent Feature Extraction Software (Version 9.1.3.1). Spot values were normalized using the default linear-lowess normalization. Samples M5a and M5b were isolated from the same patient and normalized values were averaged before data analysis.","GPL1708","Laila,M,Poisson","lpoisso1@hfhs.org","Biostatistics and Research Epidemiology","Henry Ford Health Systems","1 Ford Place","Detroit","MI","48202","USA","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM211nnn/GSM211196/GSM211196.txt.gz","43931"
"GSM211197","Metastatic Prostate Cancer  9","GSM211197","Public on Mar 30 2011","Jul 18 2007","Mar 30 2011","RNA","2","Benign prostate pool","Homo sapiens","Clontech, Mountain View, CA, catalog 636550",NA,NA,"total RNA","Total RNA was isolated with Trizol (Invitrogen Cat. No. 15596-026, Carlsbad, CA), according to the manufacturer's instructions. Total RNA was further purified using the Qiagen RNAeasy Mini Kit (Cat. No. 74104) according to the manufacturer's instructions.","cy3","One ug of total RNA was reverse transcripted to cDNA using T7 Promoter Primer and MMLV-RT. Then the cDNA was converted to aRNA using T7 RNA polymerase, which simultaneously amplifies target material and incorporates cyanine 3- or cyanine 5-labeled CTP (Two-Color Microarray-Based Gene Expression Analysis Protocol, Agilent).","9606","Metastatic Prostate Cancer  9","Homo sapiens","Metatstatic tissue from the liver, collected by warm autopsy",NA,NA,"total RNA","Total RNA was isolated with Trizol (Invitrogen Cat. No. 15596-026, Carlsbad, CA), according to the manufacturer's instructions. Total RNA was further purified using the Qiagen RNAeasy Mini Kit (Cat. No. 74104) according to the manufacturer's instructions.","cy5","One ug of total RNA was reverse transcripted to cDNA using T7 Promoter Primer and MMLV-RT. Then the cDNA was converted to aRNA using T7 RNA polymerase, which simultaneously amplifies target material and incorporates cyanine 3- or cyanine 5-labeled CTP (Two-Color Microarray-Based Gene Expression Analysis Protocol, Agilent).","9606","825ng of Cy3 and Cy5 labelled aRNA were hybridized competitively for 17 hrs in a 65 C hybridization oven (G2545A, Agilent) set to 10 rpm in a final concentration of 1X GEx Hybridization Buffer HI-RPM, according to the manufacturer's recommnded protocol (Two-Color Microarray-Based Gene Expression Analysis, Agilent). Arrays were washed according to the manufacturer's recommended protocol including the Stabilization and Drying Solution step (Two-Color Microarray-Based Gene Expression Analysis, Agilent).","Arrays were scanned at 5um resolution on an Agilent DNA Microarray Scanner (G2505B, Agilent) using the default settings for 1x44k format two-color arrays.","Metatstatic tissue from the liver, collected by warm autopsy","","Images were auto gridded, analyzed and data extracted using Agilent Feature Extraction Software (Version 9.1.3.1). Spot values were normalized using the default linear-lowess normalization. Samples M5a and M5b were isolated from the same patient and normalized values were averaged before data analysis.","GPL1708","Laila,M,Poisson","lpoisso1@hfhs.org","Biostatistics and Research Epidemiology","Henry Ford Health Systems","1 Ford Place","Detroit","MI","48202","USA","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM211nnn/GSM211197/GSM211197.txt.gz","43931"
