accession,pubMedIds,platform_title,citation,name,platform_summary,platform_manufacturer,platform_distribution,platform_accession,technology_type,year,title
GSE6752,17430594,GE Healthcare/Amersham Biosciences CodeLink UniSet Human 20K I Bioarray,"Chandran UR, Ma C, Dhir R, Bisceglia M et al. Gene expression profiles of prostate cancer reveal involvement of multiple molecular pathways in the metastatic process. BMC Cancer 2007 Apr 12;7:64.","Chandran, Monzon 2007",,GE Healthcare,commercial,GPL2891,spotted oligonucleotide,2007,Gene expression profiles of prostate cancer reveal involvement of multiple molecular pathways in the metastatic process.
GSE18655,20068566,DASL Human Cancer Panel by Gene,"Barwick BG, Abramovitz M, Kodani M, Moreno CS et al. Prostate cancer genes associated with TMPRSS2-ERG gene fusion and prognostic of biochemical recurrence in multiple cohorts. Br J Cancer 2010 Feb 2;102(3):570-6. ","Barwick, Abramovitz 2010",,Illumina,commercial,GPL5858,oligonucleotide beads,2010,Prostate cancer genes associated with TMPRSS2-ERG gene fusion and prognostic of biochemical recurrence in multiple cohorts.
GSE2443,16203770,HG-U133A,"Best CJ, Gillespie JW, Yi Y, Chandramouli GV et al. Molecular alterations in primary prostate cancer after androgen ablation therapy. Clin Cancer Res 2005 Oct 1;11(19 Pt 1):6823-34."," Best, Chuaqui 2005",,Affymetrix ,commercial,GPL96,in situ oligonucleotide,2005,Molecular alterations in primary prostate cancer after androgen ablation therapy.
GSE3933-GPL2695,14711987,SHBB,"Lapointe J, Li C, Higgins JP, van de Rijn M et al. Gene expression profiling identifies clinically relevant subtypes of prostate cancer. Proc Natl Acad Sci U S A 2004 Jan 20;101(3):811-6.","Lapointe, Pollack  2004",,"Stanford Functional Genomics Facility, Stanford School of Medicine",non-commercial,GPL2695,spotted DNA/cDNA,2004,Gene expression profiling identifies clinically relevant subtypes of prostate cancer.
GSE3933-GPL3044,14711987,SHCQ,"Lapointe J, Li C, Higgins JP, van de Rijn M et al. Gene expression profiling identifies clinically relevant subtypes of prostate cancer. Proc Natl Acad Sci U S A 2004 Jan 20;101(3):811-6.","Lapointe, Pollack  2004",,"Stanford Functional Genomics Facility, Stanford School of Medicine",non-commercial,GPL3044,spotted DNA/cDNA,2004,Gene expression profiling identifies clinically relevant subtypes of prostate cancer.
GSE3933-GPL3289 ,14711987,SHBW,"Lapointe J, Li C, Higgins JP, van de Rijn M et al. Gene expression profiling identifies clinically relevant subtypes of prostate cancer. Proc Natl Acad Sci U S A 2004 Jan 20;101(3):811-6.","Lapoint, Pollack  2004",,"Stanford Functional Genomics Facility, Stanford School of Medicine",non-commercial,GPL3289,spotted DNA/cDNA,2004,Gene expression profiling identifies clinically relevant subtypes of prostate cancer.
GSE8402,18505969,Human 6k Transcriptionally Informative Gene Panel for DASL,"Setlur SR, Mertz KD, Hoshida Y, Demichelis F et al. Estrogen-dependent signaling in a molecularly distinct subclass of aggressive prostate cancer. J Natl Cancer Inst 2008 Jun 4;100(11):815-25.","Setlur, Rubin 2008",,Illumina ,commercial,GPL5474,oligonucleotide beads,2008, Estrogen-dependent signaling in a molecularly distinct subclass of aggressive prostate cancer.
GSE6811,17545589,YN Human 36K (sets1-8),"Tamura K, Furihata M, Tsunoda T, Ashida S et al. Molecular features of hormone-refractory prostate cancer cells by genome-wide gene expression profiles. Cancer Res 2007 Jun 1;67(11):5117-25.","Tamura, Nakagawa 2007",,"Laboratoryof Molecular Medicine, Instutute of Medical Science, the University of Tokyo",non-commercial,GPL4747,spotted DNA/cDNA,2007,Molecular features of hormone-refractory prostate cancer cells by genome-wide gene expression profiles.
GSE6099,17173048,Chinnaiyan Human 20K Hs6,"Tomlins SA, Mehra R, Rhodes DR, Cao X et al. Integrative molecular concept modeling of prostate cancer progression. Nat Genet 2007 Jan;39(1):41-51. ","omlins, Chinnaiyan 2007",,,non-commercial,GPL2013,spotted DNA/cDNA,2007, Integrative molecular concept modeling of prostate cancer progression.
GSE5132-GPL3834,16829574,FHCRC Human Prostate PEDB cDNA Array v4,"True L, Coleman I, Hawley S, Huang CY et al. A molecular correlate to the Gleason grading system for prostate adenocarcinoma. Proc Natl Acad Sci U S A 2006 Jul 18;103(29):10991-6.","True, Nelson 2006",,FHCRC Array Facility,non-commercial,GPL3834,spotted DNA/cDNA,2006,A molecular correlate to the Gleason grading system for prostate adenocarcinoma.
GSE5132-GPL3836,16829574,FHCRC Human Prostate PEDB cDNA Array v3,"True L, Coleman I, Hawley S, Huang CY et al. A molecular correlate to the Gleason grading system for prostate adenocarcinoma. Proc Natl Acad Sci U S A 2006 Jul 18;103(29):10991-6.","True, Nelson 2006",,FHCRC Array Facility,non-commercial,GPL3836,spotted DNA/cDNA,2006,A molecular correlate to the Gleason grading system for prostate adenocarcinoma.
GSE3325,16286247,HG-U133_Plus_2,"Varambally S, Yu J, Laxman B, Rhodes DR et al. Integrative genomic and proteomic analysis of prostate cancer reveals signatures of metastatic progression. Cancer Cell 2005 Nov;8(5):393-406.","Varambally, Chinnaiyan 2005",,Affymetrix ,commercial,GPL570,in situ oligonucleotide,2005,Integrative genomic and proteomic analysis of prostate cancer reveals signatures of metastatic progression.
GSE5377,17646850,[HG-Focus] Affymetrix Human HG-Focus Target Array,"Stoss O, Werther M, Zielinski D, Middel P et al. Transcriptional profiling of transurethral resection samples provides insight into molecular mechanisms of hormone refractory prostate cancer. Prostate Cancer Prostatic Dis 2008;11(2):166-72.","Stoss, Albers 2008",,Affymetrix ,commercial,GSE5377,in situ oligonucleotide,2008,Transcriptional profiling of transurethral resection samples provides insight into molecular mechanisms of hormone refractory prostate cancer.
GSE6606-GPL92," 17430594, 15254046,15892885,17071602",[HG_U95B] Affymetrix Human Genome U95B Array,,,,Affymetrix ,commercial,GPL92,in situ oligonucleotide,,
GSE6606-GPL93," 17430594, 15254046,15892885,17071602",[HG_U95C] Affymetrix Human Genome U95C Array,,,,Affymetrix ,commercial,GPL93,in situ oligonucleotide,,
GSE6606-GPL8300," 17430594, 15254046,15892885,17071602",[HG_U95Av2] Affymetrix Human Genome U95 Version 2 Array,,,,Affymetrix ,commercial,GPL8300,in situ oligonucleotide,,
GSE6919-GPL92,,[HG_U95B] Affymetrix Human Genome U95B Array,,,,Affymetrix ,commercial,GPL92,in situ oligonucleotide,,
GSE6919-GPL93,,[HG_U95C] Affymetrix Human Genome U95C Array,,,,Affymetrix ,commercial,GPL93,in situ oligonucleotide,,
GSE6919-GPL8300,,[HG_U95Av2] Affymetrix Human Genome U95 Version 2 Array,,,,Affymetrix ,commercial,GPL8300,in situ oligonucleotide,,
GSE6956,18245496,[HG-U133A_2] Affymetrix Human Genome U133A 2.0 Array,"Wallace TA, Prueitt RL, Yi M, Howe TM et al. Tumor immunobiological differences in prostate cancer between African-American and European-American men. Cancer Res 2008 Feb 1;68(3):927-36.","Wallace, Ambs 2008",,Affymetrix ,commercial,GPL571,in situ oligonucleotide,2008,Tumor immunobiological differences in prostate cancer between African-American and European-American men.
GSE7055-GPL571,18459106,[HG-U133A_2] Affymetrix Human Genome U133A 2.0 Array,"Prueitt RL, Yi M, Hudson RS, Wallace TA et al. Expression of microRNAs and protein-coding genes associated with perineural invasion in prostate cancer. Prostate 2008 Aug 1;68(11):1152-64.","Prueitt, Ambs 2008 ",,Affymetrix ,commercial,GPL571,in situ oligonucleotide,2008, Expression of microRNAs and protein-coding genes associated with perineural invasion in prostate cancer.
