Accession,Title,Sample Type,Taxonomy,Channels,Platform,Series,Supplementary Types,Supplementary Links,SRA Accession,Contact,Release Date
GSM268274,Patient 041 Core Set (custom panel),RNA,Homo sapiens,1,GPL5873,GSE10645,IDAT;JPG;XML,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM268nnn/GSM268274/suppl,,Robert B. Jenkins,10-Jun-08
GSM268275,Patient 058 Core Set (custom panel),RNA,Homo sapiens,1,GPL5873,GSE10645,IDAT;JPG;XML,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM268nnn/GSM268275/suppl,,Robert B. Jenkins,10-Jun-08
GSM268276,Patient 067 Core Set (custom panel),RNA,Homo sapiens,1,GPL5873,GSE10645,IDAT;JPG;XML,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM268nnn/GSM268276/suppl,,Robert B. Jenkins,10-Jun-08
GSM268277,Patient 077 Core Set (custom panel),RNA,Homo sapiens,1,GPL5873,GSE10645,IDAT;JPG;XML,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM268nnn/GSM268277/suppl,,Robert B. Jenkins,10-Jun-08
GSM268278,Patient 085 Core Set (custom panel),RNA,Homo sapiens,1,GPL5873,GSE10645,IDAT;JPG;XML,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM268nnn/GSM268278/suppl,,Robert B. Jenkins,10-Jun-08
GSM268279,Patient 017 Core Set (custom panel),RNA,Homo sapiens,1,GPL5873,GSE10645,IDAT;JPG;XML,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM268nnn/GSM268279/suppl,,Robert B. Jenkins,10-Jun-08
GSM268280,Patient 024 Core Set (custom panel),RNA,Homo sapiens,1,GPL5873,GSE10645,IDAT;JPG;XML,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM268nnn/GSM268280/suppl,,Robert B. Jenkins,10-Jun-08
GSM268281,Patient 032 Core Set (custom panel),RNA,Homo sapiens,1,GPL5873,GSE10645,IDAT;JPG;XML,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM268nnn/GSM268281/suppl,,Robert B. Jenkins,10-Jun-08
GSM268282,Patient 042 Core Set (custom panel),RNA,Homo sapiens,1,GPL5873,GSE10645,IDAT;JPG;XML,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM268nnn/GSM268282/suppl,,Robert B. Jenkins,10-Jun-08
GSM268283,Patient 050 Core Set (custom panel),RNA,Homo sapiens,1,GPL5873,GSE10645,IDAT;JPG;XML,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM268nnn/GSM268283/suppl,,Robert B. Jenkins,10-Jun-08
GSM268284,Patient 059 Core Set (custom panel),RNA,Homo sapiens,1,GPL5873,GSE10645,IDAT;JPG;XML,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM268nnn/GSM268284/suppl,,Robert B. Jenkins,10-Jun-08
GSM268285,Patient 069 Core Set (custom panel),RNA,Homo sapiens,1,GPL5873,GSE10645,IDAT;JPG;XML,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM268nnn/GSM268285/suppl,,Robert B. Jenkins,10-Jun-08
GSM268286,Patient 078 Core Set (custom panel),RNA,Homo sapiens,1,GPL5873,GSE10645,IDAT;JPG;XML,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM268nnn/GSM268286/suppl,,Robert B. Jenkins,10-Jun-08
GSM268287,Patient 086 Core Set (custom panel),RNA,Homo sapiens,1,GPL5873,GSE10645,IDAT;JPG;XML,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM268nnn/GSM268287/suppl,,Robert B. Jenkins,10-Jun-08
GSM268288,Patient 094 Core Set (custom panel),RNA,Homo sapiens,1,GPL5873,GSE10645,IDAT;JPG;XML,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM268nnn/GSM268288/suppl,,Robert B. Jenkins,10-Jun-08
GSM268289,Patient 001 Core Set (custom panel),RNA,Homo sapiens,1,GPL5873,GSE10645,IDAT;JPG;XML,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM268nnn/GSM268289/suppl,,Robert B. Jenkins,10-Jun-08
GSM268290,Patient 009 Core Set (custom panel),RNA,Homo sapiens,1,GPL5873,GSE10645,IDAT;JPG;XML,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM268nnn/GSM268290/suppl,,Robert B. Jenkins,10-Jun-08
GSM268291,Patient 018 Core Set (custom panel),RNA,Homo sapiens,1,GPL5873,GSE10645,IDAT;JPG;XML,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM268nnn/GSM268291/suppl,,Robert B. Jenkins,10-Jun-08
GSM268292,Patient 025 Core Set (custom panel),RNA,Homo sapiens,1,GPL5873,GSE10645,IDAT;JPG;XML,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM268nnn/GSM268292/suppl,,Robert B. Jenkins,10-Jun-08
