"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","characteristics_ch1.1","characteristics_ch1.2","characteristics_ch1.3","characteristics_ch1.4","characteristics_ch1.5","characteristics_ch1.6","molecule_ch1","extract_protocol_ch1","label_ch1","label_protocol_ch1","taxid_ch1","hyb_protocol","scan_protocol","description","data_processing","platform_id","contact_name","contact_institute","contact_address","contact_city","contact_state","contact_zip/postal_code","contact_country","supplementary_file","data_row_count","relation"
"GSM526134","Prostate tumor PCA0001 exon","GSM526134","Public on Jun 24 2010","Mar 24 2010","Jun 15 2010","RNA","1","human prostate","Homo sapiens","sample id: PCA0001","tissue: Prostate","disease status: prostate cancer","tumor type: Primary tumor","biopsy_gleason_grade: 6","clint_stage: T2A","pathological_stage: T3C","total RNA","Total RNA was isolaged using TRIzol@Reagent Total RNA Isoloation (Invitrogen), quantified with Thermo Scientific NanoDrop 1000 Spectrophotometer, and quality controlled with RNA 6000 picoAssay and Bioanalyzer 2100 (Agilent).","biotin","Per manufacturer's instructions with the Affymetrix WT Sense Target Labeling Assay","9606","Per manufacturer's instructions","Affymetrix high-numeric aperture and flying objective lens (FOL) GS3000 scanner","exon and whole-transcript expression profiling","Images were quantified using the GeneChip Operating Software (GCOS) version 1.4. Data were processed with Aroma Affymetrix using standard RMA background adjustment and quantile normalization","GPL5188","Barry,Stephen,Taylor","Memorial Sloan-Kettering Cancer Center","1275 York Avenue, Box #460","New York","NY","10065","USA","ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM526nnn/GSM526134/GSM526134_YX_Exon1_PCA0001.CEL.gz","804085","Alternative to: GSM527858 (exon-level analysis)"
"GSM526135","Prostate tumor PCA0002 exon","GSM526135","Public on Jun 24 2010","Mar 24 2010","Jun 15 2010","RNA","1","human prostate","Homo sapiens","sample id: PCA0002","tissue: Prostate","disease status: prostate cancer","tumor type: Primary tumor","biopsy_gleason_grade: 7","clint_stage: T1C","pathological_stage: T2A","total RNA","Total RNA was isolaged using TRIzol@Reagent Total RNA Isoloation (Invitrogen), quantified with Thermo Scientific NanoDrop 1000 Spectrophotometer, and quality controlled with RNA 6000 picoAssay and Bioanalyzer 2100 (Agilent).","biotin","Per manufacturer's instructions with the Affymetrix WT Sense Target Labeling Assay","9606","Per manufacturer's instructions","Affymetrix high-numeric aperture and flying objective lens (FOL) GS3000 scanner","exon and whole-transcript expression profiling","Images were quantified using the GeneChip Operating Software (GCOS) version 1.4. Data were processed with Aroma Affymetrix using standard RMA background adjustment and quantile normalization","GPL5188","Barry,Stephen,Taylor","Memorial Sloan-Kettering Cancer Center","1275 York Avenue, Box #460","New York","NY","10065","USA","ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM526nnn/GSM526135/GSM526135_YX_Exon1_PCA0002.CEL.gz","804085","Alternative to: GSM527859 (exon-level analysis)"
"GSM526136","Prostate tumor PCA0003 exon","GSM526136","Public on Jun 24 2010","Mar 24 2010","Jun 15 2010","RNA","1","human prostate","Homo sapiens","sample id: PCA0003","tissue: Prostate","disease status: prostate cancer","tumor type: Primary tumor","biopsy_gleason_grade: 7","clint_stage: T2B","pathological_stage: T3A","total RNA","Total RNA was isolaged using TRIzol@Reagent Total RNA Isoloation (Invitrogen), quantified with Thermo Scientific NanoDrop 1000 Spectrophotometer, and quality controlled with RNA 6000 picoAssay and Bioanalyzer 2100 (Agilent).","biotin","Per manufacturer's instructions with the Affymetrix WT Sense Target Labeling Assay","9606","Per manufacturer's instructions","Affymetrix high-numeric aperture and flying objective lens (FOL) GS3000 scanner","exon and whole-transcript expression profiling","Images were quantified using the GeneChip Operating Software (GCOS) version 1.4. Data were processed with Aroma Affymetrix using standard RMA background adjustment and quantile normalization","GPL5188","Barry,Stephen,Taylor","Memorial Sloan-Kettering Cancer Center","1275 York Avenue, Box #460","New York","NY","10065","USA","ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM526nnn/GSM526136/GSM526136_YX_Exon1_PCA0003.CEL.gz","804085","Alternative to: GSM527860 (exon-level analysis)"
"GSM526137","Prostate tumor PCA0005 exon","GSM526137","Public on Jun 24 2010","Mar 24 2010","Jun 15 2010","RNA","1","human prostate","Homo sapiens","sample id: PCA0005","tissue: Prostate","disease status: prostate cancer","tumor type: Primary tumor","biopsy_gleason_grade: 6","clint_stage: T1C","pathological_stage: T2C","total RNA","Total RNA was isolaged using TRIzol@Reagent Total RNA Isoloation (Invitrogen), quantified with Thermo Scientific NanoDrop 1000 Spectrophotometer, and quality controlled with RNA 6000 picoAssay and Bioanalyzer 2100 (Agilent).","biotin","Per manufacturer's instructions with the Affymetrix WT Sense Target Labeling Assay","9606","Per manufacturer's instructions","Affymetrix high-numeric aperture and flying objective lens (FOL) GS3000 scanner","exon and whole-transcript expression profiling","Images were quantified using the GeneChip Operating Software (GCOS) version 1.4. Data were processed with Aroma Affymetrix using standard RMA background adjustment and quantile normalization","GPL5188","Barry,Stephen,Taylor","Memorial Sloan-Kettering Cancer Center","1275 York Avenue, Box #460","New York","NY","10065","USA","ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM526nnn/GSM526137/GSM526137_YX_Exon1_PCA0005.CEL.gz","804085","Alternative to: GSM527861 (exon-level analysis)"
"GSM526138","Prostate tumor PCA0007 exon","GSM526138","Public on Jun 24 2010","Mar 24 2010","Jun 15 2010","RNA","1","human prostate","Homo sapiens","sample id: PCA0007","tissue: Prostate","disease status: prostate cancer","tumor type: Primary tumor","biopsy_gleason_grade: 7","clint_stage: T1C","pathological_stage: T2C","total RNA","Total RNA was isolaged using TRIzol@Reagent Total RNA Isoloation (Invitrogen), quantified with Thermo Scientific NanoDrop 1000 Spectrophotometer, and quality controlled with RNA 6000 picoAssay and Bioanalyzer 2100 (Agilent).","biotin","Per manufacturer's instructions with the Affymetrix WT Sense Target Labeling Assay","9606","Per manufacturer's instructions","Affymetrix high-numeric aperture and flying objective lens (FOL) GS3000 scanner","exon and whole-transcript expression profiling","Images were quantified using the GeneChip Operating Software (GCOS) version 1.4. Data were processed with Aroma Affymetrix using standard RMA background adjustment and quantile normalization","GPL5188","Barry,Stephen,Taylor","Memorial Sloan-Kettering Cancer Center","1275 York Avenue, Box #460","New York","NY","10065","USA","ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM526nnn/GSM526138/GSM526138_YX_Exon1_PCA0007.CEL.gz","804085","Alternative to: GSM527862 (exon-level analysis)"
"GSM526139","Prostate tumor PCA0008 exon","GSM526139","Public on Jun 24 2010","Mar 24 2010","Jun 15 2010","RNA","1","human prostate","Homo sapiens","sample id: PCA0008","tissue: Prostate","disease status: prostate cancer","tumor type: Primary tumor","biopsy_gleason_grade: 7","clint_stage: T2C","pathological_stage: T3A","total RNA","Total RNA was isolaged using TRIzol@Reagent Total RNA Isoloation (Invitrogen), quantified with Thermo Scientific NanoDrop 1000 Spectrophotometer, and quality controlled with RNA 6000 picoAssay and Bioanalyzer 2100 (Agilent).","biotin","Per manufacturer's instructions with the Affymetrix WT Sense Target Labeling Assay","9606","Per manufacturer's instructions","Affymetrix high-numeric aperture and flying objective lens (FOL) GS3000 scanner","exon and whole-transcript expression profiling","Images were quantified using the GeneChip Operating Software (GCOS) version 1.4. Data were processed with Aroma Affymetrix using standard RMA background adjustment and quantile normalization","GPL5188","Barry,Stephen,Taylor","Memorial Sloan-Kettering Cancer Center","1275 York Avenue, Box #460","New York","NY","10065","USA","ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM526nnn/GSM526139/GSM526139_YX_Exon1_PCA0008.CEL.gz","804085","Alternative to: GSM527863 (exon-level analysis)"
"GSM526140","Prostate tumor PCA0009 exon","GSM526140","Public on Jun 24 2010","Mar 24 2010","Jun 15 2010","RNA","1","human prostate","Homo sapiens","sample id: PCA0009","tissue: Prostate","disease status: prostate cancer","tumor type: Primary tumor","biopsy_gleason_grade: 6","clint_stage: T2A","pathological_stage: T2C","total RNA","Total RNA was isolaged using TRIzol@Reagent Total RNA Isoloation (Invitrogen), quantified with Thermo Scientific NanoDrop 1000 Spectrophotometer, and quality controlled with RNA 6000 picoAssay and Bioanalyzer 2100 (Agilent).","biotin","Per manufacturer's instructions with the Affymetrix WT Sense Target Labeling Assay","9606","Per manufacturer's instructions","Affymetrix high-numeric aperture and flying objective lens (FOL) GS3000 scanner","exon and whole-transcript expression profiling","Images were quantified using the GeneChip Operating Software (GCOS) version 1.4. Data were processed with Aroma Affymetrix using standard RMA background adjustment and quantile normalization","GPL5188","Barry,Stephen,Taylor","Memorial Sloan-Kettering Cancer Center","1275 York Avenue, Box #460","New York","NY","10065","USA","ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM526nnn/GSM526140/GSM526140_YX_Exon1_PCA0009.CEL.gz","804085","Alternative to: GSM527864 (exon-level analysis)"
"GSM526141","Prostate tumor PCA0010 exon","GSM526141","Public on Jun 24 2010","Mar 24 2010","Jun 15 2010","RNA","1","human prostate","Homo sapiens","sample id: PCA0010","tissue: Prostate","disease status: prostate cancer","tumor type: Primary tumor","biopsy_gleason_grade: 6","clint_stage: T1C","pathological_stage: T4","total RNA","Total RNA was isolaged using TRIzol@Reagent Total RNA Isoloation (Invitrogen), quantified with Thermo Scientific NanoDrop 1000 Spectrophotometer, and quality controlled with RNA 6000 picoAssay and Bioanalyzer 2100 (Agilent).","biotin","Per manufacturer's instructions with the Affymetrix WT Sense Target Labeling Assay","9606","Per manufacturer's instructions","Affymetrix high-numeric aperture and flying objective lens (FOL) GS3000 scanner","exon and whole-transcript expression profiling","Images were quantified using the GeneChip Operating Software (GCOS) version 1.4. Data were processed with Aroma Affymetrix using standard RMA background adjustment and quantile normalization","GPL5188","Barry,Stephen,Taylor","Memorial Sloan-Kettering Cancer Center","1275 York Avenue, Box #460","New York","NY","10065","USA","ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM526nnn/GSM526141/GSM526141_YX_Exon1_PCA0010.CEL.gz","804085","Alternative to: GSM527865 (exon-level analysis)"
"GSM526142","Prostate tumor PCA0011 exon","GSM526142","Public on Jun 24 2010","Mar 24 2010","Jun 15 2010","RNA","1","human prostate","Homo sapiens","sample id: PCA0011","tissue: Prostate","disease status: prostate cancer","tumor type: Primary tumor","biopsy_gleason_grade: 6","clint_stage: T1C","pathological_stage: T2C","total RNA","Total RNA was isolaged using TRIzol@Reagent Total RNA Isoloation (Invitrogen), quantified with Thermo Scientific NanoDrop 1000 Spectrophotometer, and quality controlled with RNA 6000 picoAssay and Bioanalyzer 2100 (Agilent).","biotin","Per manufacturer's instructions with the Affymetrix WT Sense Target Labeling Assay","9606","Per manufacturer's instructions","Affymetrix high-numeric aperture and flying objective lens (FOL) GS3000 scanner","exon and whole-transcript expression profiling","Images were quantified using the GeneChip Operating Software (GCOS) version 1.4. Data were processed with Aroma Affymetrix using standard RMA background adjustment and quantile normalization","GPL5188","Barry,Stephen,Taylor","Memorial Sloan-Kettering Cancer Center","1275 York Avenue, Box #460","New York","NY","10065","USA","ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM526nnn/GSM526142/GSM526142_YX_Exon1_PCA0011.CEL.gz","804085","Alternative to: GSM527866 (exon-level analysis)"
"GSM526143","Prostate tumor PCA0012 exon","GSM526143","Public on Jun 24 2010","Mar 24 2010","Jun 15 2010","RNA","1","human prostate","Homo sapiens","sample id: PCA0012","tissue: Prostate","disease status: prostate cancer","tumor type: Primary tumor","biopsy_gleason_grade: 6","clint_stage: T2C","pathological_stage: T2C","total RNA","Total RNA was isolaged using TRIzol@Reagent Total RNA Isoloation (Invitrogen), quantified with Thermo Scientific NanoDrop 1000 Spectrophotometer, and quality controlled with RNA 6000 picoAssay and Bioanalyzer 2100 (Agilent).","biotin","Per manufacturer's instructions with the Affymetrix WT Sense Target Labeling Assay","9606","Per manufacturer's instructions","Affymetrix high-numeric aperture and flying objective lens (FOL) GS3000 scanner","exon and whole-transcript expression profiling","Images were quantified using the GeneChip Operating Software (GCOS) version 1.4. Data were processed with Aroma Affymetrix using standard RMA background adjustment and quantile normalization","GPL5188","Barry,Stephen,Taylor","Memorial Sloan-Kettering Cancer Center","1275 York Avenue, Box #460","New York","NY","10065","USA","ftp://ftp.ncbi.nlm.nih.gov/pub/geo/DATA/supplementary/samples/GSM526nnn/GSM526143/GSM526143_YX_Exon1_PCA0012.CEL.gz","804085","Alternative to: GSM527867 (exon-level analysis)"
