"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","characteristics_ch1.1","treatment_protocol_ch1","growth_protocol_ch1","molecule_ch1","extract_protocol_ch1","label_ch1","label_protocol_ch1","taxid_ch1","hyb_protocol","scan_protocol","description","data_processing","platform_id","contact_name","contact_email","contact_phone","contact_laboratory","contact_department","contact_institute","contact_address","contact_city","contact_state","contact_zip/postal_code","contact_country","supplementary_file","supplementary_file.1","supplementary_file.2","supplementary_file.3","data_row_count"
"GSM208029","Fusion: No, Deletion: unknown (prostate_208)","GSM208029","Public on May 28 2008","Jul 06 2007","May 21 2008","RNA","1","primary prostate cancer","Homo sapiens","FUSION: NO","DELETION:","na","na","total RNA","Using 3 biopsy cores (0.6µm each) taken from formalin-fixed paraffin-embeded tissue blocks, total RNA was extracted using Trizol LS reagent (Invitrogen).","Cy3 and Cy5","Refer to the Illumina DASL Assay System Manual","9606","Refer to the Illumina DASL Assay System Manual. Hybridization was performed for 4 DASL assay oligo pool (DAP)s, DAP1~4, including 1536 probes each on 4 separate microarrays.","Refer to the Illumina DASL Assay System Manual","no additional information","For each probe, Red and Green intensities are computed as average of single bead values. The final signal is the sum of the Red and Green intensities. Data were median-centered by subtraction of median (log2 scale) within sample and within DAP, and median set to a target value computed as the overall within DAP median. Data were then normalized using the qspline algorithm (on the log2 intensity scale) with reference distribution computed as the marginal (always within DAP) mean of every gene.","GPL5474","Mark,A.,Rubin","rubinma@med.cornell.edu","212-746-6313","Rubin","Pathology and Laboratory Medicine","Weill Cornell Medical Center","1300 York Avenue Room C 410-A ","New York","NY","10021","USA","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208029/GSM208029_1492001_R003_C006.txt.gz","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208029/GSM208029_1514599002_R003_C006.txt.gz","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208029/GSM208029_1514599005_R003_C006.txt.gz","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208029/GSM208029_1514610019_R003_C006.txt.gz","6144"
"GSM208030","Fusion: No, Deletion: unknown (prostate_281)","GSM208030","Public on May 28 2008","Jul 06 2007","May 21 2008","RNA","1","primary prostate cancer","Homo sapiens","FUSION: NO","DELETION:","na","na","total RNA","Using 3 biopsy cores (0.6µm each) taken from formalin-fixed paraffin-embeded tissue blocks, total RNA was extracted using Trizol LS reagent (Invitrogen).","Cy3 and Cy5","Refer to the Illumina DASL Assay System Manual","9606","Refer to the Illumina DASL Assay System Manual. Hybridization was performed for 4 DASL assay oligo pool (DAP)s, DAP1~4, including 1536 probes each on 4 separate microarrays.","Refer to the Illumina DASL Assay System Manual","no additional information","For each probe, Red and Green intensities are computed as average of single bead values. The final signal is the sum of the Red and Green intensities. Data were median-centered by subtraction of median (log2 scale) within sample and within DAP, and median set to a target value computed as the overall within DAP median. Data were then normalized using the qspline algorithm (on the log2 intensity scale) with reference distribution computed as the marginal (always within DAP) mean of every gene.","GPL5474","Mark,A.,Rubin","rubinma@med.cornell.edu","212-746-6313","Rubin","Pathology and Laboratory Medicine","Weill Cornell Medical Center","1300 York Avenue Room C 410-A ","New York","NY","10021","USA","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208030/GSM208030_1492001_R001_C008.txt.gz","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208030/GSM208030_1514599002_R001_C008.txt.gz","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208030/GSM208030_1514599005_R001_C008.txt.gz","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208030/GSM208030_1514610019_R001_C008.txt.gz","6144"
"GSM208031","Fusion: Yes, Deletion: unknown (prostate_307)","GSM208031","Public on May 28 2008","Jul 06 2007","May 21 2008","RNA","1","primary prostate cancer","Homo sapiens","FUSION: YES","DELETION:","na","na","total RNA","Using 3 biopsy cores (0.6µm each) taken from formalin-fixed paraffin-embeded tissue blocks, total RNA was extracted using Trizol LS reagent (Invitrogen).","Cy3 and Cy5","Refer to the Illumina DASL Assay System Manual","9606","Refer to the Illumina DASL Assay System Manual. Hybridization was performed for 4 DASL assay oligo pool (DAP)s, DAP1~4, including 1536 probes each on 4 separate microarrays.","Refer to the Illumina DASL Assay System Manual","no additional information","For each probe, Red and Green intensities are computed as average of single bead values. The final signal is the sum of the Red and Green intensities. Data were median-centered by subtraction of median (log2 scale) within sample and within DAP, and median set to a target value computed as the overall within DAP median. Data were then normalized using the qspline algorithm (on the log2 intensity scale) with reference distribution computed as the marginal (always within DAP) mean of every gene.","GPL5474","Mark,A.,Rubin","rubinma@med.cornell.edu","212-746-6313","Rubin","Pathology and Laboratory Medicine","Weill Cornell Medical Center","1300 York Avenue Room C 410-A ","New York","NY","10021","USA","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208031/GSM208031_1492001_R005_C008.txt.gz","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208031/GSM208031_1514599002_R005_C008.txt.gz","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208031/GSM208031_1514599005_R005_C008.txt.gz","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208031/GSM208031_1514610019_R005_C008.txt.gz","6144"
"GSM208032","Fusion: No, Deletion: unknown (prostate_356)","GSM208032","Public on May 28 2008","Jul 06 2007","May 21 2008","RNA","1","primary prostate cancer","Homo sapiens","FUSION: NO","DELETION:","na","na","total RNA","Using 3 biopsy cores (0.6µm each) taken from formalin-fixed paraffin-embeded tissue blocks, total RNA was extracted using Trizol LS reagent (Invitrogen).","Cy3 and Cy5","Refer to the Illumina DASL Assay System Manual","9606","Refer to the Illumina DASL Assay System Manual. Hybridization was performed for 4 DASL assay oligo pool (DAP)s, DAP1~4, including 1536 probes each on 4 separate microarrays.","Refer to the Illumina DASL Assay System Manual","no additional information","For each probe, Red and Green intensities are computed as average of single bead values. The final signal is the sum of the Red and Green intensities. Data were median-centered by subtraction of median (log2 scale) within sample and within DAP, and median set to a target value computed as the overall within DAP median. Data were then normalized using the qspline algorithm (on the log2 intensity scale) with reference distribution computed as the marginal (always within DAP) mean of every gene.","GPL5474","Mark,A.,Rubin","rubinma@med.cornell.edu","212-746-6313","Rubin","Pathology and Laboratory Medicine","Weill Cornell Medical Center","1300 York Avenue Room C 410-A ","New York","NY","10021","USA","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208032/GSM208032_1492001_R008_C008.txt.gz","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208032/GSM208032_1514599002_R008_C008.txt.gz","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208032/GSM208032_1514599005_R008_C008.txt.gz","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208032/GSM208032_1514610019_R008_C008.txt.gz","6144"
"GSM208033","Fusion: unknown, Deletion: unknown (prostate_380)","GSM208033","Public on May 28 2008","Jul 06 2007","May 21 2008","RNA","1","primary prostate cancer","Homo sapiens","FUSION:","DELETION:","na","na","total RNA","Using 3 biopsy cores (0.6µm each) taken from formalin-fixed paraffin-embeded tissue blocks, total RNA was extracted using Trizol LS reagent (Invitrogen).","Cy3 and Cy5","Refer to the Illumina DASL Assay System Manual","9606","Refer to the Illumina DASL Assay System Manual. Hybridization was performed for 4 DASL assay oligo pool (DAP)s, DAP1~4, including 1536 probes each on 4 separate microarrays.","Refer to the Illumina DASL Assay System Manual","no additional information","For each probe, Red and Green intensities are computed as average of single bead values. The final signal is the sum of the Red and Green intensities. Data were median-centered by subtraction of median (log2 scale) within sample and within DAP, and median set to a target value computed as the overall within DAP median. Data were then normalized using the qspline algorithm (on the log2 intensity scale) with reference distribution computed as the marginal (always within DAP) mean of every gene.","GPL5474","Mark,A.,Rubin","rubinma@med.cornell.edu","212-746-6313","Rubin","Pathology and Laboratory Medicine","Weill Cornell Medical Center","1300 York Avenue Room C 410-A ","New York","NY","10021","USA","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208033/GSM208033_1492001_R001_C010.txt.gz","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208033/GSM208033_1514599002_R001_C010.txt.gz","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208033/GSM208033_1514599005_R001_C010.txt.gz","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208033/GSM208033_1514610019_R001_C010.txt.gz","6144"
"GSM208034","Fusion: unknown, Deletion: unknown (prostate_1065)","GSM208034","Public on May 28 2008","Jul 06 2007","May 21 2008","RNA","1","primary prostate cancer","Homo sapiens","FUSION:","DELETION:","na","na","total RNA","Using 3 biopsy cores (0.6µm each) taken from formalin-fixed paraffin-embeded tissue blocks, total RNA was extracted using Trizol LS reagent (Invitrogen).","Cy3 and Cy5","Refer to the Illumina DASL Assay System Manual","9606","Refer to the Illumina DASL Assay System Manual. Hybridization was performed for 4 DASL assay oligo pool (DAP)s, DAP1~4, including 1536 probes each on 4 separate microarrays.","Refer to the Illumina DASL Assay System Manual","no additional information","For each probe, Red and Green intensities are computed as average of single bead values. The final signal is the sum of the Red and Green intensities. Data were median-centered by subtraction of median (log2 scale) within sample and within DAP, and median set to a target value computed as the overall within DAP median. Data were then normalized using the qspline algorithm (on the log2 intensity scale) with reference distribution computed as the marginal (always within DAP) mean of every gene.","GPL5474","Mark,A.,Rubin","rubinma@med.cornell.edu","212-746-6313","Rubin","Pathology and Laboratory Medicine","Weill Cornell Medical Center","1300 York Avenue Room C 410-A ","New York","NY","10021","USA","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208034/GSM208034_1492001_R001_C005.txt.gz","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208034/GSM208034_1514599002_R001_C005.txt.gz","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208034/GSM208034_1514599005_R001_C005.txt.gz","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208034/GSM208034_1514610019_R001_C005.txt.gz","6144"
"GSM208035","Fusion: Yes, Deletion: No (prostate_1073)","GSM208035","Public on May 28 2008","Jul 06 2007","May 21 2008","RNA","1","primary prostate cancer","Homo sapiens","FUSION: YES","DELETION: NO","na","na","total RNA","Using 3 biopsy cores (0.6µm each) taken from formalin-fixed paraffin-embeded tissue blocks, total RNA was extracted using Trizol LS reagent (Invitrogen).","Cy3 and Cy5","Refer to the Illumina DASL Assay System Manual","9606","Refer to the Illumina DASL Assay System Manual. Hybridization was performed for 4 DASL assay oligo pool (DAP)s, DAP1~4, including 1536 probes each on 4 separate microarrays.","Refer to the Illumina DASL Assay System Manual","no additional information","For each probe, Red and Green intensities are computed as average of single bead values. The final signal is the sum of the Red and Green intensities. Data were median-centered by subtraction of median (log2 scale) within sample and within DAP, and median set to a target value computed as the overall within DAP median. Data were then normalized using the qspline algorithm (on the log2 intensity scale) with reference distribution computed as the marginal (always within DAP) mean of every gene.","GPL5474","Mark,A.,Rubin","rubinma@med.cornell.edu","212-746-6313","Rubin","Pathology and Laboratory Medicine","Weill Cornell Medical Center","1300 York Avenue Room C 410-A ","New York","NY","10021","USA","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208035/GSM208035_1492001_R003_C001.txt.gz","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208035/GSM208035_1514599002_R003_C001.txt.gz","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208035/GSM208035_1514599005_R003_C001.txt.gz","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208035/GSM208035_1514610019_R003_C001.txt.gz","6144"
"GSM208036","Fusion: No, Deletion: No (prostate_1099)","GSM208036","Public on May 28 2008","Jul 06 2007","May 21 2008","RNA","1","primary prostate cancer","Homo sapiens","FUSION: NO","DELETION: NO","na","na","total RNA","Using 3 biopsy cores (0.6µm each) taken from formalin-fixed paraffin-embeded tissue blocks, total RNA was extracted using Trizol LS reagent (Invitrogen).","Cy3 and Cy5","Refer to the Illumina DASL Assay System Manual","9606","Refer to the Illumina DASL Assay System Manual. Hybridization was performed for 4 DASL assay oligo pool (DAP)s, DAP1~4, including 1536 probes each on 4 separate microarrays.","Refer to the Illumina DASL Assay System Manual","no additional information","For each probe, Red and Green intensities are computed as average of single bead values. The final signal is the sum of the Red and Green intensities. Data were median-centered by subtraction of median (log2 scale) within sample and within DAP, and median set to a target value computed as the overall within DAP median. Data were then normalized using the qspline algorithm (on the log2 intensity scale) with reference distribution computed as the marginal (always within DAP) mean of every gene.","GPL5474","Mark,A.,Rubin","rubinma@med.cornell.edu","212-746-6313","Rubin","Pathology and Laboratory Medicine","Weill Cornell Medical Center","1300 York Avenue Room C 410-A ","New York","NY","10021","USA","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208036/GSM208036_1492001_R001_C003.txt.gz","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208036/GSM208036_1514599002_R001_C003.txt.gz","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208036/GSM208036_1514599005_R001_C003.txt.gz","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208036/GSM208036_1514610019_R001_C003.txt.gz","6144"
"GSM208037","Fusion: No, Deletion: No (prostate_1180)","GSM208037","Public on May 28 2008","Jul 06 2007","May 21 2008","RNA","1","primary prostate cancer","Homo sapiens","FUSION: NO","DELETION: NO","na","na","total RNA","Using 3 biopsy cores (0.6µm each) taken from formalin-fixed paraffin-embeded tissue blocks, total RNA was extracted using Trizol LS reagent (Invitrogen).","Cy3 and Cy5","Refer to the Illumina DASL Assay System Manual","9606","Refer to the Illumina DASL Assay System Manual. Hybridization was performed for 4 DASL assay oligo pool (DAP)s, DAP1~4, including 1536 probes each on 4 separate microarrays.","Refer to the Illumina DASL Assay System Manual","no additional information","For each probe, Red and Green intensities are computed as average of single bead values. The final signal is the sum of the Red and Green intensities. Data were median-centered by subtraction of median (log2 scale) within sample and within DAP, and median set to a target value computed as the overall within DAP median. Data were then normalized using the qspline algorithm (on the log2 intensity scale) with reference distribution computed as the marginal (always within DAP) mean of every gene.","GPL5474","Mark,A.,Rubin","rubinma@med.cornell.edu","212-746-6313","Rubin","Pathology and Laboratory Medicine","Weill Cornell Medical Center","1300 York Avenue Room C 410-A ","New York","NY","10021","USA","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208037/GSM208037_1492001_R003_C009.txt.gz","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208037/GSM208037_1514599002_R003_C009.txt.gz","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208037/GSM208037_1514599005_R003_C009.txt.gz","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208037/GSM208037_1514610019_R003_C009.txt.gz","6144"
"GSM208038","Fusion: unknown, Deletion: unknown (prostate_1354)","GSM208038","Public on May 28 2008","Jul 06 2007","May 21 2008","RNA","1","primary prostate cancer","Homo sapiens","FUSION:","DELETION:","na","na","total RNA","Using 3 biopsy cores (0.6µm each) taken from formalin-fixed paraffin-embeded tissue blocks, total RNA was extracted using Trizol LS reagent (Invitrogen).","Cy3 and Cy5","Refer to the Illumina DASL Assay System Manual","9606","Refer to the Illumina DASL Assay System Manual. Hybridization was performed for 4 DASL assay oligo pool (DAP)s, DAP1~4, including 1536 probes each on 4 separate microarrays.","Refer to the Illumina DASL Assay System Manual","no additional information","For each probe, Red and Green intensities are computed as average of single bead values. The final signal is the sum of the Red and Green intensities. Data were median-centered by subtraction of median (log2 scale) within sample and within DAP, and median set to a target value computed as the overall within DAP median. Data were then normalized using the qspline algorithm (on the log2 intensity scale) with reference distribution computed as the marginal (always within DAP) mean of every gene.","GPL5474","Mark,A.,Rubin","rubinma@med.cornell.edu","212-746-6313","Rubin","Pathology and Laboratory Medicine","Weill Cornell Medical Center","1300 York Avenue Room C 410-A ","New York","NY","10021","USA","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208038/GSM208038_1492001_R003_C002.txt.gz","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208038/GSM208038_1514599002_R003_C002.txt.gz","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208038/GSM208038_1514599005_R003_C002.txt.gz","ftp://ftp.ncbi.nih.gov/pub/geo/DATA/supplementary/samples/GSM208nnn/GSM208038/GSM208038_1514610019_R003_C002.txt.gz","6144"
