Accession,Title,Sample Type,Taxonomy,Channels,Platform,Series,Supplementary Types,Supplementary Links,SRA Accession,Contact,Release Date
GSM526134,Prostate tumor PCA0001 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526134/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526135,Prostate tumor PCA0002 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526135/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526136,Prostate tumor PCA0003 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526136/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526137,Prostate tumor PCA0005 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526137/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526138,Prostate tumor PCA0007 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526138/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526139,Prostate tumor PCA0008 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526139/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526140,Prostate tumor PCA0009 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526140/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526141,Prostate tumor PCA0010 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526141/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526142,Prostate tumor PCA0011 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526142/suppl,,Barry Stephen Taylor,24-Jun-10
GSM526143,Prostate tumor PCA0012 exon,RNA,Homo sapiens,1,GPL5188,GSE21032;GSE21034,CEL,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM526nnn/GSM526143/suppl,,Barry Stephen Taylor,24-Jun-10
