"Title","Description","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass","ResourceName","RDataPath","Tags"
"abida_cna.gistic_20230215","abida_cna.gistic_20230215 Copy number alteration GISTIC data of abida cohort in curatedPCaData package","3.17",NA,"TXT","https://www.cbioportal.org/study/summary?id=prad_su2c_2019",NA,"Homo sapiens","9606",NA,"MSKCC","Teemu Daniel Laajala <teelaa@utu.fi>","matrix","Rds","abida_cna.gistic_20230215.Rds","curatedPCaData/abida_cna.gistic_20230215.Rds","cna.gistic"
"abida_gex.relz_20230215","abida_gex.relz_20230215 Gene expression (Relative z-score) data of abida cohort in curatedPCaData package","3.17",NA,"TXT","https://www.cbioportal.org/study/summary?id=prad_su2c_2019",NA,"Homo sapiens","9606",NA,"MSKCC","Teemu Daniel Laajala <teelaa@utu.fi>","matrix","Rds","abida_gex.relz_20230215.Rds","curatedPCaData/abida_gex.relz_20230215.Rds","gex.relz"
"abida_mut_20230215","abida_mut_20230215 Mutation data of abida cohort in curatedPCaData package","3.17",NA,"TXT","https://www.cbioportal.org/study/summary?id=prad_su2c_2019",NA,"Homo sapiens","9606",NA,"MSKCC","Teemu Daniel Laajala <teelaa@utu.fi>","RaggedExperiment","Rds","abida_mut_20230215.Rds","curatedPCaData/abida_mut_20230215.Rds","mut"
"abida_cibersort_20230215","abida_cibersort_20230215 Deconvolution using CIBERSORTx data of abida cohort in curatedPCaData package","3.17",NA,"TXT","https://www.cbioportal.org/study/summary?id=prad_su2c_2019",NA,"Homo sapiens","9606",NA,"MSKCC","Teemu Daniel Laajala <teelaa@utu.fi>","matrix","Rds","abida_cibersort_20230215.Rds","curatedPCaData/abida_cibersort_20230215.Rds","cibersort"
"abida_xcell_20230215","abida_xcell_20230215 Deconvolution using xCell data of abida cohort in curatedPCaData package","3.17",NA,"TXT","https://www.cbioportal.org/study/summary?id=prad_su2c_2019",NA,"Homo sapiens","9606",NA,"MSKCC","Teemu Daniel Laajala <teelaa@utu.fi>","matrix","Rds","abida_xcell_20230215.Rds","curatedPCaData/abida_xcell_20230215.Rds","xcell"
"abida_epic_20230215","abida_epic_20230215 Deconvolution using EPIC data of abida cohort in curatedPCaData package","3.17",NA,"TXT","https://www.cbioportal.org/study/summary?id=prad_su2c_2019",NA,"Homo sapiens","9606",NA,"MSKCC","Teemu Daniel Laajala <teelaa@utu.fi>","matrix","Rds","abida_epic_20230215.Rds","curatedPCaData/abida_epic_20230215.Rds","epic"
"abida_quantiseq_20230215","abida_quantiseq_20230215 Deconvolution using quanTIseq data of abida cohort in curatedPCaData package","3.17",NA,"TXT","https://www.cbioportal.org/study/summary?id=prad_su2c_2019",NA,"Homo sapiens","9606",NA,"MSKCC","Teemu Daniel Laajala <teelaa@utu.fi>","matrix","Rds","abida_quantiseq_20230215.Rds","curatedPCaData/abida_quantiseq_20230215.Rds","quantiseq"
"abida_mcp_20230215","abida_mcp_20230215 Deconvolution using MCP counter data of abida cohort in curatedPCaData package","3.17",NA,"TXT","https://www.cbioportal.org/study/summary?id=prad_su2c_2019",NA,"Homo sapiens","9606",NA,"MSKCC","Teemu Daniel Laajala <teelaa@utu.fi>","matrix","Rds","abida_mcp_20230215.Rds","curatedPCaData/abida_mcp_20230215.Rds","mcp"
"abida_estimate_20230215","abida_estimate_20230215 Deconvolution using ESTIMATE data of abida cohort in curatedPCaData package","3.17",NA,"TXT","https://www.cbioportal.org/study/summary?id=prad_su2c_2019",NA,"Homo sapiens","9606",NA,"MSKCC","Teemu Daniel Laajala <teelaa@utu.fi>","matrix","Rds","abida_estimate_20230215.Rds","curatedPCaData/abida_estimate_20230215.Rds","estimate"
"abida_scores_20230215","abida_scores_20230215 Various gene expression risk and marker scores data of abida cohort in curatedPCaData package","3.17",NA,"TXT","https://www.cbioportal.org/study/summary?id=prad_su2c_2019",NA,"Homo sapiens","9606",NA,"MSKCC","Teemu Daniel Laajala <teelaa@utu.fi>","matrix","Rds","abida_scores_20230215.Rds","curatedPCaData/abida_scores_20230215.Rds","scores"
"abida_colData_20230215","abida_colData_20230215 Clinical metadata (colData-slot) of abida cohort in curatedPCaData package","3.17",NA,"TXT","https://www.cbioportal.org/study/summary?id=prad_su2c_2019",NA,"Homo sapiens","9606",NA,"MSKCC","Teemu Daniel Laajala <teelaa@utu.fi>","DFrame","Rds","abida_colData_20230215.Rds","curatedPCaData/abida_colData_20230215.Rds","clinical"
"abida_sampleMap_20230215","abida_sampleMap_20230215 MAE-object sampleMap of abida cohort in curatedPCaData package","3.17",NA,"TXT","https://www.cbioportal.org/study/summary?id=prad_su2c_2019",NA,"Homo sapiens","9606",NA,"MSKCC","Teemu Daniel Laajala <teelaa@utu.fi>","DFrame","Rds","abida_sampleMap_20230215.Rds","curatedPCaData/abida_sampleMap_20230215.Rds","sampleMap"
"baca_cna.gistic_20230215","baca_cna.gistic_20230215 Copy number alteration GISTIC data of baca cohort in curatedPCaData package","3.17",NA,"TXT","https://www.cbioportal.org/study/summary?id=prad_broad_2013",NA,"Homo sapiens","9606",NA,"Broad/Cornell","Teemu Daniel Laajala <teelaa@utu.fi>","matrix","Rds","baca_cna.gistic_20230215.Rds","curatedPCaData/baca_cna.gistic_20230215.Rds","cna.gistic"
"baca_mut_20230215","baca_mut_20230215 Mutation data of baca cohort in curatedPCaData package","3.17",NA,"TXT","https://www.cbioportal.org/study/summary?id=prad_broad_2013",NA,"Homo sapiens","9606",NA,"Broad/Cornell","Teemu Daniel Laajala <teelaa@utu.fi>","RaggedExperiment","Rds","baca_mut_20230215.Rds","curatedPCaData/baca_mut_20230215.Rds","mut"
"baca_colData_20230215","baca_colData_20230215 Clinical metadata (colData-slot) of baca cohort in curatedPCaData package","3.17",NA,"TXT","https://www.cbioportal.org/study/summary?id=prad_broad_2013",NA,"Homo sapiens","9606",NA,"Broad/Cornell","Teemu Daniel Laajala <teelaa@utu.fi>","DFrame","Rds","baca_colData_20230215.Rds","curatedPCaData/baca_colData_20230215.Rds","clinical"
