Hugo_Symbol	Entrez_Gene_Id	Center	Tumor_Sample_Barcode	Fusion	DNA_support	RNA_support	Method	Frame
TMPRSS2		su2c	1115154	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
TMPRSS2		su2c	1115157	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
TMPRSS2		su2c	1115183	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
TMPRSS2		su2c	1115244	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
TMPRSS2		su2c	6115122	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
TMPRSS2		su2c	6115234	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
TMPRSS2		su2c	6115247	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
TMPRSS2		su2c	6115117	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
TMPRSS2		su2c	MO_1015	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
TMPRSS2		su2c	MO_1040	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
TMPRSS2		su2c	MO_1071	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
TMPRSS2		su2c	MO_1084	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
TMPRSS2		su2c	MO_1095	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
TMPRSS2		su2c	MO_1114	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
TMPRSS2		su2c	MO_1118	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
TMPRSS2		su2c	MO_1124	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
TMPRSS2		su2c	MO_1161	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
TMPRSS2		su2c	MO_1176	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
TMPRSS2		su2c	MO_1179	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
TMPRSS2		su2c	MO_1192	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
TMPRSS2		su2c	MO_1202	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
TMPRSS2		su2c	MO_1215	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
TMPRSS2		su2c	MO_1241	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
TMPRSS2		su2c	MO_1244	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
TMPRSS2		su2c	MO_1249	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
TMPRSS2		su2c	MO_1263	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
TMPRSS2		su2c	MO_1277	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
TMPRSS2		su2c	MO_1316	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
TMPRSS2		su2c	MO_1337	TMPRSS2-ERG fusion	unknown	unknown	unknown	unknown
