index	chromosome	region_start	region_end	peak_start	peak_end	enlarged_peak_start	enlarged_peak_end	n_genes_in_region	genes_in_region	n_genes_in_peak	genes_in_peak	n_genes_on_chip	genes_on_chip	top 3	amp	cytoband	q_value
1	1	149884927	155323181	155136225	155283425	153560131	155285052	73	GBAP1,EFNA3,MIR4258,SNORD59|ENSG00000252682.1,SNORA58|ENSG00000201129.1,C1orf189,RN7SL431P,MIR5698,U3|ENSG00000252669.1,snoU13|ENSG00000238511.1,RN7SL372P,ADAR,CHRNB2,CKS1B|ENSG00000173207.8,CLK2,EFNA1,EFNA3,EFNA4,FDPS,GBA,IL6R,ILF2,KCNN3,MTX1,MUC1,NPR1,PKLR,RAB13,RPS27,S100A1,S100A13,SHC1,THBS3,TPM3,ADAM15,UBAP2L,DENND4B,SCAMP3,HAX1,PMVK,FAM189B,JTB,SLC27A3,SNAPIN,C1orf43,CHTOP,SLC39A1,ZBTB7B,DPM3,UBE2Q1,LENEP,SLC50A1,ATP8B2,PBXIP1,S100A14,GATAD2B,HCN3,INTS3,TRIM46,FLAD1,AQP10,PYGO2,NUP210L,TDRD10,SHE,DCST2,S100A16,CREB3L4,DCST1,KRTCAP2,CRTC2,MIR92B,MIR190B,	14	GBAP1,CLK2,FDPS,GBA,MTX1,MUC1,PKLR,THBS3,SCAMP3,FAM189B,HCN3,TRIM46,KRTCAP2,MIR92B,	[Not Available]	[Not Available]	[Not Available]	1	1q22	0.00077815
2	3	158900093	183019810	169641062	169766385	169416569	170112274	12	TERC,PRKCI,SKIL,SEC62,GPR160,MYNN,LRRC31,PHC3,ACTRT3,LRRC34,LRRIQ4,SAMD7,	3	SEC62,GPR160,SAMD7,	[Not Available]	[Not Available]	[Not Available]	1	3q26.2	2.4906e-06
3	3	125661840	130390084	128142715	128248492	127875374	128424358	6	MIR1280,GATA2,RPN1,C3orf27,EEFSEC,DNAJB8,	2	GATA2,DNAJB8,	[Not Available]	[Not Available]	[Not Available]	1	3q21.3	3.0773e-05
4	4	73398680	74231308	73993259	74063676	73893237	74218184	4	SNORA3|ENSG00000221639.1,RNU6ATAC5P,ANKRD17,COX18,	1	ANKRD17,	[Not Available]	[Not Available]	[Not Available]	1	4q13.3	0.0084619
5	4	1619388	1933831	1870420	1905089	1053934	2081509	44	MIR943,SCARNA22,RN7SL671P,SNORA48|ENSG00000212458.1,TMED11P,RN7SL358P,ZNF721,ABCA11P,MIR571,ZNF141,ZNF732,ZNF876P,ZNF718,ZNF595,ATP5I,CTBP1,DGKQ,FGFR3,GAK,IDUA,LETM1,MYL5,PDE6B,WHSC1,NELFA,SLBP,MAEA,PCGF3,SPON2,TACC3,CPLX1,SLC26A1,FGFRL1,PIGG,UVSSA,MFSD7,TMEM175,TMEM129,FAM53A,CRIPAK,RNF212,NAT8L,POLN,C4orf48,	2	RN7SL671P,WHSC1,	[Not Available]	[Not Available]	[Not Available]	1	4p16.3	0.11475
6	5	179697193	179726551	179697193	179721376	120673357	180360469	569	TRIM52,SNORD95|ENSG00000264549.1,SNORD96A,LINC00847,MIR340,RN7SKP150,MIR1229,HMGB3P22,RN7SL71P,ZNF879,ZNF354B,AACSP1,RN7SKP70,RN7SL646P,RN7SL562P,EIF4E1B,MIR4281,RN7SL684P,MIR1271,ARL10,RN7SKP148,snoU13|ENSG00000239026.1,NSG2,RNA5SP200,SNORA74B,ATP6V0E1,MIR5003,SNORA57|ENSG00000212529.1,C5orf50,SNORA70|ENSG00000206909.1,RN7SL339P,snoU13|ENSG00000252387.1,RN7SL623P,MIR4454,KCNMB1,LCP2,C5orf58,MIR378E,MIR585,MIR103A1,PANK3,FBLL1,SNORA40|ENSG00000253065.1,RN7SKP60,NUDCD2,MIR3142,RN7SL295P,ADRA1B,RNU4ATAC2P,SNORA68|ENSG00000252458.1,LSM11,THG1L,RNA5SP199,RN7SL439P,RN7SL655P,MIR1294,RN7SL177P,RNA5SP198,RN7SKP232,RNA5SP197,ZNF300P1,snoU13|ENSG00000239191.1,snoU13|ENSG00000238369.1,MIR378A,RN7SL868P,U3|ENSG00000221043.1,MIR143HG,RN7SKP145,MIR584,SH3TC2,SPINK13,RN7SL791P,RNA5SP196,GPR151,RN7SKP246,KCTD16,RN7SL87P,RN7SL68P,PCDHGB8P,PCDHB18,PCDHB17,PCDHA14,WDR55,MIR3655,SNORA27|ENSG00000200235.1,SNORD45|ENSG00000200051.1,CYSTM1,PURA,TMEM173,ECSCR,RN7SKP64,RNA5SP195,SNORA74A,SNORA74|ENSG00000252213.1,RNA5SP194,RN7SL867P,snoU13|ENSG00000238745.1,SNORD63|ENSG00000206989.1,SNORD63|ENSG00000222937.1,RN7SL682P,snoU13|ENSG00000238605.1,NPY6R,MIR874,RNA5SP193,FBXL21,TIFAB,MIR4461,MIR4461,PCBD2,RN7SL541P,PPP2CA,SKP1,snoU13|ENSG00000238796.1,HSPA4,LEAP2,UQCRQ,RNA5SP192,snoZ6|ENSG00000253067.1,HINT1,RNA5SP191,RNU6ATAC10P,KIAA1024L,MIR4633,C5orf63,RN7SKP117,RN7SL711P,RN7SL689P,snoU13|ENSG00000239103.1,snoU13|ENSG00000252295.1,ADRB2,ANXA6,ATOX1,ALDH7A1,BNIP1,CAMK2A,CAMLG,CANX,CCNG1,CD14,CD74,CDC25C,CDX1,CLTB,CSF1R,CSF2,CSNK1A1,CSNK1G3,CTNNA1,DBN1,DIAPH1,DOCK2,DPYSL3,DRD1,SLC26A2,HBEGF,DUSP1,EBF1,EGR1,ETF1,F12,FABP6,FAT2,FBN2,FGF1,FGFR4,FOXI1,FLT4,GABRA1,GABRA6,GABRB2,GABRG2,GABRP,GDF9,GFRA3,GLRA1,GM2A,GRK6,GPX3,GRIA1,NR3C1,GRM6,HARS,HK3,HMMR,HNRNPAB,HNRNPH1,HRH2,HSPA9,NDST1,HTR4,IK,IL3,IL4,IL5,IL9,IL12B,IL13,IRF1,ITK,LECT2,LMNB1,LOX,LTC4S,SMAD5,MFAP3,MGAT1,MSX2,NDUFA2,NEUROG1,NPM1,PCDH1,PCDHGC3,PDE6A,PDGFRB,PFDN1,PITX1,POU4F3,PPIC,PPP2R2B,MAPK9,PROP1,RARS,RPS14,SGCD,SLC6A7,SLC12A2,SLC34A1,SLC22A4,SLC22A5,SLIT3,SNCB,SNX2,SPARC,SPINK1,SPOCK1,STK10,TAF7,TCF7,ZNF354A,TCOF1,TGFBI,TTC1,UBE2B,UBE2D2,VDAC1,WNT8A,NME5,PDLIM4,STC2,EIF4EBP3,PCDHGB4,CDC23,ADAM19,FGF18,HDAC3,SQSTM1,P4HA2,PTTG1,PDLIM7,CNOT8,HAND1,MED7,MYOT,ADAMTS2,NRG2,CXCL14,H2AFY,RNF14,SNCAIP,CLINT1,PCDHGA8,PCDHA9,MATR3,MAML1,KIAA0141,JAKMIP2,DDX46,GFPT2,SLC23A1,GNPDA1,SRA1,RAD50,KIF20A,G3BP1,APBB3,TNIP1,GNB2L1,SLU7,RGS14,SEC24A,CPLX2,FAXDC2,FAM114A2,BRD8,TCERG1,BTNL3,HNRNPA0,LMAN2,SPINK5,SOX30,KIF3A,MGAT4B,B4GALT7,SYNPO,RNF44,ABLIM3,HMGXB3,TBC1D9B,ARHGAP26,FSTL4,ATP10B,N4BP3,SEPT8,FAF2,WWC1,FBXW11,ACSL6,PHF15,LARP1,HARS2,ZNF346,GEMIN5,PCDHGA12,LRRTM2,CCDC69,PCDHB5,KLHL3,TSPAN17,OR4F3,OR2V1,HAVCR1,CYFIP2,PKD2L2,AFF4,PRELID1,IL17B,MAT2B,SLC27A6,SNX24,MRPL22,PCDHB1,TLX3,KCNIP1,ZNF354C,ISOC1,RPL26L1,SAR1B,C5orf45,DCTN4,MZB1,PAIP2,CDKL3,PCDH12,FAM13B,FAM53C,REEP2,DDX41,NOP16,LARS,CXXC5,UIMC1,RAPGEF6,KDM3B,PHAX,RAB24,RBM27,NEURL1B,FAM193B,TMED9,ZCCHC10,CDHR2,SPDL1,TMCO6,GALNT10,NHP2,RBM22,RNF130,PCDHGC5,PCDHGC4,PCDHGB7,PCDHGB6,PCDHGB3,PCDHGB2,PCDHGB1,PCDHGA11,PCDHGA10,PCDHGA9,PCDHGA7,PCDHGA6,PCDHGA5,PCDHGA4,PCDHGA3,PCDHGA2,PCDHGA1,PCDHB15,PCDHB14,PCDHB13,PCDHB12,PCDHB11,PCDHB10,PCDHB8,PCDHB7,PCDHB6,PCDHB4,PCDHB3,PCDHB2,PCDHAC2,PCDHAC1,PCDHA13,PCDHA12,PCDHA11,PCDHA10,PCDHA8,PCDHA7,PCDHA6,PCDHA5,PCDHA4,PCDHA3,PCDHA2,PCDHA1,NMUR2,C5orf15,CDC42SE2,TRPC7,KIAA1191,ERGIC1,CLK4,TENM2,CNOT6,ZNF608,PCDHB16,HMHB1,C5orf54,NSD1,SIL1,ARAP3,RMND5B,RANBP17,GRAMD3,PCYOX1L,CCNJL,SAP30L,TXNDC15,BTNL8,DOK3,ZFP2,RUFY1,CPEB4,PRR7,NDFIP1,FBXO38,YIPF5,TRIM7,TIGD6,SPRY4,MXD3,SLC4A9,SLC25A2,PSD2,THOC3,MEGF10,SPINK7,HAVCR2,PHYKPL,SMIM3,FCHSD1,UNC5A,LYRM7,TRIM41,BOD1,CDKN2AIPNL,COL23A1,TIMD4,ZNF300,MYOZ3,UBTD2,SCGB3A1,PRDM6,FTMT,SFXN1,FNIP1,SLC35A4,GPRIN1,PWWP2A,C1QTNF2,MARCH3,SCGB3A2,C5orf47,PPARGC1B,PRRC1,ZNF474,OR2Y1,AFAP1L1,GRPEL2,UBLCP1,SOWAHA,SHROOM1,C5orf24,C5orf20,SLC36A2,CREBRF,CEP120,SLC25A48,SRFBP1,ZMAT2,BTNL9,FAM71B,PRELID2,SH3RF2,PLAC8L1,RNF145,ADAMTS19,HIGD2A,SPATA24,DNAJC18,FAM153B,STK32A,SLC36A1,RASGEF1C,EFCAB9,SH3PXD2B,FAM153A,RELL2,SLC36A3,KIF4B,OR2V2,ZNF454,C5orf60,CHSY3,ARSI,PFN3,IRGM,CATSPER3,NIPAL4,DND1,SIMC1,C5orf48,PROB1,C5orf46,ARHGEF37,SPINK6,ANKHD1,MIR143,MIR145,MIR146A,SPINK14,FNDC9,C5orf56,IGIP,CTXN3,GRXCR2,SPINK9,ZFP62,CCNI2,CBY3,FAM153C,FAM196B,C5orf52,MIR1303,MIR3141,MIR3912,MIR3936,MIR3661,MIR4634,MIR378H,MIR4460,MIR4638,MIR5197,MIR5692C1,	1	MAPK9,	[Not Available]	[Not Available]	[Not Available]	1	5q35.3	0.16448
7	7	93303967	99293475	98411980	98632433	84704709	108686876	261	FLJ00325,U3|ENSG00000238297.1,snoU109|ENSG00000238832.1,RNA5SP236,SNORD112|ENSG00000251911.1,RN7SL8P,LHFPL3,RN7SKP86,RN7SKP198,FAM185A,POLR2J2,MIR4467,MIR5090,MIR4285,SH2B2,SNORA48|ENSG00000252824.1,RABL5,MIR4653,RN7SKP54,MUC3A,MUC3A,RN7SL549P,RN7SL750P,SAP25,RN7SL416P,RN7SL161P,STAG3L5P,PILRB,GATS,MIR4658,MIR106B,MIR93,MIR25,AZGP1P1,SNORA40|ENSG00000222966.1,CYP3A4,snoU13|ENSG00000239133.1,MYH16,snoU13|ENSG00000238459.1,MIR3609,RN7SL13P,RN7SL478P,RN7SKP104,RN7SL252P,SHFM1,MIR591,PON1,snoU13|ENSG00000238384.1,RN7SKP129,GNG11,MIR489,MIR653,RN7SL7P,GATAD1,snoU13|ENSG00000238739.1,DPY19L2P4,SNORA67|ENSG00000207094.1,snoU13|ENSG00000238587.1,LINC00972,ACHE,ASNS,AZGP1,CALCR,KRIT1,CDK6,AP1S1,COL1A2,CUX1,CYP3A7,CYP3A5,CYP51A1,DLD,DLX5,DLX6,DYNC1I1,SLC26A3,EPHB4,EPO,GNB2,GNGT1,GPR22,GRM3,AGFG2,LAMB1,LRCH4,MCM7,DNAJB9,NPTX2,NRCAM,OCM2,ORC5,SERPINE1,PCOLCE,PDK4,SLC26A4,PEX1,CDK14,ABCB1,ABCB4,PIK3CG,POLR2J,PON2,PON3,PRKAR2B,RELN,PSMC2,SRI,SRPK2,SYPL1,TAC1,TAF6,TFR2,TRIP6,VGF,ZAN,ZNF3,ZKSCAN1,ZSCAN21,MTERF,TFPI2,TRRAP,FZD1,BUD31,SGCE,PLOD3,CLDN12,AP4M1,PMPCB,ATP5J2,DMTF1,MUC12,ARPC1B,NAMPT,AKAP9,RASA4,SLC25A13,LRRC17,POP7,BET1,COG5,ZNHIT1,ARPC1A,STAG3,CPSF4,DBF4,COPS6,DUS4L,TP53TG1,PDAP1,LAMB4,LMTK2,PEG10,ZKSCAN5,CLDN15,BRI3,TECPR1,PTCD1,FBXO24,STEAP1,HBP1,DNAJC2,PILRA,PNPLA8,FIS1,ACTL6B,SRRT,ASB4,ADAM22,ANKIB1,PUS7,CROT,ALKBH4,SAMD9,ZCWPW1,C7orf43,PPP1R9A,CCDC132,KMT2E,BAIAP2L1,SLC25A40,BCAP29,MEPCE,SLC12A9,ACN9,SMURF1,RINT1,MOSPD3,GIGYF1,CYP3A43,CASD1,ZNF655,PVRIG,TMEM243,STEAP4,GAL3ST4,PRKRIP1,C7orf63,CBLL1,ORAI2,OR2AE1,TSC22D4,TRIM56,ARMC10,RBM48,ZNF394,GTPBP10,TRIM4,MYL10,COL26A1,MUC17,RUNDC3B,C7orf66,THAP5,CCDC71L,BHLHA15,SAMD9L,C7orf62,ZNF804B,ZSCAN25,FAM200A,PPP1R35,GPC2,KIAA1324L,LRWD1,FBXL13,NAPEPLD,ATXN7L1,CDHR3,TMEM130,NYAP1,SEMA3D,CNPY4,POLR2J2,HEPACAM2,MBLAC1,FAM133B,STEAP2,ZNF789,MOGAT3,GJC3,DPY19L2P2,GATS,NAT16,SLC26A5,LAMTOR4,LRRD1,C7orf76,KPNA7,C7orf61,UFSP1,SPDYE3,SPDYE2,POLR2J3,EFCAB10,UPK3BL,RASA4B,SPDYE2B,MIR548O,MIR4652,MIR5692C2,MIR5692A1,	5	snoU13|ENSG00000238459.1,MIR3609,TRRAP,SMURF1,TMEM130,	[Not Available]	[Not Available]	[Not Available]	1	7q22.1	0.012709
8	7	32168350	33705491	33235512	33470322	15168556	38500421	168	TRGV1,TRGV2,TRGV3,TRGV4,TRGV5,TRGV8,TRGV9,TRGV10,TRGV11,TRGJP1,TRGJP,TRGJ1,TRGC1,TRGJP2,TRGJ2,TRGC2,SNORA51|ENSG00000200113.1,snoU13|ENSG00000238772.1,MIR1200,PP13004,SEPT7,DPY19L2P1,MIR548N,SNORA31|ENSG00000251802.1,RN7SL132P,RNA5SP229,snoU13|ENSG00000252706.1,RN7SL505P,RP9P,SNORA31|ENSG00000251999.1,AQP1,CRHR2,MIR550A1,snoU13|ENSG00000238906.1,TRIL,RN7SL365P,EVX1,HOTTIP,HOXA13,HOTAIRM1,U3|ENSG00000202233.1,CYCS,snoU13|ENSG00000239098.1,RNA5SP228,snoU13|ENSG00000238849.1,SNORD65|ENSG00000212264.1,MALSU1,SNORD93,RNA5SP227,MIR1183,RN7SL542P,SP8,SNORD56|ENSG00000200753.1,MIR3146,RN7SKP266,SNORA63|ENSG00000199473.1,ISPD,ADCYAP1R1,AHR,AMPH,AOAH,AQP1,CHN2,DFNA5,GARS,GHRHR,HNRNPA2B1,HOXA1,HOXA2,HOXA3,HOXA4,HOXA5,HOXA6,HOXA7,HOXA9,HOXA10,HOXA11,IL6,ITGB8,MEOX2,NPY,PDE1C,RP9,SFRP4,SP4,TWIST1,DNAH11,TAX1BP1,SKAP2,CREB5,NFE2L3,HDAC9,RAPGEF5,SCRN1,KIAA0087,ELMO1,NOD1,GPNMB,AGR2,IGF2BP3,PPP1R17,NUPL2,HIBADH,INMT,FKBP9,CBX3,AVL9,SNX13,DPY19L1,KIAA0895,LSM5,SOSTDC1,KBTBD2,OSBPL3,TSPAN13,BBS9,BZW2,SNX10,TRA2A,NT5C3A,NME8,MPP6,ANLN,CPVL,TOMM7,EPDR1,FKBP14,CDCA7L,KLHL7,STK31,ANKMY2,TBX20,NEUROD6,NPVF,HERPUD2,GGCT,EEPD1,STARD3NL,FAM188B,FAM126A,PLEKHA8,CCDC126,C7orf31,AGR3,BMPER,PRPS1L1,TWISTNB,JAZF1,C7orf41,PRR15,FERD3L,CCDC129,ZNRF2,TMEM196,STEAP1B,C7orf71,ABCB5,FAM221A,MACC1,GPR141,NPSR1,AGMO,MIR148A,MIR196B,WIPF3,MIR550A2,LRRC72,MIR550A3,	1	BBS9,	[Not Available]	[Not Available]	[Not Available]	1	7p14.3	0.02772
9	8	65593996	145232496	128140367	128144500	128010857	128818401	7	POU5F1B,CASC8,CCAT1,PCAT2,PCAT1,MYC,PVT1,	0	[PCAT2]	[Not Available]	[Not Available]	[Not Available]	1	8q24.21	7.1078e-07
10	8	36686113	40306552	37347453	37551406	37058265	39397732	30	ADAM3A,ADAM5,SNORD38|ENSG00000207199.1,PLEKHA2,RPS20P22,STAR,RN7SL709P,BRF2,ZNF703,ADRB3,EIF4EBP1,FGFR1,TACC1,ADAM9,ASH2L,BAG4,ERLIN2,PROSC,DDHD2,GPR124,LSM1,WHSC1L1,RAB11FIP1,TM2D2,PPAPDC1B,GOT1L1,LETM2,HTRA4,ADAM32,C8orf86,	1	ZNF703,	[Not Available]	[Not Available]	[Not Available]	1	8p11.23	0.00020824
