index	chromosome	region_start	region_end	peak_start	peak_end	enlarged_peak_start	enlarged_peak_end	n_genes_in_region	genes_in_region	n_genes_in_peak	genes_in_peak	n_genes_on_chip	genes_on_chip	top 3	amp	cytoband	q_value
1	1	224677645	237723236	234726356	234734655	224931285	237201820	144	snoU13|ENSG00000252638.1,MIR4753,SNORA14B,RN7SL668P,RNY4P16,LINC00184,U8|ENSG00000212144.1,MIR4671,MIR4427,NTPCR,RN7SL299P,LINC00582,TRAX,RNA5SP80,MIR1182,snoU13|ENSG00000238985.1,RN7SL837P,RNA5SP79,RN7SL467P,RNA5SP78,RN7SKP276,TMEM78,SNORA51|ENSG00000206878.1,RNA5SP18,RNA5S17,RNA5S16,RNA5S15,RNA5S14,RNA5S13,RNA5S12,RNA5S11,RNA5S10,RNA5S9,RNA5S8,RNA5S7,RNA5S6,RNA5S5,RNA5S4,RNA5S3,RNA5S2,RNA5S1,RNA5SP19,BTNL10,RNF187,MIR3620,MIR5008,WNT9A,ZNF678,RNA5SP77,RN7SKP165,snoU13|ENSG00000239094.1,snoU13|ENSG00000238545.1,ACTA1,ACTN2,PARP1,AGT,ARF1,LYST,EPHX1,GALNT2,GNG4,GUK1,H3F3A,ITPKB,KCNK1,LBR,LGALS8,MTR,NID1,PSEN2,RAB4A,SRP9,TARBP1,TBCE,LEFTY2,GPR137B,TSNAX,HIST3H3,GNPAT,CDC42BPA,GGPS1,TMEM63A,TOMM20,URB2,LEFTY1,SPHAR,CAPN9,COG2,RBM34,ABCB10,TAF5L,DISC1,PYCR2,TRIM17,ARID4B,EGLN1,MAP10,HEATR1,ENAH,NUP133,ERO1LB,ADCK3,GJC2,SIPA1L2,RHOU,ACBD3,ARV1,JMJD4,C1orf35,TTC13,PGBD5,PCNXL2,TRIM11,MIXL1,SPRTN,OBSCN,MLK4,C1orf198,WNT3A,HIST3H2A,SNAP47,CCSAP,DNAH14,C1orf131,EDARADD,MRPL55,HIST3H2BB,SLC35F3,B3GALNT2,EXOC8,SDE2,IBA57,LIN9,PRSS38,IRF2BP2,C1orf95,FAM89A,COA6,TRIM67,C1orf145,C1orf148,MT1HL1,MIR1537,MIR4666A,	1	U8|ENSG00000212144.1,	[Not Available]	[Not Available]	[Not Available]	0	1q42.3	0.00015401
2	1	63431387	66170527	65043855	65050681	63902431	66226024	18	snoU13|ENSG00000238931.1,LEPROT,MIR4794,RN7SL130P,DLEU2L,RN7SL488P,AK4,JAK1,ROR1,PGM1,DNAJC6,ITGB3BP,LEPR,RAVER2,CACHD1,EFCAB7,UBE2U,MIR3671,	1	MIR4794,	[Not Available]	[Not Available]	[Not Available]	0	1p31.3	0.000642
3	1	92446740	97520807	92973775	93260561	82458170	107590310	141	RN7SKP285,snoU13|ENSG00000238296.1,SCARNA16|ENSG00000252765.1,DPH5,MIR553,LPPR5,RN7SKP270,RN7SL831P,ALG14,snoU13|ENSG00000238389.1,RN7SL440P,ARHGAP29,GCLM,DNTTIP2,RNA5SP53,DR1,RN7SKP123,RN7SL692P,SNORA51|ENSG00000207022.1,SNORA66|ENSG00000207523.1,SNORA66|ENSG00000251795.1,SNORD21,RN7SL824P,RPAP2,ACTBP12,RN7SL235P,RN7SL653P,BARHL2,U3|ENSG00000199666.1,RN7SKP272,snoU13|ENSG00000239176.1,GBP1P1,GBP6,RN7SL583P,RNA5SP52,RNA5SP51,SNORD81|ENSG00000199934.1,C1orf52,CTBS,SPATA1,RPF1,UOX,SNORA2|ENSG00000199959.1,TTLL7,ABCA4,AGL,AMY1A,AMY1B,AMY1C,AMY2A,AMY2B,BRDT,CLCA1,CNN3,COL11A1,DBT,DPYD,S1PR1,EXTL2,F3,GBP1,GBP2,GBP3,GFI1,GNG5,GTF2B,CYR61,PRKACB,PKN2,ABCD3,RPL5,TGFBR3,VCAM1,EVI5,CDC7,BCAR3,LMO4,CDC14A,RTCA,BCL10,CLCA3P,CLCA2,HS2ST1,LPPR4,GLMN,CLCA4,MTF2,KIAA1107,SLC35A3,LRRC8B,LPAR3,DDAH1,RWDD3,TMED5,SH3GLB1,SNX7,GPR88,TRMT13,ZNHIT6,PALMD,FNBP1L,LRRC8D,PRMT6,MCOLN3,RNPC3,CCBL2,ODF2L,PTBP2,DNASE2B,HIAT1,SYDE2,ZNF644,LRRC8C,GBP4,GBP5,SSX2IP,OLFM3,WDR63,SLC44A3,LRRC39,SAMD13,TMEM56,SLC30A7,SASS6,HFM1,EPHX4,MCOLN2,COL24A1,ZNF326,BTBD8,CCDC18,GBP7,C1orf146,FAM69A,FRRS1,C1orf180,RBMXL1,MIR760,MIR378G,MIR137HG,MIR4423,	1	EVI5,	[Not Available]	[Not Available]	[Not Available]	0	1p22.1	0.0061054
4	1	157102811	157114778	157090949	157113495	156902364	157962929	11	RN7SL612P,MIR765,CD5L,ETV3,ARHGEF11,FCRL2,FCRL5,FCRL4,FCRL1,FCRL3,ETV3L,	1	ETV3,	[Not Available]	[Not Available]	[Not Available]	0	1q23.1	0.14946
5	2	116338094	179299388	139258603	139331828	132571593	140981064	37	RN7SL283P,SNORA72|ENSG00000206901.1,RN7SKP286,NXPH2,RNA5SP105,RN7SKP141,SNORA40|ENSG00000208308.1,snoU13|ENSG00000238337.1,MIR5590,RNA5SP104,RN7SKP93,RN7SKP154,RN7SKP103,RN7SL701P,CCNT2,DARS,GPR39,HNMT,LCT,MCM6,MGAT5,CXCR4,RAB3GAP1,UBXN4,R3HDM1,MAP3K19,THSD7B,TMEM163,ZRANB3,LYPD1,ACMSD,SPOPL,NCKAP5,C2orf27B,ANKRD30BL,MIR663B,MIR3679,	1	SPOPL,	[Not Available]	[Not Available]	[Not Available]	0	2q22.1	4.4558e-21
6	2	41969596	42588856	42272707	42285915	31807872	47128703	89	RHOQ,RN7SL817P,RN7SL414P,SLC3A1,snoU13|ENSG00000239052.1,RN7SKP66,SNORD75|ENSG00000221300.1,snoZ247,HNRNPA1P57,SNORA67|ENSG00000252473.1,RN7SL96P,GEMIN6,LINC00211,RN7SL602P,RNA5SP92,RNA5SP91,SNORD112|ENSG00000252502.1,LINC00486,MIR4765,MIR558,YIPF4,DPY30,ZFP36L2,CYP1B1,EPAS1,LTBP1,VIT,PIGF,PPM1B,PRKCE,EIF2AK2,SRSF7,SIX3,SLC8A1,SOS1,SPAST,STRN,MAP4K3,COX7A2L,CRIPT,PREPL,FEZ2,SOCS5,LRPPRC,CEBPZ,CDC42EP3,SIX2,HAAO,PRKD3,RASGRP3,QPCT,FAM98A,EML4,MEMO1,CRIM1,DYNC2LI1,HEATR5B,SRBD1,NDUFAF7,TTC27,SLC30A6,BIRC6,MTA3,NLRC4,THADA,ATL2,ABCG5,ABCG8,CAMKMT,THUMPD2,ATP6V1E2,DHX57,PKDCC,HNRNPLL,PLEKHH2,GALM,TMEM178A,MYADML,RMDN2,OXER1,KCNG3,GPATCH11,CDKL4,TMEM247,SULT6B1,C2orf91,MORN2,ARHGEF33,MIR548AD,	1	PKDCC,	[Not Available]	[Not Available]	[Not Available]	0	2p21	0.096106
7	2	116338094	179299388	148067003	148087726	146093119	150183728	10	SNORA48|ENSG00000212181.1,RNA5SP106,snoU13|ENSG00000238860.1,snR65|ENSG00000253036.1,ACVR2A,KIF5C,ORC4,EPC2,MBD5,LYPD6B,	1	snoU13|ENSG00000238860.1,	[Not Available]	[Not Available]	[Not Available]	0	2q22.3	6.157e-14
8	3	69242277	75070345	72423372	72497262	71878746	72622061	5	snoU13|ENSG00000238568.1,RYBP,LINC00870,LINC00877,RN7SL271P,	1	RYBP,	[Not Available]	[Not Available]	[Not Available]	0	3p13	1.6337e-21
9	3	196995814	196996730	196367400	197029426	194994628	197538677	47	FAM157A,FYTTD1,snoU13|ENSG00000238491.1,MIR4797,U4|ENSG00000272359.1,RN7SL738P,RN7SL434P,UBXN7,SDHAP1,RN7SL773P,LINC00969,RNU6ATAC24P,APOD,BDH1,DLG1,MFI2,MUC4,PAK2,PCYT1A,PPP1R2,RPL35A,TFRC,KIAA0226,TNK2,NCBP2,ACAP2,PIGX,PIGZ,IQCG,LRCH3,CEP19,LMLN,TM4SF19,ZDHHC19,RNF168,SLC51A,FBXO45,MUC20,SENP5,TCTEX1D2,SMCO1,WDR53,ANKRD18DP,NRROS,LINC00885,MIR570,MIR922,	11	MIR4797,U4|ENSG00000272359.1,DLG1,MFI2,PAK2,NCBP2,PIGX,PIGZ,CEP19,SENP5,NRROS,	[Not Available]	[Not Available]	[Not Available]	0	3q29	0.17738
10	4	123230328	132479903	130774829	130781712	115722007	134069667	57	SNORA70|ENSG00000252014.1,RN7SL205P,RNY5P4,snoU13|ENSG00000238802.1,HSPA4L,INTU,IL2,RN7SL335P,QRFPR,RN7SKP137,MAD2L1,SNORA11|ENSG00000221245.1,C4orf3,CEP170P1,SNHG8,NT5C3AP1,MTRNR2L13,RN7SL808P,ANXA5,CCNA2,FABP2,FGF2,EXOSC9,TRPC3,PRSS12,PDE5A,NDST3,SEC24D,SPRY1,PGRMC2,PLK4,PRDM5,NUDT6,MYOZ2,USP53,LARP1B,BBS7,ANKRD50,METTL14,IL21,NDST4,NDNF,FAT4,TNIP3,PHF17,C4orf29,SLC25A31,KIAA1109,SCLT1,C4orf33,TMEM155,ADAD1,TRAM1L1,SPATA5,BBS12,SYNPO2,MFSD8,	1	RNY5P4,	[Not Available]	[Not Available]	[Not Available]	0	4q28.2	0.0026708
